link_id,signs,dimension,rank,nullity,full_rank,antisymmetry_error,pfaffian_abs_proxy,singular_values_json
L2a1,--,18,16,2,False,0.0,2.0271856900890815e-09,"[12.566370614359176,12.566370614359176,12.566370614359174,12.566370614359174,12.56637061435917,12.56637061435917,12.56637061435917,12.566370614359169,9.785222541379701,9.7852225413797,8.885765876316732,8.885765876316732,6.283185307179587,6.283185307179586,5.705635550036144,5.705635550036142,3.071854643309862e-16,4.8936081386531944e-17]"
L2a1,-+,18,16,2,False,0.0,2.0271856900890815e-09,"[12.566370614359176,12.566370614359172,12.566370614359172,12.566370614359172,12.566370614359169,12.566370614359169,12.566370614359167,12.566370614359165,9.785222541379701,9.785222541379698,8.885765876316732,8.885765876316732,6.283185307179586,6.283185307179585,5.705635550036142,5.705635550036142,2.77164033941132e-16,4.877846611739252e-19]"
L2a1,+-,18,16,2,False,0.0,2.0271856900890815e-09,"[12.566370614359176,12.566370614359172,12.566370614359172,12.56637061435917,12.566370614359169,12.566370614359167,12.566370614359167,12.566370614359165,9.785222541379701,9.785222541379701,8.885765876316732,8.885765876316732,6.283185307179586,6.283185307179585,5.705635550036142,5.705635550036141,2.3199053000953556e-16,1.2545226122904467e-17]"
L2a1,++,18,16,2,False,0.0,2.0271856900890815e-09,"[12.566370614359172,12.566370614359172,12.566370614359169,12.566370614359167,12.566370614359167,12.566370614359167,12.566370614359165,12.56637061435916,9.785222541379701,9.785222541379701,8.885765876316732,8.88576587631673,6.283185307179586,6.283185307179583,5.705635550036142,5.705635550036141,8.00900354783435e-16,3.676942056715918e-17]"
L4a1,--,20,20,0,True,0.0,323168375267.1813,"[20.010157134361847,20.010157134361847,20.010157134361844,20.01015713436184,20.010157134361837,20.010157134361837,20.010157134361833,20.01015713436183,19.825456261421735,19.82545626142173,16.17044364573645,16.170443645736444,15.0370645154712,15.037064515471195,9.454336756507407,9.454336756507402,9.239754800145738,9.239754800145732,4.786600211890395,4.7866002118903905]"
L4a1,-+,20,20,0,True,0.0,312181422661.55975,"[20.01015713436184,20.010157134361837,20.010157134361837,20.010157134361837,20.010157134361837,20.01015713436183,20.01015713436183,20.01015713436183,16.17044365659456,16.170443656594557,13.674715260617537,13.674715260617536,13.552200946505597,13.552200946505593,10.994541726112482,10.99454172611248,9.454332075890376,9.454332075890372,6.250964245072267,6.250964245072266]"
L4a1,+-,20,20,0,True,0.0,312181422661.55975,"[20.010157134361847,20.010157134361844,20.010157134361844,20.010157134361844,20.01015713436184,20.01015713436184,20.010157134361833,20.010157134361833,16.170443656594557,16.17044365659455,13.674715260617543,13.67471526061754,13.552200946505598,13.552200946505598,10.99454172611249,10.994541726112484,9.454332075890376,9.454332075890374,6.250964245072268,6.250964245072264]"
L4a1,++,20,20,0,True,0.0,323168375267.1813,"[20.010157134361844,20.010157134361844,20.010157134361844,20.010157134361844,20.010157134361844,20.01015713436184,20.010157134361837,20.01015713436183,19.82545626142174,19.825456261421735,16.170443645736448,16.170443645736448,15.0370645154712,15.037064515471195,9.454336756507404,9.454336756507402,9.239754800145738,9.239754800145734,4.786600211890401,4.786600211890395]"
L6a4,---,30,30,0,True,0.0,5.5596943221651374e+20,"[29.005100474626428,29.005100474626424,29.005100474626424,29.005100474626424,29.00510047462642,29.00510047462642,29.00510047462642,29.00510047462642,29.00510047462642,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626413,29.00510047462641,29.00510047462641,29.00510047462641,29.00510047462641,23.06592479605201,23.065924796052002,23.06104165264463,23.061041652644622,18.900923041803033,18.90092304180303,17.640595284488537,17.640595284488533,14.68975504607546,14.689755046075456,14.686589299114662,14.686589299114658]"
L6a4,--+,30,30,0,True,0.0,5.559606547628496e+20,"[29.005100474626435,29.00510047462643,29.005100474626428,29.005100474626428,29.005100474626428,29.005100474626428,29.005100474626424,29.005100474626424,29.005100474626424,29.005100474626424,29.005100474626424,29.00510047462642,29.00510047462642,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626417,29.005100474626417,23.065466312855857,23.065466312855854,23.0604485262862,23.060448526286194,18.900243155305056,18.900243155305052,17.643125242093923,17.643125242093916,14.68884036506539,14.688840365065383,14.686363764955082,14.686363764955077]"
