cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status,equilibrium_status
0,1,0,oscillatory,-1.2811984832383945,-1.1871025243955128e-17,22,-0.999985869948,1.0000141302512944,1.0000141302512944,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
1,1,1,oscillatory,1.2811984832383945,-1.1871025243955128e-17,22,0.999985869948,1.0000141302512944,1.0000141302512944,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
2,2,2;26,oscillatory,-1.2792059583616526,-1.0552022439071105e-16,22,-0.999985818716;-0.999985818716,1.0011113790632942,1.0014880303495903,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
3,2,3;27,oscillatory,1.2792059583616526,-1.0552022439071105e-16,22,0.999985818716;0.999985818716,1.0011113790632942,1.0014880303495903,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
4,2,4;28,oscillatory,-1.2633237699928879,-1.8466039268374644e-17,22,-0.999985401224;-0.999985401224,1.0000318896459026,1.0000491803030092,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
5,2,5;29,oscillatory,1.2633237699928879,-1.8466039268374644e-17,22,0.999985401224;0.999985401224,1.0000318896459026,1.0000491803030092,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
6,2,6;30,oscillatory,-1.2318686872909297,1.1211523841513083e-17,22,-0.999984523869;-0.999984523869,1.0006780126186015,1.0013405488671536,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
7,2,7;31,oscillatory,1.2318686872909297,1.1211523841513083e-17,22,0.999984523869;0.999984523869,1.0006780126186015,1.0013405488671536,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
8,2,8;36,oscillatory,-1.2104824209776328,-1.4838781554957405e-18,22,-0.99998388605;-0.99998388605,1.5361141705044967,1.8948763056847877,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
9,2,9;37,oscillatory,1.2104824209776328,-1.4838781554957405e-18,22,0.99998388605;0.99998388605,1.5361141705044967,1.8948763056847877,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
