low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_ppw,high_ppw,low_wavelength_status,high_wavelength_status,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,equilibrium_ready,score,numerically_trackable,physical_interpretation_allowed
93,122,2,2,182;183,244;255,-0.0,-0.0,0.0,0.9963811380815425,0.996381138081538,0.9991123011683566,0,0,48.0,64.0,RESOLVED,RESOLVED,-2.21666379053e-14;2.21666379053e-14,-9.48333367677e-15;9.48333367677e-15,1.2683304228528947e-14,35.984549525565726,5.075544673805712,real_dominant,real_dominant,DIAGNOSTIC,DIAGNOSTIC,True,0.9976067581410146,True,False
84,127,2,2,166;167,251;252,-0.0,-0.0,0.0,0.9963811380815419,0.9963811380815377,0.9991123011683563,2,0,48.0,64.0,RESOLVED,RESOLVED,-1.07409526859e-14;1.07409526859e-14,-5.99874776065e-15;5.99874776065e-15,4.742204925233181e-15,3.3783395608376843,6.150855036717629,real_dominant,real_dominant,DIAGNOSTIC,DIAGNOSTIC,True,0.9976067581410142,True,False
91,120,2,2,178;180,240;242,-0.016970112781425416,-0.017521579400732016,0.031473567918401266,0.9999670240339209,0.9999670240339208,0.9998661482000359,2,2,48.0,64.0,RESOLVED,RESOLVED,0.947330797805;0.947330797805,0.952409089781;0.952409089781,0.0050782919756487965,2.4249083078666187,2.192252134943504,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9952257162826014,True,False
92,121,2,2,179;181,241;243,0.016970112781425416,0.017521579400732016,0.031473567918401266,0.9999670240339209,0.9999670240339208,0.9998661482000359,2,2,48.0,64.0,RESOLVED,RESOLVED,-0.947330797805;-0.947330797805,-0.952409089781;-0.952409089781,0.0050782919756487965,2.4249083078666187,2.192252134943504,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9952257162826014,True,False
85,102,2,2,168;170,206;208,-0.03211805514308624,-0.0332295180288297,0.03344805918578687,0.999983518813724,0.9999835188137238,0.9999428565672961,3,3,32.0,42.666666666666664,RESOLVED,RESOLVED,0.98272290697;0.98272290697,0.984615183786;0.984615183786,0.001892276815487759,1.077043002188055,1.8156188818277337,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9949586165521904,True,False
86,103,2,2,169;171,207;209,0.03211805514308624,0.0332295180288297,0.03344805918578687,0.999983518813724,0.9999835188137238,0.9999428565672961,3,3,32.0,42.666666666666664,RESOLVED,RESOLVED,-0.98272290697;-0.98272290697,-0.984615183786;-0.984615183786,0.001892276815487759,1.077043002188055,1.8156188818277337,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9949586165521904,True,False
74,114,2,2,146;148,230;232,-0.046844279992517605,-0.04891917940315014,0.04241484497384939,0.9999819162224217,0.9999819162224213,0.9999578354198918,4,4,24.0,32.0,RESOLVED,RESOLVED,0.99109337947;0.99109337947,0.992269387568;0.992269387568,0.001176008097446557,2.1845747475794215,1.6010952922693125,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9936163818423485,True,False
75,115,2,2,147;149,231;233,0.046844279992517605,0.04891917940315014,0.04241484497384939,0.9999819162224217,0.9999819162224213,0.9999578354198918,4,4,24.0,32.0,RESOLVED,RESOLVED,-0.99109337947;-0.99109337947,-0.992269387568;-0.992269387568,0.001176008097446557,2.1845747475794215,1.6010952922693125,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9936163818423485,True,False
76,116,2,2,150;152,234;236,-0.06001265008122196,-0.06354232634310443,0.055548426773416544,0.9999728198279968,0.9999728198279966,0.9999593107470209,5,5,19.2,25.6,RESOLVED,RESOLVED,0.994185458007;0.994185458007,0.995120274797;0.995120274797,0.0009348167897434978,5.090441120935369,1.6620243263849626,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9916412555675408,True,False
77,117,2,2,151;153,235;237,0.06001265008122196,0.06354232634310443,0.055548426773416544,0.9999728198279968,0.9999728198279966,0.9999593107470209,5,5,19.2,25.6,RESOLVED,RESOLVED,-0.994185458007;-0.994185458007,-0.995120274797;-0.995120274797,0.0009348167897434978,5.090441120935369,1.6620243263849626,oscillatory,oscillatory,DIAGNOSTIC,DIAGNOSTIC,True,0.9916412555675408,True,False
