group_id,dimension,members,classification,branch_sign,omega_rad_s,omega_hat,sigma_s^-1,sigma_hat,fourier_m,circularity_eigs
0,1,0,oscillatory,-1,-4.973254196194045e+20,-1.2811984832383958,-4352.0,-1.1211523841513177e-17,-16,-0.999985869948
1,1,1,oscillatory,1,4.973254196194045e+20,1.2811984832383958,-4352.0,-1.1211523841513177e-17,16,0.999985869948
2,2,2;26,oscillatory,-1,-4.9655197718765634e+20,-1.2792059583616535,24320.0,6.26526332319854e-17,16,-0.999985818716;-0.999985818716
3,2,3;27,oscillatory,1,4.9655197718765634e+20,1.2792059583616535,24320.0,6.26526332319854e-17,-16,0.999985818716;0.999985818716
4,2,4;28,oscillatory,-1,-4.903869558437312e+20,-1.263323769992891,-56064.00000000007,-1.444308071347876e-16,-14;15,-0.999985401224;-0.999985401224
5,2,5;29,oscillatory,1,4.903869558437312e+20,1.263323769992891,-56064.00000000007,-1.444308071347876e-16,-15;14,0.999985401224;0.999985401224
6,2,6;30,oscillatory,-1,-4.850253947489063e+20,-1.2495114377221284,33792.00000000026,8.705418512233828e-17,-16;15,-0.999985024498;-0.999985024498
7,2,7;31,oscillatory,1,4.850253947489063e+20,1.2495114377221284,33792.00000000026,8.705418512233828e-17,-15;16,0.999985024498;0.999985024498
8,2,8;32,oscillatory,-1,-4.781769724503896e+20,-1.2318686872909312,44927.99999999974,1.1574249612856182e-16,-16;16,-0.999984523869;-0.999984523869
9,2,9;33,oscillatory,1,4.781769724503896e+20,1.2318686872909312,44927.99999999974,1.1574249612856182e-16,-16;16,0.999984523869;0.999984523869
10,2,10;36,oscillatory,-1,-4.698754219822134e+20,-1.210482420977631,-1728.0,-4.451634466483173e-18,-15;16,-0.99998388605;-0.99998388605
11,2,11;37,oscillatory,1,4.698754219822134e+20,1.210482420977631,-1728.0,-4.451634466483173e-18,-16;15,0.99998388605;0.99998388605
12,2,12;14,oscillatory,-1,-4.942354031274224e+20,-1.2732380527304623,-6144.0,-1.5828033658606837e-17,14;16,-0.999985663758;-0.999985663758
13,2,13;15,oscillatory,1,4.942354031274224e+20,1.2732380527304623,-6144.0,-1.5828033658606837e-17,-16;-14,0.999985663758;0.999985663758
14,2,16;18,oscillatory,-1,-4.601619372596209e+20,-1.1854587616137708,0.0,0.0,-15;16,-0.999983093483;-0.999983093483
15,2,17;19,oscillatory,1,4.601619372596209e+20,1.1854587616137708,0.0,0.0,-16;15,0.999983093483;0.999983093483
16,2,20;22,oscillatory,-1,-4.490851444318765e+20,-1.156922978783863,8192.0,2.110404487814245e-17,-15;15,-0.999982123389;-0.999982123389
17,2,21;23,oscillatory,1,4.490851444318765e+20,1.156922978783863,8192.0,2.110404487814245e-17,-15;15,0.999982123389;0.999982123389
18,2,24;34,oscillatory,-1,-4.367010613155624e+20,-1.1250193843183673,-48640.00000000035,-1.253052664639717e-16,-15;-14,-0.999980946462;-0.999980946462
19,2,25;35,oscillatory,1,4.367010613155624e+20,1.1250193843183673,-48640.00000000035,-1.253052664639717e-16,14;15,0.999980946462;0.999980946462
20,2,38;40,oscillatory,-1,-4.2307304161209365e+20,-1.0899111885881168,57344.0,1.4772831414699715e-16,10;14,-0.999979525096;-0.999979525096
21,2,39;41,oscillatory,1,4.2307304161209365e+20,1.0899111885881168,57344.0,1.4772831414699715e-16,-14;-10,0.999979525096;0.999979525096
22,2,42;44,oscillatory,-1,-4.082717001513391e+20,-1.0517803079186254,-14208.000000000087,-3.660232783552854e-17,12;15,-0.999977810947;-0.999977810947
23,2,43;45,oscillatory,1,4.082717001513391e+20,1.0517803079186254,-14208.000000000087,-3.660232783552854e-17,-15;-12,0.999977810947;0.999977810947
24,2,46;48,oscillatory,-1,-3.9237481496029803e+20,-1.010827112301632,40960.0,1.0552022439071226e-16,12;14,-0.999975741585;-0.999975741585
25,2,47;49,oscillatory,1,3.9237481496029803e+20,1.010827112301632,40960.0,1.0552022439071226e-16,-14;-12,0.999975741585;0.999975741585
26,2,50;52,oscillatory,-1,-3.754672015337521e+20,-0.9672701014940015,-4096.0,-1.0552022439071224e-17,-13;12,-0.999973235819;-0.999973235819
27,2,51;53,oscillatory,1,3.754672015337521e+20,0.9672701014940015,-4096.0,-1.0552022439071224e-17,-12;13,0.999973235819;0.999973235819
28,2,54;56,oscillatory,-1,-3.5764055428438753e+20,-0.9213454965651191,8192.0,2.110404487814245e-17,12;14,-0.999970187102;-0.999970187102
29,2,55;57,oscillatory,1,3.5764055428438753e+20,0.9213454965651191,8192.0,2.110404487814245e-17,-14;-12,0.999970187102;0.999970187102
30,2,58;60,oscillatory,-1,-3.389932497737749e+20,-0.8733067329849974,32768.0,8.44161795125698e-17,15,-0.999966454104;-0.999966454104
31,2,59;61,oscillatory,1,3.389932497737749e+20,0.8733067329849974,32768.0,8.44161795125698e-17,-15,0.999966454104;0.999966454104
32,2,62;64,oscillatory,-1,-3.196301059727195e+20,-0.8234238404362426,-11290.0,-2.908504231863138e-17,-15;16,-0.999961846992;-0.999961846992
33,2,63;65,oscillatory,1,3.196301059727195e+20,0.8234238404362426,-11290.0,-2.908504231863138e-17,-16;15,0.999961846992;0.999961846992
34,2,66;72,oscillatory,-1,-2.792059782114726e+20,-0.7192841179712623,-29184.000000000015,-7.518315987838252e-17,-16;-14,-0.999948876331;-0.999948876331
35,2,67;73,oscillatory,1,2.792059782114726e+20,0.7192841179712623,-29184.000000000015,-7.518315987838252e-17,14;16,0.999948876331;0.999948876331
36,2,68;70,oscillatory,-1,-2.996620914674464e+20,-0.7719826936776144,-4096.0,-1.0552022439071224e-17,-16;16,-0.99995610712;-0.99995610712
37,2,69;71,oscillatory,1,2.996620914674464e+20,0.7719826936776144,-4096.0,-1.0552022439071224e-17,-16;16,0.99995610712;0.99995610712
38,2,74;76,oscillatory,-1,-2.5838393111027787e+20,-0.6656428317800502,-8480.0,-2.1845983955889645e-17,-16;14,-0.999939649486;-0.999939649486
39,2,75;77,oscillatory,1,2.5838393111027787e+20,0.6656428317800502,-8480.0,-2.1845983955889645e-17,-14;16,0.999939649486;0.999939649486
40,2,78;80,oscillatory,-1,-2.3732302739492946e+20,-0.6113862085887721,-16384.0,-4.22080897562849e-17,-16;-14,-0.999927699156;-0.999927699156
41,2,79;81,oscillatory,1,2.3732302739492946e+20,0.6113862085887721,-16384.0,-4.22080897562849e-17,14;16,0.999927699156;0.999927699156
42,2,82;84,oscillatory,-1,-2.1615469834848895e+20,-0.556852838692365,-9216.0,-2.3742050487910256e-17,11;15,-0.999911952593;-0.999911952593
43,2,83;85,oscillatory,1,2.1615469834848895e+20,0.556852838692365,-9216.0,-2.3742050487910256e-17,-15;-11,0.999911952593;0.999911952593
44,2,86;88,oscillatory,-1,-1.9501408541122816e+20,-0.5023908704087481,3072.0,7.914016829303418e-18,-7;15,-0.999890783936;-0.999890783936
45,2,87;89,oscillatory,1,1.9501408541122816e+20,0.5023908704087481,3072.0,7.914016829303418e-18,-15;7,0.999890783936;0.999890783936
46,2,90;92,oscillatory,-1,-1.740393018345699e+20,-0.4483561079684257,-8192.0,-2.110404487814245e-17,15;16,-0.999861649402;-0.999861649402
47,2,91;93,oscillatory,1,1.740393018345699e+20,0.4483561079684257,-8192.0,-2.110404487814245e-17,-16;-15,0.999861649402;0.999861649402
48,2,94;96,oscillatory,-1,-1.533705895086797e+20,-0.3951098393528247,192.0,4.946260518314636e-19,-14;15,-0.999820417218;-0.999820417218
49,2,95;97,oscillatory,1,1.533705895086797e+20,0.3951098393528247,192.0,4.946260518314636e-19,-15;14,0.999820417218;0.999820417218
50,2,98;100,oscillatory,-1,-1.3314935750486296e+20,-0.34301635940899183,-12224.0,-3.149119196660319e-17,-15;16,-0.999760068898;-0.999760068898
51,2,99;101,oscillatory,1,1.3314935750486296e+20,0.34301635940899183,-12224.0,-3.149119196660319e-17,-16;15,0.999760068898;0.999760068898
52,2,102;104,oscillatory,-1,-1.1351708214875007e+20,-0.29244013624304255,1024.0,2.638005609767806e-18,-16;16,-0.99966801299;-0.99966801299
53,2,103;105,oscillatory,1,1.1351708214875007e+20,0.29244013624304255,1024.0,2.638005609767806e-18,-16;16,0.99966801299;0.99966801299
54,2,106;108,oscillatory,-1,-9.461403236549712e+19,-0.24374252748333416,4096.0,1.0552022439071224e-17,16,-0.999520063086;-0.999520063086
55,2,107;109,oscillatory,1,9.461403236549712e+19,0.24374252748333416,4096.0,1.0552022439071224e-17,-16,0.999520063086;0.999520063086
56,2,110;112,oscillatory,-1,-7.657774124397855e+19,-0.19727784275875285,1280.0,3.297507012209758e-18,16,-0.999265478845;-0.999265478845
57,2,111;113,oscillatory,1,7.657774124397855e+19,0.19727784275875285,1280.0,3.297507012209758e-18,-16,0.999265478845;0.999265478845
58,2,114;116,oscillatory,-1,-5.954101411898599e+19,-0.15338821216518478,1040.0,2.6792244474204284e-18,-16;16,-0.998784388941;-0.998784388941
59,2,115;117,oscillatory,1,5.954101411898599e+19,0.15338821216518478,1040.0,2.6792244474204284e-18,-16;16,0.998784388941;0.998784388941
60,2,118;120,oscillatory,-1,-4.3628783364706886e+19,-0.1123954836557042,3584.0,9.233019634187322e-18,-16;16,-0.997741092594;-0.997741092594
61,2,119;121,oscillatory,1,4.3628783364706886e+19,0.1123954836557042,3584.0,9.233019634187322e-18,-16;16,0.997741092594;0.997741092594
62,2,122;124,oscillatory,-1,-3.1882635815192957e+19,-0.08213532435025683,11264.0,2.901806170744587e-17,8,0.996419245956;0.996419245956
63,2,123;125,oscillatory,1,3.1882635815192957e+19,0.08213532435025683,11264.0,2.901806170744587e-17,-8,-0.996419245956;-0.996419245956
64,2,126;128,oscillatory,-1,-3.1820205866050683e+19,-0.08197449372910953,1792.0,4.616509817093661e-18,-9,0.996281997248;0.996281997248
65,2,127;129,oscillatory,1,3.1820205866050683e+19,0.08197449372910953,1792.0,4.616509817093661e-18,9,-0.996281997248;-0.996281997248
66,2,130;132,oscillatory,-1,-2.895080189564217e+19,-0.07458240020310594,448.0,1.1541274542734153e-18,16,-0.994906149448;-0.994906149448
67,2,131;133,oscillatory,1,2.895080189564217e+19,0.07458240020310594,448.0,1.1541274542734153e-18,-16,0.994906149448;0.994906149448
68,2,134;136,oscillatory,-1,-2.6645086540719813e+19,-0.06864246852262455,4096.0,1.0552022439071224e-17,-11,0.994421603936;0.994421603936
69,2,135;137,oscillatory,1,2.6645086540719813e+19,0.06864246852262455,4096.0,1.0552022439071224e-17,11,-0.994421603936;-0.994421603936
70,2,138;140,oscillatory,-1,-2.1442330004577116e+19,-0.05523924495953807,-10640.0,-2.7410527038993612e-17,-12,0.99124932577;0.99124932577
71,2,139;141,oscillatory,1,2.1442330004577116e+19,0.05523924495953807,-10640.0,-2.7410527038993612e-17,12,-0.99124932577;-0.99124932577
72,2,142;144,oscillatory,-1,-3.0378037439235506e+19,-0.07825921208832003,2048.0,5.276011219535612e-18,-7;7,0.996209684973;0.996209684973
73,2,143;145,oscillatory,1,3.0378037439235506e+19,0.07825921208832003,2048.0,5.276011219535612e-18,-7;7,-0.996209684973;-0.996209684973
74,2,146;148,oscillatory,-1,-1.818363938830295e+19,-0.046844279992517605,-3392.0,-8.738393582355859e-18,-4;4,0.99109337947;0.99109337947
75,2,147;149,oscillatory,1,1.818363938830295e+19,0.046844279992517605,-3392.0,-8.738393582355859e-18,-4;4,-0.99109337947;-0.99109337947
76,2,150;152,oscillatory,-1,-2.329523237389184e+19,-0.06001265008122196,1536.0,3.957008414651709e-18,-5;5,0.994185458007;0.994185458007
77,2,151;153,oscillatory,1,2.329523237389184e+19,0.06001265008122196,1536.0,3.957008414651709e-18,-5;5,-0.994185458007;-0.994185458007
78,2,154;156,oscillatory,-1,-1.556923003193797e+19,-0.0401090978164236,576.0,1.483878155494391e-18,-16;16,-0.982796986372;-0.982796986372
79,2,155;157,oscillatory,1,1.556923003193797e+19,0.0401090978164236,576.0,1.483878155494391e-18,-16;16,0.982796986372;0.982796986372
80,2,158;160,oscillatory,-1,-2.7449277650092474e+19,-0.07071420744630666,-2432.0,-6.26526332319854e-18,-6,0.99557074268;0.99557074268
81,2,159;161,oscillatory,1,2.7449277650092474e+19,0.07071420744630666,-2432.0,-6.26526332319854e-18,6,-0.99557074268;-0.99557074268
82,2,162;164,oscillatory,-1,-3.0094024320647553e+19,-0.0775275439241768,1792.0,4.616509817093661e-18,-10;10,0.995724638482;0.995724638482
83,2,163;165,oscillatory,1,3.0094024320647553e+19,0.0775275439241768,1792.0,4.616509817093661e-18,-10;10,-0.995724638482;-0.995724638482
84,2,166;167,real_dominant,1,-0.0,-0.0,8.382307072631598e+17,0.002159430964882667,0,-1.07409526859e-14;1.07409526859e-14
85,2,168;170,oscillatory,-1,-1.2467330753483553e+19,-0.03211805514308624,-384.0,-9.892521036629273e-19,-3;3,0.98272290697;0.98272290697
