low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_m,high_m,low_omega_hat,high_omega_hat,frequency_rel_error,low_sigma_hat,high_sigma_hat,sigma_hat_abs_error,overlap,minimum_overlap,low_circularity_eigs,high_circularity_eigs,circularity_error,low_class,high_class,converged,physical_interpretation_allowed
70,123,1,1,70,127,,,-0.0,-0.0,0.0,0.22615418169912435,0.223616586234955,0.0025375954641693454,0.9985397444739958,0.9985397444739958,0,0,0.0,real_dominant,real_dominant,True,True
71,118,1,1,71,122,,,-0.0,-0.0,0.0,-0.2261541816991249,-0.22361658623495623,0.0025375954641686793,0.9985397444739955,0.9985397444739955,0,0,0.0,real_dominant,real_dominant,True,True
76,121,1,1,76,125,,,-0.03428770845658875,-0.0425266433767981,0.1937358386649529,-0.19719261113378325,-0.19536163485638805,0.001830976277395202,0.9961579636720496,0.9961579636720496,0.0182135314122,0.0137925133355,0.00442101807667751,mixed,mixed,False,False
77,122,1,1,77,126,,,0.03428770845658875,0.0425266433767981,0.1937358386649529,-0.19719261113378325,-0.19536163485638805,0.001830976277395202,0.9961579636720496,0.9961579636720496,-0.0182135314122,-0.0137925133355,0.00442101807667751,mixed,mixed,False,False
74,124,1,1,74,128,,,-0.03428770845658873,-0.042526643376798304,0.19373583866495742,0.19719261113378334,0.19536163485638838,0.0018309762773949523,0.9961579636720496,0.9961579636720496,0.0182135314122,0.0137925133355,0.004421018076678308,mixed,mixed,False,False
75,125,1,1,75,129,,,0.03428770845658873,0.042526643376798304,0.19373583866495742,0.19719261113378334,0.19536163485638838,0.0018309762773949523,0.9961579636720496,0.9961579636720496,-0.0182135314122,-0.0137925133355,0.004421018076678308,mixed,mixed,False,False
80,132,1,1,80,136,,,-0.04181611521425392,-0.0557458857561021,0.2498797956640843,-0.16060306169345714,-0.15576726225780899,0.004835799435648158,0.9879494793343013,0.9879494793343013,-0.00418436633514,-0.00872012200596,0.004535755670813797,mixed,mixed,False,False
81,133,1,1,81,137,,,0.04181611521425392,0.0557458857561021,0.2498797956640843,-0.16060306169345714,-0.15576726225780899,0.004835799435648158,0.9879494793343013,0.9879494793343013,0.00418436633514,0.00872012200596,0.004535755670813797,mixed,mixed,False,False
78,126,1,1,78,130,,,-0.041816115214254226,-0.055745885756102294,0.2498797956640814,0.1606030616934573,0.1557672622578093,0.004835799435648019,0.9879494793343008,0.9879494793343008,-0.00418436633514,-0.00872012200596,0.004535755670813322,mixed,mixed,False,False
79,127,1,1,79,131,,,0.041816115214254226,0.055745885756102294,0.2498797956640814,0.1606030616934573,0.1557672622578093,0.004835799435648019,0.9879494793343008,0.9879494793343008,0.00418436633514,0.00872012200596,0.004535755670813322,mixed,mixed,False,False
112,166,1,1,112,170,,,-0.022151879792053488,-0.025482846260144222,0.13071406679168512,0.06268343946490165,0.05502311921180134,0.00766032025310031,0.9790452312044282,0.9790452312044282,0.004072307666,0.018086230616,0.014013922950052271,mixed,mixed,True,True
113,167,1,1,113,171,,,0.022151879792053488,0.025482846260144222,0.13071406679168512,0.06268343946490165,0.05502311921180134,0.00766032025310031,0.9790452312044282,0.9790452312044282,-0.004072307666,-0.018086230616,0.014013922950052271,mixed,mixed,True,True
108,168,1,1,108,172,,,-0.022151879792053575,-0.025482846260144267,0.13071406679168315,-0.06268343946490149,-0.05502311921180125,0.0076603202531002335,0.9790452312044275,0.9790452312044275,0.004072307666,0.018086230616,0.014013922950049894,mixed,mixed,True,True
109,169,1,1,109,173,,,0.022151879792053575,0.025482846260144267,0.13071406679168315,-0.06268343946490149,-0.05502311921180125,0.0076603202531002335,0.9790452312044275,0.9790452312044275,-0.004072307666,-0.018086230616,0.014013922950049894,mixed,mixed,True,True
58,119,1,1,58,123,,,-0.46942532365093037,-0.2611372769983601,0.4437085861338309,-2.479725273181738e-16,-4.22080897562849e-17,2.0576443756188888e-16,0.9740930150945601,0.9740930150945601,-0.982789675992,-0.952699956445,0.03008971954672246,oscillatory,oscillatory,False,False
59,120,1,1,59,124,,,0.46942532365093037,0.2611372769983601,0.4437085861338309,-2.479725273181738e-16,-4.22080897562849e-17,2.0576443756188888e-16,0.9740930150945601,0.9740930150945601,0.982789675992,0.952699956445,0.03008971954672246,oscillatory,oscillatory,False,False
62,130,1,1,62,134,,,-0.3881928197901389,-0.19166706988928936,0.5062580755797942,-1.1607224682978347e-16,-5.276011219535613e-17,6.331213463442735e-17,0.9759419465528189,0.9759419465528189,-0.976055631818,-0.921175644805,0.05487998701360641,oscillatory,oscillatory,False,False
63,131,1,1,63,135,,,0.3881928197901389,0.19166706988928936,0.5062580755797942,-1.1607224682978347e-16,-5.276011219535613e-17,6.331213463442735e-17,0.9759419465528189,0.9759419465528189,0.976055631818,0.921175644805,0.05487998701360641,oscillatory,oscillatory,False,False
54,114,1,1,54,118,,,-0.5467998992358324,-0.3261075692475225,0.4036071153208575,-7.386415707349858e-17,0.0,7.386415707349858e-17,0.9699407530529157,0.9699407530529157,-0.986990672572,-0.966861077734,0.020129594837509646,oscillatory,oscillatory,False,False
55,115,1,1,55,119,,,0.5467998992358324,0.3261075692475225,0.4036071153208575,-7.386415707349858e-17,0.0,7.386415707349858e-17,0.9699407530529157,0.9699407530529157,0.986990672572,0.966861077734,0.020129594837509646,oscillatory,oscillatory,False,False
50,110,1,1,50,114,,,-0.6248321663900926,-0.3965477110790618,0.3653532381822181,-1.0552022439071224e-17,8.44161795125698e-17,9.496820195164101e-17,0.9629166350183541,0.9629166350183541,-0.989821265487,-0.976469698852,0.013351566635273593,oscillatory,oscillatory,False,False
51,111,1,1,51,115,,,0.6248321663900926,0.3965477110790618,0.3653532381822181,-1.0552022439071224e-17,8.44161795125698e-17,9.496820195164101e-17,0.9629166350183541,0.9629166350183541,0.989821265487,0.976469698852,0.013351566635273593,oscillatory,oscillatory,False,False
52,112,1,1,52,116,,,-0.5859386906842291,-0.35451262194431044,0.39496635470457014,-1.292622748786225e-16,2.2159247122049573e-16,3.5085474609911823e-16,0.9643230223979093,0.9643230223979093,-0.972524658104,-0.909486652222,0.06303800588219222,oscillatory,oscillatory,False,False
53,113,1,1,53,117,,,0.5859386906842291,0.35451262194431044,0.39496635470457014,-1.292622748786225e-16,2.2159247122049573e-16,3.5085474609911823e-16,0.9643230223979093,0.9643230223979093,0.972524658104,0.909486652222,0.06303800588219222,oscillatory,oscillatory,False,False
66,150,1,1,66,154,,,-0.3153517828784543,-0.13434839027926906,0.5739729483912548,6.858814585396297e-17,-2.2950648804979917e-16,2.9809463390376214e-16,0.9732602056166378,0.9732602056166378,-0.965248010003,-0.873632077558,0.09161593244463417,oscillatory,oscillatory,False,False
67,151,1,1,67,155,,,0.3153517828784543,0.13434839027926906,0.5739729483912548,6.858814585396297e-17,-2.2950648804979917e-16,2.9809463390376214e-16,0.9732602056166378,0.9732602056166378,0.965248010003,0.873632077558,0.09161593244463417,oscillatory,oscillatory,False,False
56,116,1,1,56,120,,,-0.5073563174289265,-0.2825034582037244,0.44318529503025417,1.6355634780560398e-16,6.331213463442735e-17,1.0024421317117663e-16,0.9667155476933316,0.9667155476933316,-0.962750984858,-0.847206986884,0.11554399797444093,oscillatory,oscillatory,False,False
57,117,1,1,57,121,,,0.5073563174289265,0.2825034582037244,0.44318529503025417,1.6355634780560398e-16,6.331213463442735e-17,1.0024421317117663e-16,0.9667155476933316,0.9667155476933316,0.962750984858,0.847206986884,0.11554399797444093,oscillatory,oscillatory,False,False
48,108,1,1,48,112,,,-0.6638456222977659,-0.4277275575783937,0.3556821899376211,-2.110404487814245e-17,-1.688323590251396e-16,1.4772831414699715e-16,0.956302136426267,0.956302136426267,-0.981440537047,-0.946492521634,0.03494801541294856,oscillatory,oscillatory,False,False
