cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,ppw,wavelength_status,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status,equilibrium_status
0,1,0,oscillatory,-0.7827409582727951,-6.595014024419515e-19,31,2.064516129032258,UNDERRESOLVED,-0.999966722471,1.0000332786367554,1.0000332786367554,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
1,1,1,oscillatory,0.7827409582727951,-6.595014024419515e-19,31,2.064516129032258,UNDERRESOLVED,0.999966722471,1.0000332786367554,1.0000332786367554,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
2,2,2;8,oscillatory,-0.7697773650490439,1.0387147088460737e-17,30,2.1333333333333333,UNDERRESOLVED,-0.999965260579;-0.999965260579,17.475197894658372,33.95009740017416,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
3,2,3;9,oscillatory,0.7697773650490439,1.0387147088460737e-17,30,2.1333333333333333,UNDERRESOLVED,0.999965260579;0.999965260579,17.475197894658372,33.95009740017416,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
4,2,4;6,oscillatory,-0.7794876513367661,1.0552022439071224e-17,31,2.064516129032258,UNDERRESOLVED,-0.999966363011;-0.999966363011,14.904428679829941,28.8076189593998,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
5,2,5;7,oscillatory,0.7794876513367661,1.0552022439071224e-17,31,2.064516129032258,UNDERRESOLVED,0.999966363011;0.999966363011,14.904428679829941,28.8076189593998,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
6,2,10;16,oscillatory,-0.7537583546161912,6.265263323236928e-18,29,2.206896551724138,UNDERRESOLVED,-0.999963340049;-0.999963340049,1.4534377072875309,1.9068385190845276,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
7,2,11;17,oscillatory,0.7537583546161912,6.265263323236928e-18,29,2.206896551724138,UNDERRESOLVED,0.999963340049;0.999963340049,1.4534377072875309,1.9068385190845276,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
8,2,12;14,oscillatory,-0.7316755529783129,-2.3742050487910256e-17,28,2.2857142857142856,UNDERRESOLVED,-0.999960465705;-0.999960465705,24.141130351709485,27.199679805641168,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
9,2,13;15,oscillatory,0.7316755529783129,-2.3742050487910256e-17,28,2.2857142857142856,UNDERRESOLVED,0.999960465705;0.999960465705,24.141130351709485,27.199679805641168,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
10,2,18;20,oscillatory,-0.70386733966189,2.3742050487910256e-17,27,2.3703703703703702,UNDERRESOLVED,-0.999956423248;-0.999956423248,1.4207864329078692,1.4710678923859075,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
11,2,19;21,oscillatory,0.70386733966189,2.3742050487910256e-17,27,2.3703703703703702,UNDERRESOLVED,0.999956423248;0.999956423248,1.4207864329078692,1.4710678923859075,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
12,2,22;24,oscillatory,-0.6707610323394574,2.901806170744587e-17,26,2.4615384615384617,UNDERRESOLVED,-0.999950889401;-0.999950889401,1.5800199029008457,2.020411886049092,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
13,2,23;25,oscillatory,0.6707610323394574,2.901806170744587e-17,26,2.4615384615384617,UNDERRESOLVED,0.999950889401;0.999950889401,1.5800199029008457,2.020411886049092,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
14,2,26;28,oscillatory,-0.6328671168112083,-3.2315568719655606e-17,25,2.56,UNDERRESOLVED,-0.999943382;-0.999943382,4.441972595012619,7.88347930055252,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
15,2,27;29,oscillatory,0.6328671168112083,-3.2315568719655606e-17,25,2.56,UNDERRESOLVED,0.999943382;0.999943382,4.441972595012619,7.88347930055252,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
16,2,30;32,oscillatory,-0.5907722363168101,-2.1763546280584403e-17,24,2.6666666666666665,UNDERRESOLVED,-0.999933177596;-0.999933177596,4.7692059185731,5.330175506056424,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
17,2,31;33,oscillatory,0.5907722363168101,-2.1763546280584403e-17,24,2.6666666666666665,UNDERRESOLVED,0.999933177596;0.999933177596,4.7692059185731,5.330175506056424,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
18,2,34;36,oscillatory,-0.5451309666332464,-1.8466039268374644e-17,23,2.782608695652174,UNDERRESOLVED,-0.999919172634;-0.999919172634,3.1906606996185918,5.364604754690588,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
19,2,35;37,oscillatory,0.5451309666332464,-1.8466039268374644e-17,23,2.782608695652174,UNDERRESOLVED,0.999919172634;0.999919172634,3.1906606996185918,5.364604754690588,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
20,2,38;40,oscillatory,-0.4966564091204938,-9.892521036629273e-19,22,2.909090909090909,UNDERRESOLVED,-0.9998996423;-0.9998996423,7.106602035951395,13.211931410797167,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
21,2,39;41,oscillatory,0.4966564091204938,-9.892521036629273e-19,22,2.909090909090909,UNDERRESOLVED,0.9998996423;0.9998996423,7.106602035951395,13.211931410797167,True,1.9627069730967333,DIAGNOSTIC,relative_equilibrium_reference
