step,time_hat,recurrence_rms_over_D,shift,plus_rms_over_D,minus_rms_over_D,pair_min_distance_over_D,segment_max_over_min
30,0.18,0.5521534989482716,0,0.48627552577697747,0.6109689728881182,0.15810503161245812,2.4405623428923096
35,0.21,0.6344592372007599,0,0.5559208042403089,0.7042933385682053,0.1497973129743016,2.7828514858839686
40,0.24,0.7105038484764238,0,0.6192398233588536,0.7913112400099683,0.1428200910821023,2.847965157581764
45,0.27,0.8140884483448914,0,0.6812534060281498,0.9281022574222252,0.14477343487110647,2.6314550528410985
50,0.3,0.8863718895032529,0,0.7296130113944302,1.0193012835305784,0.18309792607136285,2.8117589365954854
55,0.33,0.9631049098842354,0,0.7958081427879726,1.1053648876088837,0.23405487249311682,2.785436587108577
60,0.36,1.0342764620826448,0,0.8672465677035092,1.1778535523751958,0.29870308241894833,3.2288280106890435
65,0.39,1.0993247252981497,0,0.9080403785104774,1.26193992499574,0.3338810281401564,4.149823527088456
70,0.42,1.1352900798660674,0,0.9393014421625236,1.3021059602182947,0.23498193812060486,4.3121310964035215
75,0.45,1.1677732473008007,0,0.9915685751181735,1.3206742501695974,0.2014837955167089,3.6927358579708973
80,0.48,1.1908353520623103,0,1.0429532075096175,1.3222807108886272,0.15572740338257016,3.14607661882997
85,0.51,1.2220920959040669,0,1.0985877851914605,1.3342125242893321,0.0953777106843998,3.517672713666646
90,0.54,1.2755628598842594,0,1.1532375397907304,1.3871425290321269,0.10620450909412282,3.2774395880963714
95,0.5700000000000001,1.3186900810748616,0,1.191816744510706,1.4343848532922927,0.19166022157567084,3.0470509663815184
100,0.6,1.3495769994819213,0,1.2204026202603684,1.4674241375699386,0.28467521070193735,3.4253562425915205
105,0.63,1.3759833801202401,0,1.2605995321602705,1.4824133513469007,0.28537271321523566,4.557292632037335
110,0.66,1.3963117279527761,0,1.2889436850014575,1.495993669816754,0.29183472771943797,4.908335468160292
115,0.6900000000000001,1.4189293384077002,0,1.3145753482944809,1.51611760376452,0.21347001567511256,4.451284170135555
120,0.72,1.4495169419016,0,1.3471987987331377,1.545074149162921,0.14252486115463708,4.455187202745809
125,0.75,1.4814109621972453,0,1.3904360738936736,1.5671133980192633,0.1830110504514478,4.493822628579344
130,0.78,1.5092713565793392,0,1.4271409588642032,1.5871574399264365,0.26217907814422436,4.365254629988812
