eigen_index,lambda_real,lambda_imag,frequency,growth_abs,growth_ratio,k2,k
0,-0.27903079068789893,0.0,0.0,0.27903079068789893,279030790687898.9,2.887229968228877,1.699185089455789
1,-0.20313066759917223,0.0,0.0,0.20313066759917223,203130667599172.22,3.496768284301828,1.8699647815672433
6,0.18939973807858831,0.0,0.0,0.18939973807858831,189399738078588.3,2.937322276029242,1.713861801905055
7,0.1697761536118814,0.0,0.0,0.1697761536118814,169776153611881.38,2.430973300496871,1.5591578818377796
16,-0.11903687666925772,0.0,0.0,0.11903687666925772,119036876669257.7,4.61168745205603,2.1474839817926537
56,0.06570136677173,0.0,0.0,0.06570136677173,65701366771729.99,4.963500880462064,2.2278915773578536
63,0.04373925287306376,0.0,0.0,0.04373925287306376,43739252873063.76,5.794074400817688,2.407088365809965
41,-0.04729984804479051,0.0,0.0,0.04729984804479051,47299848044790.51,5.602837588181111,2.3670313872403788
64,0.030533288938749823,0.005951259066102218,0.005951259066102218,0.030533288938749823,5.130559533639598,5.006902734987916,2.237610943615515
57,0.06311723363429704,0.006114473602247691,0.006114473602247691,0.06311723363429704,10.322594836470474,5.20849592017962,2.28221294365351
17,-0.10932495993158495,0.007549905240127365,0.007549905240127365,0.10932495993158495,14.480308885272931,4.146669512433628,2.036337278653423
33,-0.06985880702781289,0.010145078126488542,0.010145078126488542,0.06985880702781289,6.885980192248428,4.835909875771189,2.1990702298405997
23,0.11440885675790077,0.01369549400734208,0.01369549400734208,0.11440885675790077,8.353759031734583,3.0199445836313745,1.737798775356737
50,-0.02198411661625422,0.014263984761928602,0.014263984761928602,0.02198411661625422,1.5412324804868758,5.008256946443482,2.2379135252380693
61,0.0331643477690278,0.017844765143357852,0.017844765143357852,0.0331643477690278,1.8584916922469095,5.135895853165414,2.2662514982158126
59,0.01153036672724022,0.019025018391777934,0.019025018391777934,0.01153036672724022,0.6060633682342884,4.881855919331712,2.209492231109155
2,-0.190243889473652,0.021362611633336956,0.021362611633336956,0.190243889473652,8.90546028448933,3.2245176181346644,1.7956941883669013
12,0.14003903939499365,0.021698250406370013,0.021698250406370013,0.14003903939499365,6.453932311237501,2.765648745730627,1.6630239762945773
52,-0.0027948723597338836,0.025556784657833693,0.025556784657833693,0.0027948723597338836,0.10935931092870074,4.27903475107554,2.0685827880642194
54,0.0512432164371274,0.02810702640503254,0.02810702640503254,0.0512432164371274,1.823146130746593,4.277639762667964,2.068245576005897
39,-0.04887647751006825,0.02900208013182328,0.02900208013182328,0.04887647751006825,1.6852748936596889,4.585270746266751,2.141324530814223
42,-0.03616633323733307,0.034707306521224175,0.034707306521224175,0.03616633323733307,1.042038027791545,4.748432424937553,2.179089815711494
21,0.11095044550668276,0.03578649592809865,0.03578649592809865,0.11095044550668276,3.1003439322363855,2.9708975262855866,1.7236291730780107
48,0.0740611893473685,0.03803248651454051,0.03803248651454051,0.0740611893473685,1.94731389227085,3.9597756758369753,1.9899185098483243
31,-0.06049064191378505,0.04586828350798464,0.04586828350798464,0.06049064191378505,1.318790181090055,4.335759125156955,2.0822485742958152
8,-0.12092217811989689,0.05129195675670838,0.05129195675670838,0.12092217811989689,2.357527101051408,3.245337412538217,1.801482004500244
46,0.017850574879996688,0.06065618062736003,0.06065618062736003,0.017850574879996688,0.2942911125522611,6.51562482903957,2.552572198594894
35,0.06044289434930515,0.06500894723317172,0.06500894723317172,0.06044289434930515,0.9297627007019632,3.7843517356399983,1.9453410332484118
44,0.02065063861176632,0.06934017240054517,0.06934017240054517,0.02065063861176632,0.2978163724842997,6.004862294319611,2.4504820534579745
37,0.0057257120353820246,0.07804972215721033,0.07804972215721033,0.0057257120353820246,0.07335980035712499,7.950444941626686,2.8196533371367987
29,0.0010942368082190942,0.09120652300112815,0.09120652300112815,0.0010942368082190942,0.011997352516174302,8.709913456926191,2.9512562506373774
27,-0.008466719892343585,0.09381043919562947,0.09381043919562947,0.008466719892343585,0.0902534938002725,8.167771399025971,2.8579313146095675
25,0.013838736157064862,0.10249585137093861,0.10249585137093861,0.013838736157064862,0.13501752482626492,9.70111764654823,3.11466172265115
19,0.016541574262210465,0.1118920001525281,0.1118920001525281,0.016541574262210465,0.1478351824943825,6.314651632457501,2.5128970596619156
14,-0.024615694292659723,0.11730277243864545,0.11730277243864545,0.024615694292659723,0.20984750642219324,3.096454849042855,1.7596746429504675
10,-0.02675054022821786,0.1323022635593314,0.1323022635593314,0.02675054022821786,0.20219261189149262,2.684404796806969,1.638415330985086
4,-0.0015288407402310328,0.1689578864726903,0.1689578864726903,0.0015288407402310328,0.00904864976798907,2.3249350127045036,1.5247737578750835
