blind_id,source,topology_class,components,status,component_count,core_radius_norm,thickness_norm,core_clearance_radii,shape_velocity_ratio,normalized_growth,jacobian_convergence,nearest_self_distance,nearest_inter_distance,nearest_relevant_rate,TBK_block_diagonal_growth_penalty,ringdown_max_recurrence,ringdown_core_event,linking_drift_max,rpo_found,floquet_valid,floquet_rho_non
B01,fremlin:8_7:knot.8_7d,knot,1,FAIL,1,0.026346715405847182,0.02927412822871909,1.111111111111111,0.6243569545384606,0.6062183798799265,0.15536959896920208,1.3390267803216114e-14,inf,0.009773224462099217,-0.011674950324215595,5.354147078497659e-16,True,0.0,False,False,nan
B02,knotplot:torus_6.21,torus_link,3,FAIL,3,0.012720244947300098,0.014133605497000108,1.11115125557597,0.5822660376405157,0.8308989904478878,0.2780073223880554,0.02923372720001104,0.028268232288852783,-4.812506382104916,-0.0005726639020973307,5.338664396931171e-16,True,0.0,False,False,nan
B03,fremlin:3_1:knot.3_1u,knot,1,FAIL,1,0.1275946191206882,0.1417717990229869,1.1111111111111112,0.4905904025107491,0.7362352793503504,0.0032590304094468475,0.2835435980459738,inf,0.15189622275660258,0.06942804904497456,0.10404432221860824,True,0.0,False,False,nan
B04,knotplot:link_0.3.1,unlink,3,FAIL,3,0.16038893520997252,0.17820992801108057,1.657340816330975,0.2523375318694707,0.175793902808978,0.017263249231585554,0.18883744341641753,1.4211230814899205,3.799598755332284e-08,0.00022261144479676797,0.008965611302901197,False,1.5898733461875964e-09,False,False,nan
B05,knotplot:knot_8.18,knot,1,FAIL,1,0.07547738904904061,0.08386376561004512,1.1111334933417203,0.17599577648183704,0.21131541325411413,0.06976629680061791,0.1677309099247452,inf,0.5405171370291466,-0.021766049760330253,0.03170866078083304,True,0.0,False,False,nan
B06,knotplot:knot_7.2,knot,1,FAIL,1,0.08854948104514644,0.09838831227238493,1.1111336639307254,0.3498520158508546,0.06483614081390757,0.06970362620846121,0.19678061862571578,inf,0.059450310146325874,-0.02205835851222556,0.03382904530188575,True,0.0,False,False,nan
B07,fremlin:8_19:knot.8_19t,knot,1,FAIL,1,0.08749940174541784,0.09722155749490871,1.1111111111111112,0.4358389789798219,0.32830983239713657,0.028151181866397444,0.19444311498981742,inf,0.008510853988241418,-0.027120863079364278,0.17524644185119434,True,0.0,False,False,nan
B08,knotplot:torus_2.6,torus_link,2,FAIL,2,0.10080805893821078,0.11200895437578975,1.1111768732569467,0.334900371633217,0.23302418188450424,0.016086077526125068,0.25655955575721195,0.2240311674601261,0.299197414576824,-0.0779477947097971,0.07789375260172508,True,0.0002961635365377191,False,False,nan
B09,fremlin:8_3:knot.8_3,knot,1,FAIL,1,0.04137338210942673,0.0459704245660297,1.111111111111111,0.4764693499743936,0.5676876565090756,0.021002557947004515,0.0919408491320594,inf,-0.7766915379187879,-0.006934129106283107,2.2338225207541266e-16,True,0.0,False,False,nan
B10,fremlin:8_10:knot.8_10s,knot,1,FAIL,1,0.05537825946013174,0.061531399400146375,1.1111111111111112,0.3377011055961476,0.39644591879218555,0.05541740086131157,0.12306279880029275,inf,-1.104013403304586e-13,-0.016694880585596965,0.05568437904875475,True,0.0,False,False,nan
B11,fremlin:5_2:knot.5_2,knot,1,FAIL,1,0.10189207226794116,0.11321341363104573,1.1111111111111112,0.5692759389689713,0.10246895923261554,0.01957036772313819,0.22642682726209146,inf,-0.01860263486736216,0.004427438413315736,0.11580314079961693,True,0.0,False,False,nan
B12,fremlin:6_3:knot.6_3z,knot,1,FAIL,1,0.07745252593800307,0.08605836215333675,1.1111111111111112,0.3236157632629808,0.7961552408746557,0.003090919108310916,0.1721167243066735,inf,-0.5976681960276711,-0.32124508590739326,0.04963531536438005,True,0.0,False,False,nan
B13,knotplot:knot_4.1,knot,1,FAIL,1,0.12606288402570745,0.14006987113967495,1.0249032620557115,0.4797109943728555,0.08958096210950439,0.04637586941326246,0.280148322889464,inf,-0.042588847902082054,-0.022645354811712974,0.0454847931477351,True,0.0,False,False,nan
B14,fremlin:10_1:knot.10_1,knot,1,FAIL,1,0.021989798997668716,0.024433109997409684,1.1111111111111112,0.608855004527988,0.8280899238707493,0.06626966554727803,0.007982968572160989,inf,0.2777011833795813,-0.042506369811019476,0.08806802781489535,True,0.0,False,False,nan
B15,fremlin:7_4:knot.7_4,knot,1,FAIL,1,0.02569285921373499,0.028547621348594433,1.1111111111111112,0.9265504801589183,0.8267514150912354,0.1092731457944394,3.1160816374897654e-16,inf,-0.2406523803410197,-0.024706919281435903,0.17938768774673597,True,0.0,False,False,nan
B16,fremlin:8_14:knot.8_14r,knot,1,FAIL,1,0.03133973151532076,0.034821923905911954,1.111111111111111,0.6102804804475602,0.944268349651529,0.06631391487231642,0.007326558769346841,inf,-0.7320215584409817,-0.2025080125098415,6.376210630475218e-16,True,0.0,False,False,nan
