dataset_key,source_path,structural_status,boost_null_rms_rg,radial_response_rms_rg,director_response_rms_rg,linearity_ratio
D0000,..\..\KnotPlot\knots\final\knot_0.1_final.txt,PASS,2.6495635258770983e-16,2.979560256083671e-05,7.77861766703569e-05,1.9999995345483417
D0001,..\..\KnotPlot\knots\final\knot_10.123_final.txt,PASS,3.185539960359991e-16,2.75471798870805e-05,7.211185402655865e-05,1.9999998737921345
D0002,..\..\KnotPlot\knots\final\knot_10.1_final.txt,PASS,5.205837806161276e-16,1.9748023512973027e-05,5.320867103920907e-05,2.0000003854020116
D0003,..\..\KnotPlot\knots\final\knot_3.1_final.txt,PASS,7.421434110597259e-16,2.0184647113786308e-05,5.436929651023924e-05,2.0000004747353546
D0004,..\..\KnotPlot\knots\final\knot_4.1_final.txt,PASS,2.0402790435923872e-16,2.6545328665335627e-05,6.808977218450459e-05,1.9999992347316395
D0005,..\..\KnotPlot\knots\final\knot_5.1_final.txt,PASS,4.080003392604775e-16,2.8689466361078017e-05,7.632772760919326e-05,1.9999997496903101
D0006,..\..\KnotPlot\knots\final\knot_5.2_final.txt,PASS,3.7685122617468185e-16,1.9013006141848426e-05,5.073313412250196e-05,2.000000148848297
D0007,..\..\KnotPlot\knots\final\knot_6.1_final.txt,PASS,4.289227228538604e-16,2.4539960052106647e-05,6.317516832811066e-05,1.9999963859983498
D0008,..\..\KnotPlot\knots\final\knot_6.2_final.txt,PASS,3.935523125332502e-16,2.830095421262647e-05,7.26598080266745e-05,1.999999564943333
D0009,..\..\KnotPlot\knots\final\knot_6.3_final.txt,PASS,3.9929677357677664e-16,2.4382065516803403e-05,6.554324110542225e-05,1.9999996972916683
D0010,..\..\KnotPlot\knots\final\knot_7.1_final.txt,PASS,2.589976031249799e-16,2.4352537817322964e-05,6.323007144403568e-05,1.999998380449444
D0011,..\..\KnotPlot\knots\final\knot_7.2_final.txt,PASS,4.295671882085449e-16,2.9752781295174745e-05,7.728416014477433e-05,1.9999998943261745
D0012,..\..\KnotPlot\knots\final\knot_7.3_final.txt,PASS,2.734228610592481e-16,2.1911598530788107e-05,5.858034226231304e-05,2.0000002249332023
D0013,..\..\KnotPlot\knots\final\knot_7.4_final.txt,PASS,3.178336855181578e-16,3.126275544792322e-05,7.938170061716117e-05,1.9999998240872254
D0014,..\..\KnotPlot\knots\final\knot_8.17_final.txt,PASS,7.585939346189787e-16,2.714054830097558e-05,7.122253367588612e-05,1.9999998132664243
D0015,..\..\KnotPlot\knots\final\knot_8.18_final.txt,PASS,3.5048067486892544e-16,2.734460352701099e-05,7.181269514256428e-05,1.999999983145472
D0016,..\..\KnotPlot\knots\final\knot_8.1_final.txt,PASS,2.596275452339826e-16,2.7201514849786694e-05,7.038500681950436e-05,1.9999983807439552
D0017,..\..\KnotPlot\knots\final\knot_9.1_final.txt,PASS,6.544645070117165e-16,2.9407883161803998e-05,7.669732398869416e-05,1.9999994492860214
D0018,..\..\KnotPlot\knots\final\knot_9.2_final.txt,PASS,2.379174634315381e-16,2.5237872221962647e-05,6.576064794680384e-05,1.999997011677545
D0019,..\..\KnotPlot\knots\final\knot_9.35_final.txt,PASS,2.665982570709019e-16,2.6106699892181815e-05,6.89325874672778e-05,1.9999999750650246
