dataset_key,source_path,structural_status,boost_null_rms_rg,radial_response_rms_rg,director_response_rms_rg,linearity_ratio
D0000,..\..\KnotPlot\knots\final\knot_0.1_final.txt,PASS,1.0969217467775247e-16,2.9795591630705844e-05,7.778616007379426e-05,1.9999995345844381
D0001,..\..\KnotPlot\knots\final\knot_10.123_final.txt,PASS,4.369541245430805e-16,2.754692586281717e-05,7.211244398448293e-05,1.9999998735039062
D0002,..\..\KnotPlot\knots\final\knot_10.1_final.txt,PASS,2.6417513428743917e-16,1.976978318417161e-05,5.325955353986245e-05,2.0000004037738943
D0003,..\..\KnotPlot\knots\final\knot_3.1_final.txt,PASS,5.746359609771173e-16,2.0186465826034e-05,5.437879413519719e-05,2.0000004727201297
D0004,..\..\KnotPlot\knots\final\knot_4.1_final.txt,PASS,2.6954949235904146e-16,2.657483253736324e-05,6.81788221779962e-05,1.99999924413455
D0005,..\..\KnotPlot\knots\final\knot_5.1_final.txt,PASS,5.551873078544929e-16,2.8672710968584857e-05,7.627570455455867e-05,1.9999997446751823
D0006,..\..\KnotPlot\knots\final\knot_5.2_final.txt,PASS,4.323095058913019e-16,1.906724650854571e-05,5.08796996689046e-05,2.000000131135884
D0007,..\..\KnotPlot\knots\final\knot_6.1_final.txt,PASS,3.8188475740650646e-16,2.4567668769641977e-05,6.326760486031486e-05,1.9999963762400388
D0008,..\..\KnotPlot\knots\final\knot_6.2_final.txt,PASS,3.2919746593577843e-16,2.8296558709682446e-05,7.265044920270494e-05,1.9999995629083116
D0009,..\..\KnotPlot\knots\final\knot_6.3_final.txt,PASS,4.2756391349341197e-16,2.4381146713056928e-05,6.555220954441806e-05,1.9999997013295763
D0010,..\..\KnotPlot\knots\final\knot_7.1_final.txt,PASS,4.70776385945388e-16,2.4356477531698814e-05,6.323959472931175e-05,1.9999983706541937
D0011,..\..\KnotPlot\knots\final\knot_7.2_final.txt,PASS,3.557979924066389e-16,2.9736147601096823e-05,7.726108144964276e-05,1.9999998851374179
D0012,..\..\KnotPlot\knots\final\knot_7.3_final.txt,PASS,2.299662653141364e-16,2.1957447295972346e-05,5.871928640798292e-05,2.000000224076354
D0013,..\..\KnotPlot\knots\final\knot_7.4_final.txt,PASS,3.337570698136731e-16,3.125879429424953e-05,7.937500738494372e-05,1.9999998184827623
D0014,..\..\KnotPlot\knots\final\knot_8.17_final.txt,PASS,3.6360114706915264e-16,2.714399386355663e-05,7.122860226827327e-05,1.9999998148411606
D0015,..\..\KnotPlot\knots\final\knot_8.18_final.txt,PASS,3.0820581534737524e-16,2.7344300412335864e-05,7.181239073949184e-05,1.9999999829755155
D0016,..\..\KnotPlot\knots\final\knot_8.1_final.txt,PASS,3.9768330128032483e-16,2.7183772627348006e-05,7.033795121666609e-05,1.9999983550038696
D0017,..\..\KnotPlot\knots\final\knot_9.1_final.txt,PASS,3.8860519183349413e-16,2.9414488101885383e-05,7.671536301768891e-05,1.999999451088056
D0018,..\..\KnotPlot\knots\final\knot_9.2_final.txt,PASS,1.7891665154621492e-16,2.5244993918185762e-05,6.579431932067807e-05,1.999996999586979
D0019,..\..\KnotPlot\knots\final\knot_9.35_final.txt,PASS,3.5605994504805713e-16,2.6111412584827856e-05,6.893371021610466e-05,1.9999999748322748
D0020,..\..\KnotPlot\knots\final\link_0.2.1_final.txt,PASS,3.0331578659231824e-16,2.5669658771218614e-05,6.768214465721272e-05,1.999999881556552
D0021,..\..\KnotPlot\knots\final\link_0.3.1_final.txt,PASS,3.6211594445656747e-16,2.279421243407626e-05,6.150872393028638e-05,1.999995462056975
D0022,..\..\KnotPlot\knots\final\link_2.2.1_final.txt,PASS,9.917097369082192e-16,2.2784894844857515e-05,6.107196955079184e-05,2.000000066544143
D0023,..\..\KnotPlot\knots\final\link_4.2.1_final.txt,PASS,4.631734768791421e-16,2.3588522242007996e-05,6.143129411306633e-05,1.9999956125117342
D0024,..\..\KnotPlot\knots\final\link_5.2.1_final.txt,PASS,4.988063036359832e-16,2.438682613317718e-05,6.45307295897045e-05,1.9999982167533623
D0025,..\..\KnotPlot\knots\final\link_6.2.1_final.txt,PASS,3.183810630646671e-16,2.8605754474553997e-05,7.44985487401923e-05,1.9999985141333838
D0026,..\..\KnotPlot\knots\final\link_6.3.1_final.txt,PASS,2.1890958846581534e-16,2.4123105117916544e-05,6.299011329535718e-05,1.9999978101856215
D0027,..\..\KnotPlot\knots\final\link_6.3.2_final.txt,PASS,4.491553277466261e-16,2.3813456713271498e-05,6.292817491731507e-05,1.9999966171246502
D0028,..\..\KnotPlot\knots\final\link_6.3.3_final.txt,PASS,2.221498208868973e-16,2.7687312692195793e-05,7.303416187053692e-05,1.9999999697823898
D0029,..\..\KnotPlot\knots\final\link_7.2.5_final.txt,PASS,2.479258129407842e-16,2.4132264067902604e-05,6.201928959641989e-05,1.9999979618851667
D0030,..\..\KnotPlot\knots\final\link_7.2.6_final.txt,PASS,3.8290863878441306e-16,1.8499210697380096e-05,5.018606769587106e-05,2.0000011059796896
D0031,..\..\KnotPlot\knots\final\link_7.2.8_final.txt,PASS,4.688247534453894e-15,2.283668586797776e-05,6.150924179489666e-05,1.9999990212207932
D0032,..\..\KnotPlot\knots\final\link_8.2.1_final.txt,PASS,2.0569524554830447e-16,2.995459774189518e-05,7.730341562238013e-05,1.9999999524052152
D0033,..\..\KnotPlot\knots\final\link_9.2.20_final.txt,PASS,2.3517237528278183e-16,1.884365886012392e-05,4.9286579323611004e-05,1.9999951090366563
D0034,..\..\KnotPlot\knots\final\link_9.2.40_final.txt,PASS,3.352242585172733e-16,1.8185640697227388e-05,4.947519104974108e-05,2.0000011662528245
D0035,..\..\KnotPlot\knots\final\torus_2.11_final.txt,PASS,1.1680120202768823e-15,2.1594600562208373e-05,5.707925979118513e-05,1.9999939654834762
D0036,..\..\KnotPlot\knots\final\torus_2.3_final.txt,PASS,3.1792543405484825e-16,2.071909665181375e-05,5.523991931716169e-05,1.999998461007354
D0037,..\..\KnotPlot\knots\final\torus_2.4_final.txt,PASS,5.082623690647297e-16,2.438246131167018e-05,6.394633147000124e-05,1.9999970378486511
D0038,..\..\KnotPlot\knots\final\torus_2.5_final.txt,PASS,2.8011653780003465e-16,2.559695643019566e-05,6.708494108805854e-05,1.9999972311887801
D0039,..\..\KnotPlot\knots\final\torus_2.6_final.txt,PASS,3.0466266788179315e-15,2.6264976351030648e-05,6.881504535868802e-05,1.9999974174332533
D0040,..\..\KnotPlot\knots\final\torus_2.7_final.txt,PASS,1.1727803255761314e-15,2.9776538754329195e-05,7.757525067569852e-05,1.9999998128207508
D0041,..\..\KnotPlot\knots\final\torus_2.8_final.txt,PASS,4.899870684556879e-16,2.1548972217240525e-05,5.69274705066029e-05,1.9999945566468489
D0042,..\..\KnotPlot\knots\final\torus_2.9_final.txt,PASS,2.1904240491040834e-16,1.8867236238282806e-05,5.1377702661623534e-05,2.0000002039730718
D0043,..\..\KnotPlot\knots\final\torus_3.3_final.txt,PASS,2.909651338960504e-16,2.1921812896470883e-05,5.8533175578041875e-05,1.999999937329118
D0044,..\..\KnotPlot\knots\final\torus_3.6_final.txt,PASS,5.630115299594313e-16,2.8648806263858802e-05,7.479813776878107e-05,1.9999993973511305
D0045,..\..\KnotPlot\knots\final\torus_3.9_final.txt,PASS,5.00263734416575e-16,2.1607541009673955e-05,5.708139971854814e-05,1.999997168999044
D0046,..\..\KnotPlot\knots\final\torus_6.15_final.txt,PASS,5.387298154978458e-16,2.758954548804674e-05,7.212347662021632e-05,1.9999985142395253
D0047,..\..\KnotPlot\knots\final\torus_6.21_final.txt,PASS,2.334823130625811e-16,2.004996495109048e-05,5.319819971161605e-05,1.9999945629377287
D0048,..\..\KnotPlot\knots\final\torus_6.9_final.txt,PASS,3.57036730313403e-16,2.3605478484714976e-05,6.180165009509734e-05,1.9999975693226795
