candidate_id,family,canonical_id,topology_class,family_index,variant_index,component_count,points_per_component,construction_method,source_record,legacy_ptsa_id,parameters_json
PKLSA_faa18a06d517a2,knot_3.1,3_1,knot,14,0,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_be525c7589a4,"{""ptsa_baseR"":3.5,""ptsa_bulge_R"":1.4,""ptsa_z_weave"":2.2}"
PKLSA_99194982f57b60,knot_3.1,3_1,knot,14,1,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_fa8ae9e2ffbb,"{""ptsa_baseR"":3.5,""ptsa_bulge_R"":1.4,""ptsa_z_weave"":3.0}"
PKLSA_30b482d7c43d0b,knot_3.1,3_1,knot,14,2,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_e90c6e3b2c82,"{""ptsa_baseR"":3.5,""ptsa_bulge_R"":1.4,""ptsa_z_weave"":3.8}"
PKLSA_da0450d1104304,knot_3.1,3_1,knot,14,3,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_bf4c7b79d538,"{""ptsa_baseR"":3.5,""ptsa_bulge_R"":1.4,""ptsa_z_weave"":4.6}"
PKLSA_4f8bcae4315236,knot_3.1,3_1,knot,14,4,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_e3f22f9fa760,"{""ptsa_baseR"":3.5,""ptsa_bulge_R"":1.8,""ptsa_z_weave"":2.2}"
PKLSA_8c91ce4cc4bd56,knot_3.1,3_1,knot,14,5,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_f9b0c424e421,"{""ptsa_baseR"":3.5,""ptsa_bulge_R"":1.8,""ptsa_z_weave"":3.0}"
PKLSA_7d846f494b5f5b,knot_3.1,3_1,knot,14,6,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_7ad2f23a454c,"{""ptsa_baseR"":3.5,""ptsa_bulge_R"":1.8,""ptsa_z_weave"":3.8}"
PKLSA_af2bb1f65364ea,knot_3.1,3_1,knot,14,7,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_e99a1d9b5dca,"{""ptsa_baseR"":3.5,""ptsa_bulge_R"":1.8,""ptsa_z_weave"":4.6}"
PKLSA_b633a88b678ef3,knot_3.1,3_1,knot,14,8,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_8d5f7812b42a,"{""ptsa_baseR"":3.5,""ptsa_bulge_R"":2.2,""ptsa_z_weave"":2.2}"
PKLSA_5ece49ecbaed34,knot_3.1,3_1,knot,14,9,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_7e17edf8c2b1,"{""ptsa_baseR"":3.5,""ptsa_bulge_R"":2.2,""ptsa_z_weave"":3.0}"
PKLSA_3357b8e30c18b8,knot_3.1,3_1,knot,14,10,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_ed32ebf1eee2,"{""ptsa_baseR"":3.5,""ptsa_bulge_R"":2.2,""ptsa_z_weave"":3.8}"
PKLSA_9dde484f0004c1,knot_3.1,3_1,knot,14,11,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_036aa84b8753,"{""ptsa_baseR"":3.5,""ptsa_bulge_R"":2.2,""ptsa_z_weave"":4.6}"
PKLSA_0841699c883811,knot_3.1,3_1,knot,14,12,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_d802e5d1a2b3,"{""ptsa_baseR"":3.5,""ptsa_bulge_R"":2.6,""ptsa_z_weave"":2.2}"
