run_id,variant,setting,role,group,charge,hooke,power,early_E_per_100,early_sign,E_i01000,E_i10000,shape_rms_i00000_to_i10000
K31__B00,K31,B00,baseline,baseline,15.0,1.0,5.0,0.00400307665975857,EXPAND,0.02783589443048895,0.04516136375460622,0.04488986809329958
K31__R25,K31,R25,full_balance_ray_t025,full_balance_ray,20.567616029685045,1.0890913951068504,5.25,0.004617545006218281,EXPAND,0.02924981233590418,0.044449331124869595,0.044249661257550504
K31__R50,K31,R50,full_balance_ray_t050,full_balance_ray,26.13523205937009,1.1781827902137008,5.5,0.003819188772929833,EXPAND,0.025340690807935995,0.036955174139241986,0.037227280862308115
K31__R75,K31,R75,full_balance_ray_t075,full_balance_ray,31.702848089055138,1.2672741853205514,5.75,0.0023585033635422116,EXPAND,0.018356613625542084,0.026155919334180378,0.02700155800344606
K31__R100,K31,R100,full_balance_ray_t100,full_balance_ray,37.27046411874018,1.3563655804274017,6.0,0.0006849953049959006,EXPAND,0.009589828133137912,0.013719605471100071,0.015169513119786137
K31__QLO,K31,QLO,reduced_q_bracket_low,reduced_q_bracket,21.5,1.0,5.5,0.0027171966302327742,EXPAND,0.02081081108163807,0.0335449481509974,0.03403186297577476
K31__QCEN,K31,QCEN,reduced_q_bracket_center,reduced_q_bracket,23.54,1.0,5.5,0.0044212679832559,EXPAND,0.027520769274973045,0.04318401264407301,0.043106359475861715
K31__QHI,K31,QHI,reduced_q_bracket_high,reduced_q_bracket,25.5,1.0,5.5,0.006425609656635145,EXPAND,0.033513450336091766,0.051703141336434166,0.051045487614543465
K31__HLO,K31,HLO,full_hooke_bracket_low,full_hooke_bracket,26.13523205937009,1.05,5.5,0.006016821024935749,EXPAND,0.032534355625412736,0.04916003246456835,0.04867608216293195
K31__HHI,K31,HHI,full_hooke_bracket_high,full_hooke_bracket,26.13523205937009,1.3,5.5,0.0023286432227639458,EXPAND,0.018574321536344307,0.02653774362461947,0.027350874444545557
T23__B00,T23,B00,baseline,baseline,15.0,1.0,5.0,0.005735598164475893,EXPAND,0.037677517444752895,0.057654861261926316,0.054695401620763216
T23__R25,T23,R25,full_balance_ray_t025,full_balance_ray,20.567616029685045,1.0890913951068504,5.25,0.006342964866026665,EXPAND,0.03965416605582717,0.05694525338055967,0.053848200714873236
T23__R50,T23,R50,full_balance_ray_t050,full_balance_ray,26.13523205937009,1.1781827902137008,5.5,0.005938324440587624,EXPAND,0.035762982888623784,0.049710240814272,0.04716266925533536
T23__R75,T23,R75,full_balance_ray_t075,full_balance_ray,31.702848089055138,1.2672741853205514,5.75,0.00489320864406394,EXPAND,0.02867719928927237,0.03922834075311521,0.037439970600831915
T23__R100,T23,R100,full_balance_ray_t100,full_balance_ray,37.27046411874018,1.3563655804274017,6.0,0.003453301094633393,EXPAND,0.019859336622885526,0.027035590635068996,0.02599021397374232
T23__QLO,T23,QLO,reduced_q_bracket_low,reduced_q_bracket,21.5,1.0,5.5,0.004681226612894776,EXPAND,0.03036921098520695,0.04625730172561959,0.04398739556005419
T23__QCEN,T23,QCEN,reduced_q_bracket_center,reduced_q_bracket,23.54,1.0,5.5,0.005908603561591446,EXPAND,0.037713914507360946,0.05554350283053622,0.05244273122496753
T23__QHI,T23,QHI,reduced_q_bracket_high,reduced_q_bracket,25.5,1.0,5.5,0.007082086125644288,EXPAND,0.04456444451734043,0.063693650399962,0.059753418390192145
T23__HLO,T23,HLO,full_hooke_bracket_low,full_hooke_bracket,26.13523205937009,1.05,5.5,0.007032067657402425,EXPAND,0.04352203875739935,0.061324358252262234,0.05764577257499264
T23__HHI,T23,HHI,full_hooke_bracket_high,full_hooke_bracket,26.13523205937009,1.3,5.5,0.0049067721362264175,EXPAND,0.028873941734434028,0.03966074881862591,0.03793917854749959
