source_family,discovered,qualified,errors,independence_groups,provider_groups,catalog_ids
knotplot_relaxed,49,49,0,1,1,A001
knotplot_ideal,0,0,0,0,0,
knotplot_fourier_series,6,6,0,1,1,A002
knotplot_qhp,32,32,0,1,1,A003
fremlin_fourier,6,6,0,1,1,A006
gilbert_ideal,0,0,0,0,0,
katlas_source_derived,0,0,0,0,0,
katlas_braid_derived,0,0,0,0,0,
ridgerunner,0,0,0,0,0,
ptsa,0,0,0,0,0,
ptsa_control,0,0,0,0,0,
siaf,0,0,0,0,0,
knotinfo_3d,0,0,0,0,0,
fremlin_fourier_mirror,12,8,4,1,1,A007
knotplot_library_mirror,1,1,0,1,1,A007
