file,family,topology_class,seed_kind,q,h,p,replicate,seed_file,seed_sha256,geometry_ok,separation_ratio,n,rg,length,ds_cv,min_nonlocal_vertex_distance
knot_6.3/knot_6p3_qm0p1_h0_p0.txt,knot_6.3,6.3,knot,-0.1,0,0,0,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,false,0.7671148563908494,384,1.3659900227172215,25.800902485026473,0.10676181570496805,0.2286194637021094
knot_6.3/knot_6p3_qm0p05_h0_p0.txt,knot_6.3,6.3,knot,-0.05,0,0,0,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,true,0.8873757995560486,384,1.4326260677997442,27.339775493823698,0.05042984516195468,0.26446024047977795
knot_6.3/knot_6p3_qm0p02_h0_p0.txt,knot_6.3,6.3,knot,-0.02,0,0,0,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,true,0.9594375609866972,384,1.4729939001728318,28.284269602865557,0.019472815450805748,0.28593645243741767
knot_6.3/knot_6p3_q0_hm0p1_p0.txt,knot_6.3,6.3,knot,0,-0.1,0,0,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,false,0.6812383846945692,384,1.544269145216051,29.69443095119324,0.12155588253029996,0.20302612166177508
knot_6.3/knot_6p3_q0_hm0p05_p0.txt,knot_6.3,6.3,knot,0,-0.05,0,0,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,true,0.8436476002817439,384,1.5204726075294197,29.19952110605345,0.06292711488930636,0.2514281405491557
knot_6.3/knot_6p3_q0_hm0p02_p0.txt,knot_6.3,6.3,knot,0,-0.02,0,0,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,true,0.941264248388843,384,1.5078059874967549,29.007067095046907,0.025590135369827575,0.28052034956155925
knot_6.3/knot_6p3_q0_h0_pm0p1.txt,knot_6.3,6.3,knot,0,0,-0.1,0,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,false,0.7427099399162529,384,1.5061496274303139,29.447369742616875,0.10688236976146846,0.22134618660463878
knot_6.3/knot_6p3_q0_h0_pm0p05.txt,knot_6.3,6.3,knot,0,0,-0.05,0,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,true,0.8746518114041896,384,1.501248889342248,29.094104334362374,0.054288042704831806,0.2606681729383981
knot_6.3/knot_6p3_q0_h0_pm0p02.txt,knot_6.3,6.3,knot,0,0,-0.02,0,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,true,0.9541705682875747,384,1.5000852551280468,28.968785485942227,0.021872695847840202,0.2843667565357354
knot_6.3/knot_6p3_q0_h0_p0.txt,knot_6.3,6.3,knot,0.0,0.0,0.0,0,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,true,1.0,384,1.5000522983360318,28.92169473371819,0.0005220687439532589,0.2980250764243138
knot_6.3/knot_6p3_q0_h0_p0p02.txt,knot_6.3,6.3,knot,0,0,0.02,0,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,true,0.9620643831901967,384,1.5006137296538666,28.903767460068302,0.02201096837092911,0.2867193113253687
knot_6.3/knot_6p3_q0_h0_p0p05.txt,knot_6.3,6.3,knot,0,0,0.05,0,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,true,0.8946876768274691,384,1.5025687039813216,28.931179029946968,0.05519296127910585,0.26663936326239823
knot_6.3/knot_6p3_q0_h0_p0p1.txt,knot_6.3,6.3,knot,0,0,0.1,0,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,false,0.7832099648893064,384,1.5087795283188408,29.11861715974209,0.11055030995983896,0.23341620964241966
knot_6.3/knot_6p3_q0_h0p02_p0.txt,knot_6.3,6.3,knot,0,0.02,0,0,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,true,0.9667430274698319,384,1.4928613230885655,28.870166806917304,0.02605952857198773,0.28811366464436916
knot_6.3/knot_6p3_q0_h0p05_p0.txt,knot_6.3,6.3,knot,0,0.05,0,0,C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,07040d9f35195459e60fda1a23c302917da077dde0c539d880b77dc335f6aa57,true,0.9063336416456799,384,1.4831476782013342,28.85521584736823,0.06569774153201201,0.2701101528173804
