pair_key,topology_key,variant_key,representation,resolutions_json,last_length_relative_change,last_reach_relative_change,last_writhe_absolute_change,convergence_status
10_1/knot.10_1,10_1,10_1,fseries,"[128, 256, 512, 1024]",0.00023815196533658332,9.540559766410772e-05,0.033985122825116676,PASS_DIAGNOSTIC_THRESHOLDS
10_1/knot.10_1n,10_1,10_1n,fseries,"[128, 256, 512, 1024]",0.0002405805354663182,1.622961228344272e-05,0.031037336199873256,PASS_DIAGNOSTIC_THRESHOLDS
12a_1202/knot.12a_1202,12a_1202,12a_1202,fseries,"[128, 256, 512, 1024]",0.0003357506510663916,7.995053381259588e-05,0.014396306918888213,PASS_DIAGNOSTIC_THRESHOLDS
12a_1202/knot.12a_1202z6,12a_1202,12a_1202z6,fseries,"[128, 256, 512, 1024]",0.0005291868422035599,0.06517833970747161,1.9870104257451536e-14,NOT_CONVERGED_AT_REQUESTED_LEVELS
15331/knot.15331,15331,15331,fseries,"[128, 256, 512, 1024]",0.0002386882845976601,0.0003728300105125673,2.84148532718931e-14,PASS_DIAGNOSTIC_THRESHOLDS
1_1/knot.1_1,1_1,1_1,fseries,"[128, 256, 512, 1024]",4.7061904236605235e-06,7.105649402269777e-12,0.0,PASS_DIAGNOSTIC_THRESHOLDS
3_1/knot.3_1,3_1,3_1,fseries,"[128, 256, 512, 1024]",3.912607226696392e-05,8.592341787006807e-06,0.0012445866262278393,PASS_DIAGNOSTIC_THRESHOLDS
3_1/knot.3_1p,3_1,3_1p,fseries,"[128, 256, 512, 1024]",4.359980376952105e-05,2.7364233738075327e-05,7.007693823535277e-05,PASS_DIAGNOSTIC_THRESHOLDS
3_1/knot.3_1u,3_1,3_1u,fseries,"[128, 256, 512, 1024]",4.9761027015600816e-05,1.2617920957840794e-05,8.984455907690148e-06,PASS_DIAGNOSTIC_THRESHOLDS
4_1/knot.4_1,4_1,4_1,fseries,"[128, 256, 512, 1024]",5.912456232499463e-05,3.152179154233313e-06,0.00012740402005251283,PASS_DIAGNOSTIC_THRESHOLDS
4_1/knot.4_1d,4_1,4_1d,fseries,"[128, 256, 512, 1024]",7.545642584568837e-05,1.859637438954082e-05,0.0003079879746268055,PASS_DIAGNOSTIC_THRESHOLDS
4_1/knot.4_1p,4_1,4_1p,fseries,"[128, 256, 512, 1024]",6.243203758882848e-05,5.771598430489303e-05,0.00041407462155071406,PASS_DIAGNOSTIC_THRESHOLDS
4_1/knot.4_1z,4_1,4_1z,fseries,"[128, 256, 512, 1024]",5.084037211880524e-05,0.0001685199359694701,6.134740655164652e-14,PASS_DIAGNOSTIC_THRESHOLDS
5_1/knot.5_1,5_1,5_1,fseries,"[128, 256, 512, 1024]",0.00013495207677055007,1.4469322294258659e-05,0.013353275296632106,PASS_DIAGNOSTIC_THRESHOLDS
5_1/knot.5_1p,5_1,5_1p,fseries,"[128, 256, 512, 1024]",0.00013830516378929698,1.9593920561600002e-05,0.0024121127763132577,PASS_DIAGNOSTIC_THRESHOLDS
5_1/knot.5_1u,5_1,5_1u,fseries,"[128, 256, 512, 1024]",0.0001385474410857521,1.3465003524591032e-05,0.0007266540877237659,PASS_DIAGNOSTIC_THRESHOLDS
