cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status,equilibrium_status
0,3,0;2;4,oscillatory,-1.8750441183499373,4.264775735791286e-17,24,-0.999383900275;-0.999383900171;-0.999383900167,1.02843156906835,1.0284315747661639,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
1,3,1;3;5,oscillatory,1.8750441183499373,4.264775735791286e-17,24,0.999383900167;0.999383900171;0.999383900275,1.02843156906835,1.0284315747661639,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
2,3,6;8;10,oscillatory,-1.808001158983296,-1.3541762130141403e-16,24,-0.998453614786;-0.998453614756;-0.998453613331,1.0343643383255454,1.0343643544715373,False,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
3,3,7;9;11,oscillatory,1.808001158983296,-1.3541762130141403e-16,24,0.998453613331;0.998453614756;0.998453614786,1.0343643383255454,1.0343643544715373,False,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
4,3,12;14;16,oscillatory,-1.7377900767248562,-1.1255490601675972e-16,24,-0.997683497574;-0.997683497252;-0.99768349252,1.0082222968141956,1.008222677518747,False,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
5,3,13;15;17,oscillatory,1.7377900767248562,-1.1255490601675972e-16,24,0.99768349252;0.997683497252;0.997683497574,1.0082222968141956,1.008222677518747,False,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
6,3,18;20;22,oscillatory,-1.6686147119951977,-3.4469939967632664e-16,24,-0.997240151215;-0.997239711043;-0.997239664029,1.0079221406201035,1.007930175413416,False,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
7,3,19;21;23,oscillatory,1.6686147119951977,-3.4469939967632664e-16,24,0.997239664029;0.997239711043;0.997240151215,1.0079221406201035,1.007930175413416,False,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
8,3,24;26;28,oscillatory,-1.6019546337487924,-6.155346422791548e-17,24,-0.9971142409;-0.997112497378;-0.997105363278,1.01579268287412,1.0159394077535377,False,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
9,3,25;27;29,oscillatory,1.6019546337487924,-6.155346422791548e-17,24,0.997105363278;0.997112497378;0.9971142409,1.01579268287412,1.0159394077535377,False,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
10,3,30;32;34,oscillatory,-1.539777546261081,-2.110404487814245e-17,24,-0.997299548151;-0.997240846398;-0.997214211333,1.0231853624149545,1.0241746651632988,False,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
11,3,31;33;35,oscillatory,1.539777546261081,-2.110404487814245e-17,24,0.997214211333;0.997240846398;0.997299548151,1.0231853624149545,1.0241746651632988,False,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
12,1,36,oscillatory,-1.4892536963116052,6.331213463442735e-17,24,-0.997839687344,1.0224155002083157,1.0224155002083157,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
13,1,37,oscillatory,1.4892536963116052,6.331213463442735e-17,24,0.997839687344,1.0224155002083157,1.0224155002083157,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
14,1,38,oscillatory,-1.4852527013862957,8.44161795125698e-17,24,-0.99772419111,1.0242333683969735,1.0242333683969735,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
15,1,39,oscillatory,1.4852527013862957,8.44161795125698e-17,24,0.99772419111,1.0242333683969735,1.0242333683969735,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
16,1,40,oscillatory,-1.4807076603231508,4.2208089756284903e-16,24,-0.997419443386,1.0299073597751107,1.0299073597751107,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
17,1,41,oscillatory,1.4807076603231508,4.2208089756284903e-16,24,0.997419443386,1.0299073597751107,1.0299073597751107,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
18,1,42,oscillatory,-1.449418945165149,-1.688323590251396e-16,24,-0.998286113705,1.0223686426013654,1.0223686426013654,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
19,1,43,oscillatory,1.449418945165149,-1.688323590251396e-16,24,0.998286113705,1.0223686426013654,1.0223686426013654,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
20,1,44,oscillatory,-1.4402491299813807,8.44161795125698e-17,23,-0.998011917795,1.0124070245672545,1.0124070245672545,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
21,1,45,oscillatory,1.4402491299813807,8.44161795125698e-17,23,0.998011917795,1.0124070245672545,1.0124070245672545,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
22,1,46,oscillatory,-1.4257102343032453,-2.1104044878142451e-16,24,-0.997761843671,1.021478877940152,1.021478877940152,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
23,1,47,oscillatory,1.4257102343032453,-2.1104044878142451e-16,24,0.997761843671,1.021478877940152,1.021478877940152,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
24,1,48,oscillatory,-1.4071149899391593,-8.44161795125698e-17,22,-0.997876123558,1.0118939672537535,1.0118939672537535,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
25,1,49,oscillatory,1.4071149899391593,-8.44161795125698e-17,22,0.997876123558,1.0118939672537535,1.0118939672537535,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
26,1,50,oscillatory,-1.388239706715756,6.331213463442735e-17,23,-0.997729122571,1.0107075426603207,1.0107075426603207,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
27,1,51,oscillatory,1.388239706715756,6.331213463442735e-17,23,0.997729122571,1.0107075426603207,1.0107075426603207,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
28,1,52,oscillatory,-1.3697504526939983,-3.376647180502792e-16,24,-0.997317846544,1.00510475807811,1.00510475807811,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
29,1,53,oscillatory,1.3697504526939983,-3.376647180502792e-16,24,0.997317846544,1.00510475807811,1.00510475807811,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
30,1,54,oscillatory,-1.3471949426154923,-2.532485385377094e-16,22,-0.997505581557,1.0094338109074037,1.0094338109074037,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
31,1,55,oscillatory,1.3471949426154923,-2.532485385377094e-16,22,0.997505581557,1.0094338109074037,1.0094338109074037,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
32,1,56,oscillatory,-1.3263587443275768,2.1104044878142451e-16,24,-0.99696367076,1.0044510104663362,1.0044510104663362,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
33,1,57,oscillatory,1.3263587443275768,2.1104044878142451e-16,24,0.99696367076,1.0044510104663362,1.0044510104663362,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
34,1,58,oscillatory,-1.3015477237362465,4.22080897562849e-17,24,-0.997285070273,1.0087829625261213,1.0087829625261213,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
35,1,59,oscillatory,1.3015477237362465,4.22080897562849e-17,24,0.997285070273,1.0087829625261213,1.0087829625261213,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
36,1,60,oscillatory,-1.2787584089254689,-4.642889873191339e-16,22,-0.996575976084,1.004679845365847,1.004679845365847,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
37,1,61,oscillatory,1.2787584089254689,-4.642889873191339e-16,22,0.996575976084,1.004679845365847,1.004679845365847,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
38,1,62,oscillatory,-1.251944470919283,0.0,24,-0.997048930641,1.008763840368247,1.008763840368247,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
39,1,63,oscillatory,1.251944470919283,0.0,24,0.997048930641,1.008763840368247,1.008763840368247,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
40,1,64,oscillatory,-1.2273764680900265,-4.22080897562849e-17,24,-0.996139431762,1.0051205882603143,1.0051205882603143,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
41,1,65,oscillatory,1.2273764680900265,-4.22080897562849e-17,24,0.996139431762,1.0051205882603143,1.0051205882603143,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
42,1,66,oscillatory,-1.1987196081696085,1.0552022439071226e-16,23,-0.99678118421,1.0089911292542624,1.0089911292542624,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
43,1,67,oscillatory,1.1987196081696085,1.0552022439071226e-16,23,0.99678118421,1.0089911292542624,1.0089911292542624,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
44,1,68,oscillatory,-1.1725517381515433,4.2208089756284903e-16,23,-0.995619037359,1.0057457489921535,1.0057457489921535,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
45,1,69,oscillatory,1.1725517381515433,4.2208089756284903e-16,23,0.995619037359,1.0057457489921535,1.0057457489921535,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
46,1,70,oscillatory,-1.142285844264774,-4.22080897562849e-17,24,-0.99646417053,1.009397632770649,1.009397632770649,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
47,1,71,oscillatory,1.142285844264774,-4.22080897562849e-17,24,0.99646417053,1.009397632770649,1.009397632770649,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
48,1,72,oscillatory,-1.1145755836530513,5.909132565879886e-16,22,-0.994993805282,1.0065491980680146,1.0065491980680146,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
49,1,73,oscillatory,1.1145755836530513,5.909132565879886e-16,22,0.994993805282,1.0065491980680146,1.0065491980680146,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
50,1,74,oscillatory,-1.082792654272917,-8.44161795125698e-17,24,-0.996089102927,1.0099744210715798,1.0099744210715798,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
51,1,75,oscillatory,1.082792654272917,-8.44161795125698e-17,24,0.996089102927,1.0099744210715798,1.0099744210715798,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
52,1,76,oscillatory,-1.0537119040886536,2.1104044878142451e-16,24,-0.994205632517,1.007571058832958,1.007571058832958,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
53,1,77,oscillatory,1.0537119040886536,2.1104044878142451e-16,24,0.994205632517,1.007571058832958,1.007571058832958,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
54,1,78,oscillatory,-1.020678780591944,-8.44161795125698e-17,23,-0.995629070955,1.0107064228568086,1.0107064228568086,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
55,1,79,oscillatory,1.020678780591944,-8.44161795125698e-17,23,0.995629070955,1.0107064228568086,1.0107064228568086,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
56,1,80,oscillatory,-0.9902544102941767,0.0,23,-0.993228929754,1.0088338000108965,1.0088338000108965,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
57,1,81,oscillatory,0.9902544102941767,0.0,23,0.993228929754,1.0088338000108965,1.0088338000108965,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
58,1,82,oscillatory,-0.95605344459197,-2.954566282939943e-16,24,-0.995071353584,1.0116237436918225,1.0116237436918225,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
59,1,83,oscillatory,0.95605344459197,-2.954566282939943e-16,24,0.995071353584,1.0116237436918225,1.0116237436918225,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
60,1,84,oscillatory,-0.9244704697491843,-8.44161795125698e-17,22,-0.991933824506,1.0104577348368202,1.0104577348368202,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
