low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,equilibrium_ready,score,numerically_trackable,physical_interpretation_allowed
41,63,2,2,80;81,123;124,-0.0,-0.0,0.0,0.9976194404889147,0.997619440488914,0.9967063948861125,0,2,-1.65076076738e-15;1.65076076738e-15,-3.01106502111e-15;3.01106502111e-15,1.3603042537319312e-15,2.2797423690441696,2.3442535919521443,real_dominant,real_dominant,UNDERRESOLVED,DIAGNOSTIC,True,0.997748263014877,True,False
38,64,2,2,74;75,125;126,-0.0,-0.0,0.0,0.9976194404889138,0.9976194404889133,0.9967063948861122,2,0,-1.26803547767e-15;1.26803547767e-15,-1.41563273727e-15;1.41563273727e-15,1.4759725960347786e-16,1.9731448119101598,1.9026749600007742,real_dominant,real_dominant,UNDERRESOLVED,DIAGNOSTIC,True,0.9977482630148764,True,False
36,61,2,2,70;72,119;121,-0.013252774412093363,-0.015233654835295436,0.130033169624698,0.9995833193145376,0.9995833193145374,0.9984415749815652,3,1,0.908426235001;0.908426235001,0.930933894879;0.930933894879,0.02250765987766057,1.8753938542639423,3.3292134478637756,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9798554098904091,True,False
37,62,2,2,71;73,120;122,0.013252774412093363,0.015233654835295436,0.130033169624698,0.9995833193145376,0.9995833193145374,0.9984415749815652,3,1,-0.908426235001;-0.908426235001,-0.930933894879;-0.930933894879,0.02250765987766057,1.8753938542639423,3.3292134478637756,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9798554098904091,True,False
48,58,2,2,92;94,114;116,-0.024038216367290827,-0.028444339131980145,0.1549033269588425,0.9996961182489283,0.9996961182489281,0.9989218861527642,3,3,0.96510492032;0.96510492032,0.97602889751;0.97602889751,0.010923977190116507,14.305418314509454,2.1311894991974936,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9763126434437217,False,False
49,59,2,2,93;95,115;117,0.024038216367290827,0.028444339131980145,0.1549033269588425,0.9996961182489283,0.9996961182489281,0.9989218861527642,3,3,-0.96510492032;-0.96510492032,-0.97602889751;-0.97602889751,0.010923977190116507,14.305418314509454,2.1311894991974936,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9763126434437217,False,False
34,48,2,2,66;68,94;96,-0.03179355159944624,-0.040025135465003185,0.20566036241787125,0.999582303535962,0.9995823035359617,0.9987932486829769,4,4,0.977455914346;0.977455914346,0.986510366858;0.986510366858,0.009054452512271327,1.0296133300190948,2.0377869566166087,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9685986399296407,False,False
35,49,2,2,67;69,95;97,0.03179355159944624,0.040025135465003185,0.20566036241787125,0.999582303535962,0.9995823035359617,0.9987932486829769,4,4,-0.977455914346;-0.977455914346,-0.986510366858;-0.986510366858,0.009054452512271327,1.0296133300190948,2.0377869566166087,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9685986399296407,False,False
30,44,2,2,58;60,86;88,-0.03507629898530455,-0.04865879293096058,0.27913750275161,0.9992622236587569,0.9992622236587565,0.9981294211724401,5,5,0.979853095623;0.979853095623,0.990109610445;0.990109610445,0.010256514821854412,2.6312333281651314,1.2644965006035267,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9572190640756226,False,False
31,45,2,2,59;61,87;89,0.03507629898530455,0.04865879293096058,0.27913750275161,0.9992622236587569,0.9992622236587565,0.9981294211724401,5,5,-0.979853095623;-0.979853095623,-0.990109610445;-0.990109610445,0.010256514821854412,2.6312333281651314,1.2644965006035267,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9572190640756226,False,False
32,40,2,2,62;64,78;80,-0.03275039110089883,-0.053273556801325186,0.3852411389944184,0.99845525125068,0.9984552512506798,0.9959519065395251,6,6,0.975596701722;0.975596701722,0.99121113827;0.99121113827,0.015614436548217037,1.033136162458056,1.1678765997501497,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9402749565361265,False,False
33,41,2,2,63;65,79;81,0.03275039110089883,0.053273556801325186,0.3852411389944184,0.99845525125068,0.9984552512506798,0.9959519065395251,6,6,-0.975596701722;-0.975596701722,-0.99121113827;-0.99121113827,0.015614436548217037,1.033136162458056,1.1678765997501497,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9402749565361265,False,False
16,32,2,2,30;32,62;64,-0.2870735492834598,-0.19073093139281663,0.33560255945250234,0.9675459705620214,0.9363084044032861,0.9998940223979316,16,16,-0.999710355177;-0.999710355177,-0.999205530166;-0.999205530166,0.0005048250107801966,1.0532345461335466,1.006221306583669,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9301607040188203,False,False
17,33,2,2,31;33,63;65,0.2870735492834598,0.19073093139281663,0.33560255945250234,0.9675459705620214,0.9363084044032861,0.9998940223979316,16,16,0.999710355177;0.999710355177,0.999205530166;0.999205530166,0.0005048250107801966,1.0532345461335466,1.006221306583669,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9301607040188203,False,False
14,30,2,2,26;28,58;60,-0.3309344717072059,-0.23941873187040646,0.27653734397838126,0.94453680075791,0.944536800757909,0.9999469656558855,17,17,-0.999793301451;-0.999793301451,-0.999505301286;-0.999505301286,0.00028800016460928113,13.590383510852666,2.7879192656955523,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9252282202719602,False,False
15,31,2,2,27;29,59;61,0.3309344717072059,0.23941873187040646,0.27653734397838126,0.94453680075791,0.944536800757909,0.9999469656558855,17,17,0.999793301451;0.999793301451,0.999505301286;0.999505301286,0.00028800016460928113,13.590383510852666,2.7879192656955523,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9252282202719602,False,False
12,28,2,2,22;24,54;56,-0.3720158073130666,-0.290114245738034,0.22015613305944576,0.9257686018816826,0.9257686018816812,0.9999720644494444,18,18,-0.999844818867;-0.999844818867,-0.999670659749;-0.999670659749,0.00017415911846152543,1.0003447633954503,1.3767637900574876,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9224307572824538,False,False
13,29,2,2,23;25,55;57,0.3720158073130666,0.290114245738034,0.22015613305944576,0.9257686018816826,0.9257686018816812,0.9999720644494444,18,18,0.999844818867;0.999844818867,0.999670659749;0.999670659749,0.00017415911846152543,1.0003447633954503,1.3767637900574876,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9224307572824538,False,False
18,34,2,2,34;36,66;68,-0.24173679135564546,-0.144816647196658,0.4009325333370445,0.9703291129867961,0.9703291129867955,0.9997674251265272,15,15,-0.999570101933;-0.999570101933,-0.998601883293;-0.998601883293,0.0009682186397357295,1.4204771244838406,17.635988871476847,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9219994440731528,False,False
19,35,2,2,35;37,67;69,0.24173679135564546,0.144816647196658,0.4009325333370445,0.9703291129867961,0.9703291129867955,0.9997674251265272,15,15,0.999570101933;0.999570101933,0.998601883293;0.998601883293,0.0009682186397357295,1.4204771244838406,17.635988871476847,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9219994440731528,False,False
10,26,2,2,18;20,50;52,-0.4090940364556038,-0.34201264053944724,0.16397549203442485,0.9021043031610481,0.9021043031610462,0.9999850882747676,19,19,-0.999877918017;-0.999877918017,-0.999769035333;-0.999769035333,0.00010888268342856833,1.1848993961581482,9.711025417513625,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.916662530160157,False,False
11,27,2,2,19;21,51;53,0.4090940364556038,0.34201264053944724,0.16397549203442485,0.9021043031610481,0.9021043031610462,0.9999850882747676,19,19,0.999877918017;0.999877918017,0.999769035333;0.999769035333,0.00010888268342856833,1.1848993961581482,9.711025417513625,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.916662530160157,False,False
20,36,2,2,38;40,70;72,-0.19626567140353504,-0.10237995301218494,0.4783603659262191,0.9786920093710465,0.9786920093710458,0.9994044199672515,14,14,-0.999316461445;-0.999316461445,-0.997179016665;-0.997179016665,0.002137444780486275,4.128032630814769,1.0283093145064088,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9153122557255078,False,False
21,37,2,2,39;41,71;73,0.19626567140353504,0.10237995301218494,0.4783603659262191,0.9786920093710465,0.9786920093710458,0.9994044199672515,14,14,0.999316461445;0.999316461445,0.997179016665;0.997179016665,0.002137444780486275,4.128032630814769,1.0283093145064088,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9153122557255078,False,False
46,42,2,2,88;90,82;84,-0.0239681357287143,-0.053068809337321915,0.5483573867963506,0.995453512038893,0.9954535120388927,0.9854656779337904,7,7,0.953992895118;0.953992895118,0.99069517292;0.99069517292,0.03670227780215518,6.89512568649136,2.8984422884531544,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9113849186873308,False,False
47,43,2,2,89;91,83;85,0.0239681357287143,0.053068809337321915,0.5483573867963506,0.995453512038893,0.9954535120388927,0.9854656779337904,7,7,-0.953992895118;-0.953992895118,-0.99069517292;-0.99069517292,0.03670227780215518,6.89512568649136,2.8984422884531544,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9113849186873308,False,False
8,24,2,2,14;16,46;48,-0.4410643020133532,-0.3942880513493241,0.1060531320501494,0.8728713042109546,0.8728713042109516,0.9999922866012761,20,20,-0.999899575645;-0.999899575645,-0.999830999555;-0.999830999555,6.857608993982023e-05,1.7528204956439148,1.0226848097232202,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9078128843693695,True,False
9,25,2,2,15;17,47;49,0.4410643020133532,0.3942880513493241,0.1060531320501494,0.8728713042109546,0.8728713042109516,0.9999922866012761,20,20,0.999899575645;0.999899575645,0.999830999555;0.999830999555,6.857608993982023e-05,1.7528204956439148,1.0226848097232202,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9078128843693695,True,False
22,38,2,2,42;44,74;76,-0.15199307870982276,-0.06402195531982374,0.5787837455279716,0.98455753641039,0.9845575364103893,0.9980137384830222,13,13,-0.99881298152;-0.99881298152,-0.992796564131;-0.992796564131,0.0060164173888903605,1.0211705929809423,1.1719760114436615,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9034203946377938,False,False
23,39,2,2,43;45,75;77,0.15199307870982276,0.06402195531982374,0.5787837455279716,0.98455753641039,0.9845575364103893,0.9980137384830222,13,13,0.99881298152;0.99881298152,0.992796564131;0.992796564131,0.0060164173888903605,1.0211705929809423,1.1719760114436615,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.9034203946377938,False,False
6,22,2,2,10;12,40;42,-0.4669741917322156,-0.44610963919709146,0.04468031189845458,0.837582988871693,0.8375829888716907,0.9999963984209941,21,21,-0.999913709559;-0.999913709559,-0.999871805154;-0.999871805154,4.1904404935566575e-05,1.0001685411468786,1.3152435314755135,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.8958468461434961,True,False
7,23,2,2,11;13,41;43,0.4669741917322156,0.44610963919709146,0.04468031189845458,0.837582988871693,0.8375829888716907,0.9999963984209941,21,21,0.999913709559;0.999913709559,0.999871805154;0.999871805154,4.1904404935566575e-05,1.0001685411468786,1.3152435314755135,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.8958468461434961,True,False
24,50,2,2,46;48,98;100,-0.11019220132389296,-0.030061431058643385,0.7271909382200066,0.9856932335450411,0.9856932335450403,0.9886959188125736,12,12,-0.997668329042;-0.997668329042,-0.968547506983;-0.968547506983,0.02912082205900468,1.0057801705681217,1.0328551130147692,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.8795112790971671,False,False
25,51,2,2,47;49,99;101,0.11019220132389296,0.030061431058643385,0.7271909382200066,0.9856932335450411,0.9856932335450403,0.9886959188125736,12,12,0.997668329042;0.997668329042,0.968547506983;0.968547506983,0.02912082205900468,1.0057801705681217,1.0328551130147692,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.8795112790971671,False,False
4,20,2,2,6;8,38;44,-0.4860522803178744,-0.4966564091204957,0.021351035862800266,0.7960705738915772,0.7960705738915738,0.9999987034737686,22,22,-0.999922575147;-0.999922575147,-0.9998996423;-0.9998996423,2.2932847139611745e-05,21.53224381009349,2.8355958635635137,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.8744393648239683,False,False
5,21,2,2,7;9,39;45,0.4860522803178744,0.4966564091204957,0.021351035862800266,0.7960705738915772,0.7960705738915738,0.9999987034737686,22,22,0.999922575147;0.999922575147,0.9998996423;0.9998996423,2.2932847139611745e-05,21.53224381009349,2.8355958635635137,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,True,0.8744393648239683,False,False
42,60,1,1,82,118,-5.055499352309841e-10,-0.0,1.0,0.9999999999999981,0.9999999999999981,1.0,0,0,-1.20347624955e-07,0,1.2034762495469086e-07,11110242.39713729,15504688.08233008,oscillatory,real_dominant,UNDERRESOLVED,DIAGNOSTIC,True,0.8499999999999989,False,False
43,65,1,1,83,127,5.055499352309841e-10,-0.0,1.0,0.9999999999999982,0.9999999999999982,1.0,0,0,1.20347624955e-07,0,1.2034762495469086e-07,11110242.39713729,15504686.895053718,oscillatory,real_dominant,UNDERRESOLVED,DIAGNOSTIC,True,0.8499999999999989,False,False
