low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_ppw,high_ppw,low_wavelength_status,high_wavelength_status,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,equilibrium_ready,score,numerically_trackable,physical_interpretation_allowed
145,142,1,1,145,142,-0.0,-0.0,0.0,0.9999982766821633,0.9999982766821633,0.9999997945969423,3,3,85.33333333333333,106.66666666666667,RESOLVED,RESOLVED,0,0,0.0,1.1503499776448682,1.150158648337191,real_dominant,real_dominant,RESOLVED,RESOLVED,False,0.9999989146585336,True,False
144,143,1,1,144,143,-0.0,-0.0,0.0,0.9999982766821628,0.9999982766821628,0.9999997945969423,3,3,85.33333333333333,106.66666666666667,RESOLVED,RESOLVED,0,0,0.0,1.1503499776448667,1.1501586483371895,real_dominant,real_dominant,RESOLVED,RESOLVED,False,0.9999989146585333,True,False
276,272,1,1,276,272,-0.02722390542721319,-0.02726006467069599,0.0013264547945722688,0.9992919533292534,0.9992919533292534,0.9999796792538541,4,4,64.0,80.0,RESOLVED,RESOLVED,0.0287704538749,0.0286548215159,0.0001156323589609487,1.8370245189038235,1.8471460279684244,mixed,mixed,RESOLVED,RESOLVED,False,0.9993711235918297,True,False
277,273,1,1,277,273,0.02722390542721319,0.02726006467069599,0.0013264547945722688,0.9992919533292534,0.9992919533292534,0.9999796792538541,4,4,64.0,80.0,RESOLVED,RESOLVED,-0.0287704538749,-0.0286548215159,0.0001156323589609487,1.8370245189038235,1.8471460279684244,mixed,mixed,RESOLVED,RESOLVED,False,0.9993711235918297,True,False
274,270,1,1,274,270,-0.027223905427213237,-0.02726006467069609,0.001326454794574393,0.9992919533292529,0.9992919533292529,0.9999796792538541,4,4,64.0,80.0,RESOLVED,RESOLVED,0.0287704538749,0.028654821516,0.00011563235895830498,1.83702451890384,1.8471460279684269,mixed,mixed,RESOLVED,RESOLVED,False,0.9993711235918291,True,False
275,271,1,1,275,271,0.027223905427213237,0.02726006467069609,0.001326454794574393,0.9992919533292529,0.9992919533292529,0.9999796792538541,4,4,64.0,80.0,RESOLVED,RESOLVED,-0.0287704538749,-0.028654821516,0.00011563235895830498,1.83702451890384,1.8471460279684269,mixed,mixed,RESOLVED,RESOLVED,False,0.9993711235918291,True,False
152,154,1,1,152,154,-0.047262843019776825,-0.04751355104193107,0.005276558300872844,0.9999917214711774,0.9999917214711774,0.9999994992205203,1,1,256.0,320.0,RESOLVED,RESOLVED,0.0107295998434,0.0105863048621,0.00014329498129792874,1.1655188402559098,1.1644276270198157,mixed,mixed,RESOLVED,RESOLVED,False,0.9992034239427056,True,False
153,155,1,1,153,155,0.047262843019776825,0.04751355104193107,0.005276558300872844,0.9999917214711774,0.9999917214711774,0.9999994992205203,1,1,256.0,320.0,RESOLVED,RESOLVED,-0.0107295998434,-0.0105863048621,0.00014329498129792874,1.1655188402559098,1.1644276270198157,mixed,mixed,RESOLVED,RESOLVED,False,0.9992034239427056,True,False
150,150,1,1,150,150,-0.047262843019777415,-0.04751355104193193,0.0052765583008783,0.9999917214711767,0.9999917214711767,0.9999994992205206,1,1,256.0,320.0,RESOLVED,RESOLVED,0.0107295998434,0.0105863048621,0.00014329498129698852,1.1655188402559074,1.1644276270198153,mixed,mixed,RESOLVED,RESOLVED,False,0.9992034239427043,True,False
151,151,1,1,151,151,0.047262843019777415,0.04751355104193193,0.0052765583008783,0.9999917214711767,0.9999917214711767,0.9999994992205206,1,1,256.0,320.0,RESOLVED,RESOLVED,-0.0107295998434,-0.0105863048621,0.00014329498129698852,1.1655188402559074,1.1644276270198153,mixed,mixed,RESOLVED,RESOLVED,False,0.9992034239427043,True,False
