basis,candidate_a,candidate_b,growth_A_over_B,pair_id,winner_anonymous
MODE_GATE,4d292581840e03c8,ebad1cdf7d5c400b,,P00000,A
MODE_GATE,d76d0fa474c709db,4432b2dd7b4e9476,,P00001,INDETERMINATE
MODE_GATE,4fe48e0a072b3e53,cdaa0d562d2df0fc,,P00002,INDETERMINATE
MODE_GATE,e3d70914829c68fd,87ca12dd4d77a8f5,,P00003,INDETERMINATE
MODE_GATE,28694abaa52f8838,a164752e13b896ce,,P00004,INDETERMINATE
CONVERGED_GROWTH,122a412fa758d09b,f45cb85e95eef950,0.8769051072644036,P00005,A
MODE_GATE,24bfacfba466d33b,8ae9865ea40b70b9,,P00006,INDETERMINATE
MODE_GATE,14198e2178da03e3,8ab06761164d16e7,,P00007,INDETERMINATE
MODE_GATE,dbcc264bd697cfbb,6451249bbe28a5e3,,P00008,B
CONVERGED_GROWTH,865bf06fac1bd1c6,4a9c301a871fdbce,0.8843817734755073,P00009,A
CONVERGED_GROWTH,55fe16fb79385def,b1713148ed56fa9c,0.00034576468804944005,P00010,TIE
CONVERGED_GROWTH,1daac4f530b5cd55,ac691778e2ab8698,1.147052308683149,P00011,B
MODE_GATE,a6f24396d4e1a284,5347276de93999ae,,P00012,A
CONVERGED_GROWTH,70b1f2e76060cafe,cc698cfd9f9ba7c5,1.4360448387622313,P00013,B
MODE_GATE,5444f40450e841b4,95056ab4335062b1,,P00014,B
CONVERGED_GROWTH,e24a0cd1ddc25feb,20988bbf1a9e0c2a,0.00025916370353246007,P00015,TIE
MODE_GATE,06cec45c0c294dfe,bc8b0b0e0cb5d79c,,P00016,INDETERMINATE
CONVERGED_GROWTH,04fd52aafc61176f,cec1658d6519358f,1.2899811930933744,P00017,B
CONVERGED_GROWTH,668e2b1f817acffe,74ff0931faa89d90,0.0001751890248795808,P00018,TIE
CONVERGED_GROWTH,1d61ec768e81d195,779311666d4adb17,0.00041386990775691264,P00019,TIE
MODE_GATE,be8abd654192b52e,6610651a2d7d4151,,P00020,B
CONVERGED_GROWTH,d7007e11467ed121,e24a1c5ce68c4276,1.3545871358026627,P00021,B
MODE_GATE,16b259a206769602,9fb6be3efebf3d1c,,P00022,INDETERMINATE
CONVERGED_GROWTH,b18f03fe7eb3d84f,c90f7c0c024693c4,4.59612628164388e-06,P00023,TIE
MODE_GATE,351a2b85eab874e5,03f75bebfd47ac9b,,P00024,INDETERMINATE
MODE_GATE,6be7629078b18891,92953dbcfb28dcb1,,P00025,INDETERMINATE
MODE_GATE,f1c1d86e72bbfe49,07481e4def6e439d,,P00026,INDETERMINATE
MODE_GATE,99df86de8264706c,4992c3ba0622d72c,,P00027,INDETERMINATE
MODE_GATE,88494b5fec1296ca,40f9b7cef997c7e1,,P00028,INDETERMINATE
MODE_GATE,57f85248ae48842e,25899df5f4af1076,,P00029,B
MODE_GATE,c4803b42cb08ca67,ec2faebd179dada5,,P00030,INDETERMINATE
MODE_GATE,ee7da41dd621d435,cb04696c62fc6f15,,P00031,INDETERMINATE
CONVERGED_GROWTH,8d7ad743cd1a6702,ec51e79be90086ce,6987803736.433644,P00032,B
