axial_ratio,candidate_a,candidate_b,carrier_id,condition_a,condition_b,control_offset,core_fraction,family,m,n,pair_id,profile,winner_condition,closed_growth,control_growth,closed_over_control_growth,closed_loop_phase,closed_tau_error,closed_hybridization,closed_mode_valid,control_mode_valid
-0.75,da2e089cb26cc29b,813168c88e2aac97,TORUS_T2_3,CLOSED,OFFSET_CONTROL,-0.37,0.05,torus,1,1,P00000,gaussian,INDETERMINATE,9.796211554607037e-05,1.5291953390186595e-14,97962115.54607038,2.938780537239642,0.41359999999999997,0.20222910997343604,False,False
-0.75,68db9e7bdc44447d,fc9b57bbaf5d7800,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,1,2,P00001,gaussian,CLOSED,0.01933195289062926,0.022114782321625358,0.8741642856563479,-1.9295685253270347,0.013700000000000045,0.2359474881828614,True,True
-0.75,476c262426577c40,4f5e344b9fb801f0,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,2,1,P00002,gaussian,CLOSED,0.0,9.486928722905692e-18,0.0,-2.502730756406032,0.33299999999999996,0.27996358441741404,True,False
-0.75,cf3cdd2853a358cb,f26222b676a44865,TORUS_T2_3,CLOSED,OFFSET_CONTROL,-0.37,0.05,torus,2,2,P00003,gaussian,INDETERMINATE,nan,0.0,nan,nan,nan,nan,False,False
0.75,ef02263d0e37bf5b,345f24c0b3b79714,TORUS_T2_3,CLOSED,OFFSET_CONTROL,0.37,0.05,torus,1,1,P00004,gaussian,CLOSED,0.0003018601052243797,0.0005641588565932542,0.535062246558001,0.12857109948168943,0.23739999999999994,0.22896915501474024,True,True
0.75,4ecc86a3792f3621,d0f78252cb0bc112,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,1,2,P00005,gaussian,CLOSED,0.0011197545522896072,0.0014309610848840114,0.7825192202067259,2.491619010905318,0.06999999999999995,0.252784515803986,True,True
0.75,3f43969225905343,059d55abb47c8ef9,TORUS_T2_3,OFFSET_CONTROL,CLOSED,0.37,0.05,torus,2,1,P00006,gaussian,TIE,1.4836374138843202e-16,4.712050265416952e-16,0.00014836374138843203,-0.8821457552708165,0.3675999999999999,0.3847651726856659,True,True
0.75,b67db3361e9dd999,73b339a54a05102c,TORUS_T2_3,CLOSED,OFFSET_CONTROL,0.37,0.05,torus,2,2,P00007,gaussian,TIE,1.7654847863528723e-16,1.304977467754268e-16,0.00017654847863528722,2.043983971531798,0.1288999999999999,0.4087989795190371,True,True
-0.75,dccfbda4c482a80d,151ff4b2511ef1f3,TWIST_5_2,OFFSET_CONTROL,CLOSED,-0.37,0.05,twist,1,1,P00008,gaussian,INDETERMINATE,0.0,1.6556752440278725e-15,0.0,2.981296630665305,0.3024999999999999,0.988452268117891,False,False
-0.75,0d68c8a13bce432e,488e6f179acd90ee,TWIST_5_2,CLOSED,OFFSET_CONTROL,0.37,0.05,twist,1,2,P00009,gaussian,CLOSED,0.016503054523065126,0.018795299824779906,0.8780415676746661,2.6327720811407347,0.013699999999999823,0.19437776273178056,True,True
-0.75,b4ecb69a1bb46ca3,d3382c06a58c97b7,TWIST_5_2,CLOSED,OFFSET_CONTROL,0.37,0.05,twist,2,1,P00010,gaussian,CLOSED,5.003557629160989e-18,2.1431024517492877e-17,5.003557629160989e-06,-1.5527518551743769,0.1319999999999999,0.30406316505351044,True,False
-0.75,e00d17d7bbe0adbb,929de6ed39686014,TWIST_5_2,CLOSED,OFFSET_CONTROL,-0.37,0.05,twist,2,2,P00011,gaussian,INDETERMINATE,0.0,0.0,0.0,nan,nan,0.2755484148062841,False,False
0.75,42ab864768ec79d4,2a7e6859a6f94118,TWIST_5_2,OFFSET_CONTROL,CLOSED,0.37,0.05,twist,1,1,P00012,gaussian,CLOSED,0.00019897323383404148,0.00037709402731708855,0.5276488605499181,2.928533633027543,0.44509999999999994,0.22635038487216239,True,True
0.75,bfc434a3be357c10,e344374f6cd2a059,TWIST_5_2,CLOSED,OFFSET_CONTROL,-0.37,0.05,twist,1,2,P00013,gaussian,OFFSET_CONTROL,0.000812672808870631,0.0005286400562320425,1.537289502167264,0.09000751063496155,0.36449999999999994,0.24398832473848062,True,True
0.75,29b24dc766d4f203,b1fd6c50aa0bdaa0,TWIST_5_2,OFFSET_CONTROL,CLOSED,-0.37,0.05,twist,2,1,P00014,gaussian,TIE,1.0972091884564488e-16,5.613126145506394e-17,0.00010972091884564487,2.7619703731026286,0.44200000000000006,0.30066031104465,True,True
0.75,d2f10749c73c1925,a5aad20a49ef043c,TWIST_5_2,CLOSED,OFFSET_CONTROL,0.37,0.05,twist,2,2,P00015,gaussian,TIE,2.760383551058925e-16,3.6400277053035054e-16,0.0002760383551058925,-1.976786548561279,0.4477,0.3806715587301598,True,True
