axial_ratio,candidate_a,candidate_b,carrier_id,condition_a,condition_b,control_offset,core_fraction,family,m,n,pair_id,profile,winner_condition,closed_growth,control_growth,closed_over_control_growth,log_growth_ratio,neutral_pair,both_valid,closed_loop_phase,closed_tau_error,closed_hybridization,closed_mode_valid,control_mode_valid,closed_delay_valid,lambda_real,lambda_imag,omega_mode,T_mode,group_velocity,tau_loop_group,tau_return_measured,phi_loop,omega_swirl_rms_core,mode_over_swirl_frequency_ratio
-1.5,dfcfab11a0195895,f6d1c4ffa17e6782,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,1,1,P00000,gaussian,INDETERMINATE,0.00016778825162358618,7.17499780977166e-05,nan,nan,False,False,nan,nan,0.5152884990871005,False,False,False,0.00016778825162358618,-0.06386911603623012,0.06386911603623012,98.37595534617097,-0.004253691495838123,nan,nan,nan,1.3207793553866565,0.048357142906380844
-1.5,8d38a17afb90b222,b3a80ff06032af44,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,1,2,P00001,gaussian,INDETERMINATE,0.012458477879283645,0.011829257423386762,nan,nan,False,False,nan,nan,0.3128762512394004,False,False,False,0.012458477879283645,-0.9909078326396753,0.9909078326396753,6.34083726075899,-0.47993521572217496,nan,nan,nan,1.3207793553866565,0.7502447919089319
-1.5,78852d1a0ae4399d,aa919965883d40af,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,2,1,P00002,gaussian,INDETERMINATE,nan,nan,nan,nan,False,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan
-1.5,845653fa39071a66,364a42e937922a2f,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,2,2,P00003,gaussian,INDETERMINATE,nan,nan,nan,nan,False,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan
-1.0,bb0958dd956e2fa0,c7ea961c1c107b68,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,1,P00004,gaussian,INDETERMINATE,0.0,0.0,nan,nan,False,False,nan,nan,0.8127441317375893,False,False,False,0.0,-1.0236033654518202,1.0236033654518202,6.13830075129362,-0.08877791950332513,nan,nan,nan,1.3207793553866565,0.7749995192438192
-1.0,f1e7d91ca4970e96,1c6d36e497958f37,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,2,P00005,gaussian,SYMMETRIC_CONTROL,0.028829028645273876,0.021451466304509986,1.3439186299365709,0.295589697066188,False,True,0.40122525972913864,0.0036249999999999893,0.19240453356584147,True,True,True,0.028829028645273876,-1.4724236961601516,1.4724236961601516,4.267240009492608,-1.0183395409597291,251.4951032598988,252.40677300921595,0.40122525972913864,1.3207793553866565,1.1148142876060487
-1.0,2aa0e468a4843a1a,be5e08b78f7f0348,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,2,1,P00006,gaussian,INDETERMINATE,0.0,nan,nan,nan,False,False,nan,nan,0.19678976069249973,False,False,False,-6.9033580387693e-16,-2.2939532108478193,2.2939532108478193,2.7390206903380525,nan,nan,nan,nan,1.3207793553866565,1.736817888235592
-1.0,ff14db94ee1ffcf1,021c36bfd28dad34,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,2,2,P00007,gaussian,INDETERMINATE,nan,nan,nan,nan,False,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan
-0.5,141052558db34c05,7d8fd010552529ad,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,1,1,P00008,gaussian,CLOSED,0.006865959796572387,0.005307023157612744,nan,nan,False,False,-2.79510502716732,0.11262499999999998,0.19492750651646001,True,False,True,0.006865959796572387,-1.5271983305258172,1.5271983305258172,4.114190790803362,-0.4170937119536503,614.0284561177107,544.8735012474535,-2.79510502716732,1.3207793553866565,1.156285737127328
-0.5,aad0969008088717,ad9f153109019c56,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,2,P00009,gaussian,TIE,0.014959391277196343,0.014761540157160278,1.0134031397739143,0.013314112312139647,False,True,1.0481206103401162,0.00749999999999984,0.3793415578117789,True,True,True,0.014959391277196343,-1.5115718505499034,1.5115718505499034,4.1567228874325695,-0.49062293604694257,522.0045562297169,525.9195904014397,1.0481206103401162,1.3207793553866565,1.144454480140926
