axial_ratio,candidate_a,candidate_b,carrier_id,condition_a,condition_b,control_offset,core_fraction,family,m,n,pair_id,profile,winner_condition,closed_growth,control_growth,closed_over_control_growth,log_growth_ratio,neutral_pair,both_valid,closed_loop_phase,closed_tau_error,closed_hybridization,closed_mode_valid,control_mode_valid,closed_delay_valid,lambda_real,lambda_imag,omega_mode,T_mode,group_velocity,tau_loop_group,tau_return_measured,phi_loop,omega_swirl_rms_core,mode_over_swirl_frequency_ratio
-1.0,065fa640f77d04a0,52598200b61ee818,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,1,P00000,gaussian,INDETERMINATE,0.0,0.0,nan,nan,False,False,nan,nan,0.8127441317375893,False,False,False,0.0,-1.0236033654518202,1.0236033654518202,6.13830075129362,-0.08877791950332513,nan,nan,nan,1.3207793553866565,0.7749995192438192
-1.0,de0206597abddbb2,f5ebcb8821678189,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,2,P00001,gaussian,SYMMETRIC_CONTROL,0.028829028645273876,0.021451466304509986,1.3439186299365709,0.295589697066188,False,True,0.40122525972913864,0.0036249999999999893,0.19240453356584147,True,True,True,0.028829028645273876,-1.4724236961601516,1.4724236961601516,4.267240009492608,-1.0183395409597291,251.4951032598988,252.40677300921595,0.40122525972913864,1.3207793553866565,1.1148142876060487
-1.0,61e301d094f4b25f,13d1f6eff52775d8,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,2,1,P00002,gaussian,INDETERMINATE,0.0,nan,nan,nan,False,False,nan,nan,0.19678976069249973,False,False,False,-6.9033580387693e-16,-2.2939532108478193,2.2939532108478193,2.7390206903380525,nan,nan,nan,nan,1.3207793553866565,1.736817888235592
-1.0,b910e72d5f9bfcef,f44d7ebed183ad1a,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,2,2,P00003,gaussian,INDETERMINATE,nan,nan,nan,nan,False,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan
0.0,68be475277e89492,6539072d3be847e6,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,1,1,P00004,gaussian,TIE,0.0,1.1791393315352596e-18,1.0,0.0,True,True,1.6390836687778003,0.429875,0.9430350521811625,True,True,True,0.0,-1.5849823890954993,1.5849823890954993,3.9641988140733897,0.024695233738852088,10370.722169127754,14828.836361581547,1.6390836687778003,1.3207793553866565,1.2000357081834443
0.0,5dd12d187b8699e4,cf7460988112eeba,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,2,P00005,gaussian,SYMMETRIC_CONTROL,6.519087389096648e-17,2.986637976000927e-17,nan,nan,False,False,nan,nan,0.4242531812403921,False,True,False,6.519087389096648e-17,-1.578046688761968,1.578046688761968,3.9816219329410094,0.07017889367285211,nan,nan,nan,1.3207793553866565,1.1947844901770113
0.0,764b2878907b7b14,dacad756e5779011,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,1,P00006,gaussian,TIE,6.516184370025646e-18,7.397311804107398e-18,1.0,0.0,True,True,2.391391170480013,0.20125000000000015,0.8420568877873273,True,True,True,6.516184370025646e-18,-3.167984427558267,3.167984427558267,1.9833384446344544,0.022045764301901468,11617.080020456153,13955.017374572955,2.391391170480013,1.3207793553866565,2.3985720360013074
0.0,bdb572b7fad7e04f,d796d7a089c671e4,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,2,P00007,gaussian,TIE,2.1910703649752913e-17,2.5247516594658224e-17,1.0,0.0,True,True,-1.1619989280665979,0.06612499999999988,0.382078598229806,True,True,True,2.1910703649752913e-17,-3.0736780256547864,3.0736780256547864,2.044191113947622,-0.06058085018294087,4227.53076647021,3947.985294537368,-1.1619989280665979,1.3207793553866565,2.327169949408371
1.0,748f97fed91b6e75,d0f864732e644b62,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,1,P00008,gaussian,INDETERMINATE,0.0003096668967836193,0.0003050037543454001,nan,nan,False,False,nan,nan,0.34390458026785453,False,False,False,0.0003096668967836193,-0.06463258072798805,0.06463258072798805,97.21390104509254,-0.005378717800315876,nan,nan,nan,1.3207793553866565,0.04893518396119006
1.0,af439c408d90b9d8,2e2d4a205d085e38,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,2,P00009,gaussian,TIE,0.0011676636421382226,0.0011771238959980127,0.9919633153951706,-0.008069152829474659,False,True,-2.909095781230494,0.32187500000000013,0.3540443761199931,True,True,True,0.0011676636421382226,-0.07367091787541807,0.07367091787541807,85.28718642822977,0.009466976311758132,27052.71457046065,18345.122068093624,-2.909095781230494,1.3207793553866565,0.05577836871462229
