basis,candidate_a,candidate_b,growth_A_over_B,pair_id,winner_anonymous
MODE_GATE,f56b73c6efa59509,6d636cabc9f4138b,,P00000,INDETERMINATE
MODE_GATE,e354e94a77dad1bd,3ba7f7a248d7961d,,P00001,INDETERMINATE
MODE_GATE,5c93692adb561b3b,b927edb8b5465ce8,,P00002,INDETERMINATE
NEUTRAL_NEUTRAL,75437be79a4fbad4,7edc755144d80f01,1.0,P00003,TIE
CONVERGED_GROWTH,2f8b6969d0b2488e,abd3e905043d7129,1.7674786280543267,P00004,B
CONVERGED_GROWTH,86db0f07c9e4dc80,395b684aac4d7e7e,0.996372254942472,P00005,TIE
MODE_GATE,21975def86fd960f,2d6fe0ff16194fc1,,P00006,B
NEUTRAL_NEUTRAL,ce9907ddd2775316,b9a42ba5534bde32,1.0,P00007,TIE
NEUTRAL_NEUTRAL,6a3476a717df9022,98317502c89c4493,1.0,P00008,TIE
NEUTRAL_NEUTRAL,9dd52d595fa05bf6,555c9ec345859ada,1.0,P00009,TIE
NEUTRAL_NEUTRAL,fe43720816fef696,c5f0e1d09e1a61fc,1.0,P00010,TIE
MODE_GATE,7dca38fd4c997ecb,aac2783fcecc79b3,,P00011,B
CONVERGED_GROWTH,41bcacf9b1aedbb9,e4c21f6b36475f5f,0.7475064063065452,P00012,A
CONVERGED_GROWTH,01db573cbbe08266,bec5b2a9d2248134,0.890142305095872,P00013,A
CONVERGED_GROWTH,817d3780d8e36eef,0b8690173efc90cf,1.0754569637708475,P00014,B
CONVERGED_GROWTH,0d0673cf9d5b63c9,7e11c4dd9b04f11d,1.070527169647904,P00015,B
CONVERGED_GROWTH,e60047918f8c64c6,b4f99f887d255196,1.0173080449904053,P00016,TIE
CONVERGED_GROWTH,5e6c6463c6cfdcc2,15776ed901dccd95,1.0108890891503532,P00017,TIE
NEUTRAL_NEUTRAL,32b1c145d0233ce8,97d02dce67db936b,1.0,P00018,TIE
MODE_GATE,97f98d931e393973,725e80cd2a173a3e,,P00019,B
NEUTRAL_NEUTRAL,135d55226150da68,662ada7b09c38b73,1.0,P00020,TIE
MODE_GATE,f298fcc9b5c65845,f7b390f2d695b615,,P00021,INDETERMINATE
NEUTRAL_NEUTRAL,fa5717794865e42e,4d785a9973519802,1.0,P00022,TIE
NEUTRAL_NEUTRAL,28f23207ee34240d,3d5e791cf0d4dcd0,1.0,P00023,TIE
MODE_GATE,a6922c5e8411fb93,b5567fdde294983b,,P00024,INDETERMINATE
MODE_GATE,0ce2c0716e4fad12,939a016429b7285e,,P00025,INDETERMINATE
MODE_GATE,a1a1dc75259a0ba7,5182f8c458534df3,,P00026,INDETERMINATE
NEUTRAL_NEUTRAL,e88b4b750dd16ac4,4780c2488225c2f1,1.0,P00027,TIE
MODE_GATE,d8b2a729dba530c8,923fc64c6e1a11b9,,P00028,A
CONVERGED_GROWTH,2abd938383e4b8e9,8b448ec488a34554,1.0028859249886322,P00029,TIE
NEUTRAL_NEUTRAL,83aede34605ddb94,c1c41b0b352565e8,1.0,P00030,TIE
NEUTRAL_NEUTRAL,4839d9836b0f2b0f,890539d6a627026a,1.0,P00031,TIE
NEUTRAL_NEUTRAL,e8f67a87c1cf37cd,d64f4da5ee959528,1.0,P00032,TIE
NEUTRAL_NEUTRAL,d666f690fe33de15,c97aef7adaf69e05,1.0,P00033,TIE
NEUTRAL_NEUTRAL,7cdb771f7edbad0d,1b4b7597f9a101c0,1.0,P00034,TIE
MODE_GATE,523056d48c466a18,a1aa8d3336128c5a,,P00035,INDETERMINATE
CONVERGED_GROWTH,6287881d54be70c1,34e56f56be0668ab,0.9329686571533774,P00036,A
CONVERGED_GROWTH,c170ee148d2af0f5,a585ae924207674f,1.1254980273857351,P00037,B
CONVERGED_GROWTH,915a10083fcc40a8,a1c2bf08815a6444,0.9313167967282951,P00038,A
