axial_ratio,candidate_a,candidate_b,carrier_id,condition_a,condition_b,control_offset,core_fraction,family,m,n,pair_id,profile,winner_condition,closed_growth,control_growth,closed_over_control_growth,log_growth_ratio,neutral_pair,both_valid,closed_loop_phase,closed_tau_error,closed_hybridization,closed_mode_valid,control_mode_valid,closed_delay_valid,lambda_real,lambda_imag,omega_mode,T_mode,group_velocity,tau_loop_group,tau_return_measured,phi_loop,omega_swirl_rms_core,mode_over_swirl_frequency_ratio
-1.0,f56b73c6efa59509,6d636cabc9f4138b,TORUS_T2_5,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,2,1,P00000,gaussian,INDETERMINATE,nan,nan,nan,nan,False,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan
-1.0,e354e94a77dad1bd,3ba7f7a248d7961d,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,2,2,P00001,gaussian,INDETERMINATE,nan,nan,nan,nan,False,False,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan
-1.0,5c93692adb561b3b,b927edb8b5465ce8,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,2,3,P00002,gaussian,INDETERMINATE,0.036972394864274304,nan,nan,nan,False,False,nan,nan,0.19332663993543864,False,False,False,0.036972394864274304,-2.0579269067184773,2.0579269067184773,3.0531625232494815,nan,nan,nan,nan,1.3207793553866565,1.5581155916205411
-0.5,75437be79a4fbad4,7edc755144d80f01,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,2,1,P00003,gaussian,TIE,5.995978385571149e-16,1.0919070299691652e-15,1.0,0.0,True,True,0.6254832162489554,0.2986249999999999,0.6010051710297476,True,True,True,5.995978385571149e-16,-2.3374480808319946,2.3374480808319946,2.6880534197547354,0.06929132990224994,4243.018500062439,2975.9471004812935,0.6254832162489554,1.3207793553866565,1.7697491040414617
-0.5,2f8b6969d0b2488e,abd3e905043d7129,TORUS_T2_5,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,2,2,P00004,gaussian,SYMMETRIC_CONTROL,0.02112146596023613,0.01195005017328031,1.7674786280543267,0.5695540270913432,False,True,0.8437797346923753,0.228375,0.199653097334056,True,True,True,0.02112146596023613,-2.8761650365425226,2.8761650365425226,2.184570505290854,-0.4671962451693299,629.2952858870208,773.0105968014692,0.8437797346923753,1.3207793553866565,2.1776271901982667
-0.5,86db0f07c9e4dc80,395b684aac4d7e7e,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,3,P00005,gaussian,TIE,0.027953100164382492,0.027851693407141116,1.0036409535086237,0.003634341282409575,False,True,1.2983806675462746,0.0036249999999999893,0.28309562959938633,True,True,True,0.027953100164382492,-2.8768949688013774,2.8768949688013774,2.184016231151253,-0.4305476985103242,682.8613779295957,685.3367504245905,1.2983806675462746,1.3207793553866565,2.1781798428846355
0.5,21975def86fd960f,2d6fe0ff16194fc1,TORUS_T2_5,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,2,1,P00006,gaussian,SYMMETRIC_CONTROL,2.0273261215928515e-16,9.749512841600755e-17,nan,nan,False,False,nan,nan,0.5760625573705633,False,True,False,2.0273261215928515e-16,-2.5953499063540235,2.5953499063540235,2.4209395780495258,0.2375224988040255,nan,nan,nan,1.3207793553866565,1.9650139864536558
0.5,ce9907ddd2775316,b9a42ba5534bde32,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,2,2,P00007,gaussian,TIE,3.492332393610334e-16,1.8744177461769922e-16,1.0,0.0,True,True,-2.9979986937685306,0.16300000000000003,0.6487373915733877,True,True,True,3.492332393610334e-16,-2.6203003316294717,2.6203003316294717,2.3978874602028144,0.27211118854276545,1080.4568391459945,904.3423743651974,-2.9979986937685306,1.3207793553866565,1.9839046703318453
0.5,6a3476a717df9022,98317502c89c4493,TORUS_T2_5,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,2,3,P00008,gaussian,TIE,2.6469872696081355e-16,1.8717609003401793e-16,1.0,0.0,True,True,1.3081176020431216,0.44975,0.7042986068307454,True,True,True,2.6469872696081355e-16,-2.5978455230690853,2.5978455230690853,2.4186139057863048,0.025082391752768503,11721.545439809383,6449.780378255113,1.3081176020431216,1.3207793553866565,1.966903489575342
1.0,9dd52d595fa05bf6,555c9ec345859ada,TORUS_T2_5,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,2,1,P00009,gaussian,TIE,2.90442808356028e-16,4.559149483624317e-16,1.0,0.0,True,True,0.13155551798889561,0.21675,0.29881649868268995,True,True,True,2.90442808356028e-16,-2.131516233424914,2.131516233424914,2.9477539080637367,0.03658550434051393,8036.08970188782,9777.912144772006,0.13155551798889561,1.3207793553866565,1.6138321853167634
