axial_ratio,candidate_a,candidate_b,carrier_id,condition_a,condition_b,control_offset,core_fraction,family,m,n,pair_id,profile,winner_condition,closed_growth,control_growth,closed_over_control_growth,log_growth_ratio,growth_effect_bounded,neutral_pair,both_valid,closed_loop_phase,closed_tau_error,closed_hybridization,closed_mode_valid,control_mode_valid,closed_delay_valid,closed_phase_valid,phase_uncertainty_rad,phase_sampling_step_rad,dispersion_omega_rmse,carrier_phase_cycles_at_return,lambda_real,lambda_imag,omega_mode,T_mode,advective_frequency_mode_weighted,omega_intrinsic,T_intrinsic,group_velocity,tau_loop_group,tau_return_measured,phi_loop,omega_swirl_rms_core,mode_over_swirl_frequency_ratio,intrinsic_over_swirl_frequency_ratio,clock_regime,axial_branch_continuation_enabled,axial_branch_continuation_success
-1.5,d578b823a5d17cab,a9fd253a6e24b575,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,0.37,0.05,torus,1,1,P00000,gaussian,INDETERMINATE,0.00016778825162358618,7.17499780977166e-05,nan,nan,nan,False,False,nan,nan,0.5152884990871005,False,False,False,False,nan,nan,nan,nan,0.00016778825162358618,-0.06386911603623012,0.06386911603623012,98.37595534617097,0.9972688056071329,-0.9312883692157,6.7467666459434845,-0.004253691495838123,nan,nan,nan,1.3207793553866565,0.048357142906380844,0.7051051831008265,SLOW_MODE,False,True
-1.5,fa1a78a37094d24a,76bebcbefda3419e,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,1,2,P00001,gaussian,INDETERMINATE,0.012458477879283645,0.011829257423386762,nan,nan,nan,False,False,nan,nan,0.3128762512394004,False,False,False,False,nan,nan,nan,nan,0.012458477879283645,-0.9909078326396753,0.9909078326396753,6.34083726075899,1.1258199528781665,-0.1349121202384912,46.57243023141636,-0.47993521572217496,nan,nan,nan,1.3207793553866565,0.7502447919089319,0.10214584267104618,FAST_SWIRL_LOCKED,False,True
-1.5,5dc4e278b8b92961,11237c3315393852,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,2,1,P00002,gaussian,INDETERMINATE,nan,nan,nan,nan,nan,False,False,nan,nan,nan,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan,nan,OTHER_BRANCH,False,True
-1.5,43bf3350dccf4a32,87820ff19ecb272d,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,2,2,P00003,gaussian,INDETERMINATE,nan,nan,nan,nan,nan,False,False,nan,nan,nan,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan,nan,OTHER_BRANCH,False,True
-1.0,8cd5015ae46c8c1d,a415a5a3b9355a14,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,1,P00004,gaussian,INDETERMINATE,0.0,0.0,nan,nan,nan,False,False,nan,nan,0.8127441317375893,False,False,False,False,nan,nan,nan,nan,0.0,-1.0236033654518202,1.0236033654518202,6.13830075129362,1.2621865778573846,-0.23858321240556446,26.33540408743798,-0.08877791950332513,nan,nan,nan,1.3207793553866565,0.7749995192438192,0.18063820533878616,FAST_SWIRL_LOCKED,False,True
-1.0,775f74cdfb8180c4,cb21a0bf33742a17,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,2,P00005,gaussian,SYMMETRIC_CONTROL,0.028829028645273876,0.021451466304509986,1.3439186299365709,0.295589697066188,0.14672228074863264,False,True,1.133258872604025,0.0017062444104820607,0.19240453356584147,True,True,True,True,0.0001848251110201622,0.049999999999999996,9.996494399731144e-09,60.80652565270729,0.028829028645273876,-1.4724236961601516,1.4724236961601516,4.267240009492608,1.4916153133327028,-0.019191617172551245,327.39217600516196,-1.0183395409597291,251.4951032598988,251.9242153740996,1.133258872604025,1.3207793553866565,1.1148142876060487,0.014530524795288706,FAST_SWIRL_LOCKED,False,True
-1.0,35cccf24e8c6257f,596fe9f29921a325,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,2,1,P00006,gaussian,INDETERMINATE,0.0,nan,nan,nan,nan,False,False,nan,nan,0.19678976069249973,False,False,False,False,nan,nan,nan,nan,-6.9033580387693e-16,-2.2939532108478193,2.2939532108478193,2.7390206903380525,2.3928159099971498,-0.09886269914933044,63.554660769366016,nan,nan,nan,nan,1.3207793553866565,1.736817888235592,0.07485179015414616,OTHER_BRANCH,False,True
-1.0,7d21a123f8394cdf,2dd74b9e830d015d,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,-0.37,0.05,torus,2,2,P00007,gaussian,INDETERMINATE,nan,nan,nan,nan,nan,False,False,nan,nan,nan,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan,nan,OTHER_BRANCH,False,True
-0.5,482a2e2940773b70,b5df77769eb69f95,TORUS_T2_3,SYMMETRIC_CONTROL,CLOSED,-0.37,0.05,torus,1,1,P00008,gaussian,CLOSED,0.006865959796572387,0.005307023157612744,nan,nan,nan,False,False,2.484431070775511,0.11153357596947833,0.19492750651646001,True,False,True,True,0.25492399785443554,0.05,0.00046728397558669816,132.60047829560142,0.006865959796572387,-1.5271983305258172,1.5271983305258172,4.114190790803362,1.5386793862372414,-0.011481055711424215,547.2654662695791,-0.4170937119536503,614.0284561177107,545.5436666598845,2.484431070775511,1.3207793553866565,1.156285737127328,0.008692637165019248,FAST_SWIRL_LOCKED,False,True
-0.5,5f89b901dc04885e,4c0005330f714cbb,TORUS_T2_3,CLOSED,SYMMETRIC_CONTROL,0.37,0.05,torus,1,2,P00009,gaussian,TIE,0.014959391277196343,0.014761540157160278,1.0134031397739143,0.013314112312139647,0.006656514364103728,False,True,-0.21331034965372894,0.009094305414679482,0.3793415578117789,True,True,True,True,0.00032722778900630986,0.049999999999999996,1.8358131619363516e-07,127.02176154237874,0.014959391277196343,-1.5115718505499034,1.5115718505499034,4.1567228874325695,1.525359524553728,-0.013787674003824524,455.7103181752565,-0.49062293604694257,522.0045562297169,526.7518250919242,-0.21331034965372894,1.3207793553866565,1.144454480140926,0.010439044150404819,FAST_SWIRL_LOCKED,False,True
