pair_id,candidate_a,candidate_b,geometry_a,geometry_b
P00000,8510c6b4e0cdf1b6,2e2966b9d88ad793,geometry/8510c6b4e0cdf1b6.npz,geometry/2e2966b9d88ad793.npz
P00001,85f957bd2659c10d,fcf666763e68a556,geometry/85f957bd2659c10d.npz,geometry/fcf666763e68a556.npz
P00002,8ea490810e4b189b,3b354f23016d58a1,geometry/8ea490810e4b189b.npz,geometry/3b354f23016d58a1.npz
P00003,5de8c85d01790e8b,9be65ae64765688d,geometry/5de8c85d01790e8b.npz,geometry/9be65ae64765688d.npz
P00004,95261ca94235b8fe,8086601cb429bba1,geometry/95261ca94235b8fe.npz,geometry/8086601cb429bba1.npz
P00005,ebde8f69e1e6c2a9,bd352ddfd4d3f42f,geometry/ebde8f69e1e6c2a9.npz,geometry/bd352ddfd4d3f42f.npz
P00006,882e0a6406f2f378,631ef7b07b09354e,geometry/882e0a6406f2f378.npz,geometry/631ef7b07b09354e.npz
P00007,ac425241775054d4,25814c2447ef8167,geometry/ac425241775054d4.npz,geometry/25814c2447ef8167.npz
P00008,14eb7562273b3bd0,48bd8c3badcf7f0d,geometry/14eb7562273b3bd0.npz,geometry/48bd8c3badcf7f0d.npz
P00009,5d67823feb888824,257e59bc89384c8c,geometry/5d67823feb888824.npz,geometry/257e59bc89384c8c.npz
P00010,c532695ebc69f90d,fd761c5767855edd,geometry/c532695ebc69f90d.npz,geometry/fd761c5767855edd.npz
P00011,8b088039499ebb4d,cd9a1a044a52f4bc,geometry/8b088039499ebb4d.npz,geometry/cd9a1a044a52f4bc.npz
P00012,50d58f624b93ef8d,ebb67b0682e1d914,geometry/50d58f624b93ef8d.npz,geometry/ebb67b0682e1d914.npz
P00013,4b8e692aab4525bf,38948ef9de9b41e1,geometry/4b8e692aab4525bf.npz,geometry/38948ef9de9b41e1.npz
P00014,bbbaf66857c09632,9830128ddc800e39,geometry/bbbaf66857c09632.npz,geometry/9830128ddc800e39.npz
P00015,945eba6bcf2a0bde,01bec13c21f78337,geometry/945eba6bcf2a0bde.npz,geometry/01bec13c21f78337.npz
P00016,c7a7bd708b9dd15e,5a77364c6741dbb9,geometry/c7a7bd708b9dd15e.npz,geometry/5a77364c6741dbb9.npz
P00017,4e84f36b1e9d3979,a8b757b39ded7406,geometry/4e84f36b1e9d3979.npz,geometry/a8b757b39ded7406.npz
P00018,7bc1de1108133a39,ae4b6bcd34824840,geometry/7bc1de1108133a39.npz,geometry/ae4b6bcd34824840.npz
P00019,a018a09eb5a6cf85,8001065c69e1d540,geometry/a018a09eb5a6cf85.npz,geometry/8001065c69e1d540.npz
P00020,111e0b1432394425,e232bccd8989505a,geometry/111e0b1432394425.npz,geometry/e232bccd8989505a.npz
P00021,b023a16de193bb21,bbcbf8a617eb6236,geometry/b023a16de193bb21.npz,geometry/bbcbf8a617eb6236.npz
P00022,ed30af7a347da29f,5f5b6130523ac098,geometry/ed30af7a347da29f.npz,geometry/5f5b6130523ac098.npz
