pair_id,carrier_id,profile,axial_ratio,core_fraction,m,n,both_valid,closed_phase_valid,clock_regime,lambda_real,lambda_imag,omega_mode,T_mode,advective_frequency_mode_weighted,omega_intrinsic,T_intrinsic,group_velocity,tau_loop_group,tau_return_measured,phi_loop,phase_uncertainty_rad,phase_sampling_step_rad,dispersion_omega_rmse,carrier_phase_cycles_at_return,omega_swirl_rms_core,mode_over_swirl_frequency_ratio,intrinsic_over_swirl_frequency_ratio,growth_effect_bounded,log_growth_ratio
P00000,TORUS_T2_3,gaussian,-1.0,0.05,1,1,False,False,FAST_SWIRL_LOCKED,0.0,-1.0236033654518202,1.0236033654518202,6.13830075129362,1.2621865778573846,-0.23858321240556446,26.33540408743798,-0.08877791950332513,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,0.7749995192438192,0.18063820533878616,nan,nan
P00001,TORUS_T2_3,gaussian,-1.0,0.05,1,2,True,True,FAST_SWIRL_LOCKED,0.028829028645273876,-1.4724236961601516,1.4724236961601516,4.267240009492608,1.4916153133327028,-0.019191617172551245,327.39217600516196,-1.0183395409597291,251.4951032598988,251.9242153740996,1.133258872604025,0.0001848251110201622,0.049999999999999996,9.996494399731144e-09,60.80652565270729,1.3207793553866565,1.1148142876060487,0.014530524795288706,0.14672228074863264,0.295589697066188
P00002,TORUS_T2_3,gaussian,-1.0,0.05,2,1,False,False,OTHER_BRANCH,-6.9033580387693e-16,-2.2939532108478193,2.2939532108478193,2.7390206903380525,2.3928159099971498,-0.09886269914933044,63.554660769366016,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,1.736817888235592,0.07485179015414616,nan,nan
P00003,TORUS_T2_3,gaussian,-1.0,0.05,2,2,False,False,OTHER_BRANCH,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan,nan,nan,nan
P00004,TORUS_T2_3,gaussian,0.0,0.05,1,1,True,True,OTHER_BRANCH,0.0,-1.5849823890954993,1.5849823890954993,3.9641988140733897,1.3454228803897799,0.24510346626793567,25.63482843735511,0.024695233738852088,10370.722169127754,14846.697531336074,-1.540914083507203,0.08808542536768796,0.05000000000000001,5.932917982713744e-06,3745.194988361453,1.3207793553866565,1.2000357081834443,0.18557487688485405,0.0,0.0
P00005,TORUS_T2_3,gaussian,0.0,0.05,1,2,False,False,FAST_SWIRL_LOCKED,6.519087389096648e-17,-1.578046688761968,1.578046688761968,3.9816219329410094,1.3339257762768144,0.004748454351607201,1323.2064250660696,0.07017889367285211,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,1.1947844901770113,0.0035951912272410534,nan,nan
P00006,TORUS_T2_3,gaussian,0.0,0.05,2,1,True,True,OTHER_BRANCH,6.516184370025646e-18,-3.167984427558267,3.167984427558267,1.9833384446344544,3.1634044857399264,0.01065417628850529,589.7391911900751,0.022045764301901468,11617.080020456153,13936.361810475119,-1.2254679462940694,0.048772844359195856,0.05,3.4996108627467567e-06,7040.191838867958,1.3207793553866565,2.3985720360013074,0.008066582995148569,0.0,0.0
P00007,TORUS_T2_3,gaussian,0.0,0.05,2,2,True,True,OTHER_BRANCH,2.1910703649752913e-17,-3.0736780256547864,3.0736780256547864,2.044191113947622,3.1102078283312666,-0.036529802676480205,172.00162187640365,-0.06058085018294087,4227.53076647021,3955.0696670113657,2.2010180260009498,0.0007025732221785764,0.05,1.5910857868953808e-07,1934.7846881955995,1.3207793553866565,2.327169949408371,0.02765776321949411,0.0,0.0
P00008,TORUS_T2_3,gaussian,1.0,0.05,1,1,False,False,SLOW_MODE,0.0003096668967836193,-0.06463258072798805,0.06463258072798805,97.21390104509254,1.0122392942137954,-0.9442552475287809,6.654117436597115,-0.005378717800315876,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,0.04893518396119006,0.7149227792497947,nan,nan
P00009,TORUS_T2_3,gaussian,1.0,0.05,1,2,True,False,SLOW_MODE,0.0011676636421382226,-0.07367091787541807,0.07367091787541807,85.28718642822977,1.0356663732440814,-0.960152711922296,6.543943717661526,0.009466976311758132,27052.71457046065,18312.597881089252,-0.27562638043790183,1.3851512495836136,0.05,7.563925200613726e-05,220.0876222342958,1.3207793553866565,0.05577836871462229,0.7269592063249751,-0.004031150543480078,-0.008069152829474659
P00010,TORUS_T2_3,gaussian,1.0,0.05,2,1,True,True,OTHER_BRANCH,2.0132023003226783e-16,-2.3365587571678597,2.3365587571678597,2.6890765267103443,2.4641405577039173,-0.11767103585649519,53.396192711706874,0.020018044771591408,12793.827315780592,16731.647296533356,0.8498104378282367,0.2092433058642433,0.05,1.2505826051770817e-05,5675.870903759445,1.3207793553866565,1.769075771542352,0.0890921222962689,0.0,0.0
P00011,TORUS_T2_3,gaussian,1.0,0.05,2,2,True,True,OTHER_BRANCH,4.1386990775691265e-16,-2.6014517858947235,2.6014517858947235,2.415261101992169,2.725085523007486,-0.12363373711276271,50.820960798498525,0.3394911473259223,754.3861158813481,683.0148424271201,-0.7505445525674642,0.0016299325059613912,0.05000000000000001,2.303660406011536e-06,280.01582389705374,1.3207793553866565,1.9696338947796104,0.0936066547440614,0.0,0.0
P00012,TORUS_T2_3,smooth_rankine,-1.0,0.05,1,1,True,True,FAST_SWIRL_LOCKED,0.01058535856366324,-1.3696256426098956,1.3696256426098956,4.587520203846824,1.376254166007484,-0.006628523397588459,947.9012036776529,-1.0775894884062203,237.66695087764248,289.32208059966064,-1.3771720579079045,0.11095582005563394,0.05,0.00038350238990095937,63.329502402033036,1.299188297090765,1.0542164254995667,0.005102049804813914,0.04275495472353355,0.0855704248867726
P00013,TORUS_T2_3,smooth_rankine,-1.0,0.05,1,2,True,True,FAST_SWIRL_LOCKED,0.021938376357172724,-1.2686497611334668,1.2686497611334668,4.952655571042646,1.2988270629825471,-0.029559517613024777,212.560481853433,-0.9045897404701625,283.11995653874277,289.21092422153026,0.8367307645739288,0.00020581048328495837,0.05,3.914380700590755e-07,57.89765902811919,1.299188297090765,0.9764941417455173,0.022752296706502476,0.010471199707828933,0.020944119938698595
P00014,TORUS_T2_3,smooth_rankine,-1.0,0.05,2,1,True,True,OTHER_BRANCH,0.00648331475012496,-2.820647817566806,2.820647817566806,2.2275681735409605,2.82061396778765,6.531613196125718e-05,96196.5309107176,-1.0521748593576945,243.407648196087,280.52319493766186,1.0888678919795776,0.05593264328165647,0.05,0.00019938374706733326,125.93248470224816,1.299188297090765,2.1710846871719838,5.0274569211805335e-05,0.010424785829889977,0.02085354425494304
P00015,TORUS_T2_3,smooth_rankine,-1.0,0.05,2,2,True,True,OTHER_BRANCH,0.025807767069397452,-2.744757351034227,2.744757351034227,2.2891587501576693,2.754282506961862,-0.009525155927635254,659.6412021928412,-1.0076007536548914,254.1754827775994,256.6079250094176,-3.0524624790815276,0.0003655117847142873,0.049999999999999996,3.1137803681932935e-07,112.48575069899712,1.299188297090765,2.112670932443344,0.007331620788891541,0.05883490666419971,0.11781066524841177
P00016,TORUS_T2_3,smooth_rankine,0.0,0.05,1,1,False,False,OTHER_BRANCH,6.668936507604693e-17,-1.4197351991131095,1.4197351991131095,4.425603669687567,1.3261772908746645,0.07333301687723526,85.68016937988642,-0.04040962722735831,nan,nan,nan,nan,nan,nan,nan,1.299188297090765,1.09278632072986,0.056445256658675086,nan,nan
P00017,TORUS_T2_3,smooth_rankine,0.0,0.05,1,2,False,True,OTHER_BRANCH,1.0551299325382488e-16,-1.4244897234567278,1.4244897234567278,4.410832316805024,1.385004327060893,0.040292824270263816,155.9380713805309,-0.028420283155079436,9011.430555065812,9747.830406853738,0.357523378849421,0.04778354167231051,0.05,4.901861660309952e-06,2201.980322693276,1.299188297090765,1.0964459321612938,0.031013844844885362,nan,nan
P00018,TORUS_T2_3,smooth_rankine,0.0,0.05,2,1,False,False,OTHER_BRANCH,3.8738046053405884e-16,-2.839616240801566,2.839616240801566,2.2126881854309897,2.839450391278639,0.0022609984151547025,2778.942817945176,-0.01563543997197141,nan,nan,nan,nan,nan,nan,nan,1.299188297090765,2.1856848981477413,0.0017403161806627192,nan,nan
P00019,TORUS_T2_3,smooth_rankine,0.0,0.05,2,2,True,True,OTHER_BRANCH,8.90391591216107e-16,-2.846085616112746,2.846085616112746,2.2076585720429995,2.8410841737200228,0.005382516682582494,1167.3322495240195,0.14018392098913343,1826.938540456131,1540.6822834818565,1.1383084843583196,0.0011705297467816994,0.05000000000000001,7.320705539593846e-07,697.8806881609806,1.299188297090765,2.1906644498614276,0.004142984273053728,0.0,0.0
P00020,TORUS_T2_3,smooth_rankine,1.0,0.05,1,1,False,False,SLOW_MODE,0.00040465071228825957,-0.05821941054820819,0.05821941054820819,107.922516700454,0.9921135266264837,-0.9342734699556393,6.725210026008681,-0.00847339900769746,30224.87289630174,17103.144107078024,-2.9515345303627174,0.9324323075923968,0.05,5.451817783660398e-05,161.42776488326618,1.299188297090765,0.04481214207253655,0.7191209096077381,nan,nan
P00021,TORUS_T2_3,smooth_rankine,1.0,0.05,1,2,True,True,SLOW_MODE,0.0012562416791646722,-0.06598157353928348,0.06598157353928348,95.22636351554671,1.0145174102215586,-0.9469003897448787,6.635529328351477,0.001699884906731682,150661.61655597913,169335.033377282,-2.0219785214333625,0.3244887556541583,0.05000000000000001,1.91625204489853e-06,1822.3130242884151,1.299188297090765,0.050786767158412766,0.7288399932983121,0.002985211757384047,0.005975160392610307
P00022,TORUS_T2_3,smooth_rankine,1.0,0.05,2,1,False,True,OTHER_BRANCH,1.5045008516545367e-15,-2.6152389948239687,2.6152389948239687,2.4025281511996215,2.691222936788848,-0.07598394196487934,82.69096265213177,0.2614073153437715,979.7254819380373,883.7272578997784,-1.7946196453321026,0.0014022515073212343,0.05,1.5466525005875508e-06,300.181088010681,1.299188297090765,2.0129791814475224,0.05848570383140611,nan,nan
P00023,TORUS_T2_3,smooth_rankine,1.0,0.05,2,2,True,True,OTHER_BRANCH,1.3669464201643414e-16,-2.8677455743979716,2.8677455743979716,2.1909842223359095,2.8581787363346085,0.009566838063363114,656.767185308748,1.0005516171697761,255.96621264952498,275.69919773851177,0.5251438988974424,0.005396684455183053,0.05000000000000001,1.954152651970883e-05,125.8334929699202,1.299188297090765,2.207336365959909,0.0073637040025574885,0.0,0.0
P00024,TORUS_T2_9,gaussian,-1.0,0.05,1,1,False,True,FAST_SWIRL_LOCKED,0.0,-1.0233983794831698,1.0233983794831698,6.139530248575028,1.258401869284642,-0.23500348980147212,26.736561710158174,-0.07515843243737054,5293.755782042507,3404.180846745185,-2.9556763311814995,0.03553835441422918,0.05,1.0439214783394049e-05,554.469268644012,1.3207793553866565,0.7748443184770792,0.17792789449883184,nan,nan
