pair_id,carrier_id,profile,axial_ratio,core_fraction,m,n,both_valid,closed_phase_valid,clock_regime,lambda_real,lambda_imag,omega_mode,T_mode,advective_frequency_mode_weighted,omega_intrinsic,T_intrinsic,group_velocity,tau_loop_group,tau_return_measured,phi_loop,phase_uncertainty_rad,phase_sampling_step_rad,dispersion_omega_rmse,carrier_phase_cycles_at_return,omega_swirl_rms_core,mode_over_swirl_frequency_ratio,intrinsic_over_swirl_frequency_ratio,growth_effect_bounded,log_growth_ratio
P00000,TORUS_T2_3,gaussian,-1.0,0.05,2,1,False,False,OTHER_BRANCH,-6.9033580387693e-16,-2.2939532108478193,2.2939532108478193,2.7390206903380525,2.3928159099971498,-0.09886269914933044,63.554660769366016,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,1.736817888235592,0.07485179015414616,nan,nan
P00001,TORUS_T2_3,gaussian,-1.0,0.05,2,2,False,False,OTHER_BRANCH,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan,nan,nan,nan
P00002,TORUS_T2_3,gaussian,-0.5,0.05,2,1,False,False,OTHER_BRANCH,-2.0766822171090114e-17,-2.29048816514743,2.29048816514743,2.7431642751034087,2.4397785198309494,-0.1492903546835196,42.087014398882644,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,1.73419440257445,0.11303201710009696,nan,nan
P00003,TORUS_T2_3,gaussian,-0.5,0.05,2,2,False,False,OTHER_BRANCH,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan,nan,nan,nan
P00004,TORUS_T2_3,gaussian,0.5,0.05,2,1,False,False,OTHER_BRANCH,1.6967097450323025e-16,-2.287856405835654,2.287856405835654,2.746319782637151,2.4642099201340386,-0.17635351429838453,35.62835326631845,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,1.7322018219809978,0.13352231285198826,nan,nan
P00005,TORUS_T2_3,gaussian,0.5,0.05,2,2,False,False,OTHER_BRANCH,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan,nan,nan,nan
P00006,TORUS_T2_3,gaussian,1.0,0.05,2,1,False,False,OTHER_BRANCH,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan,nan,nan,nan
P00007,TORUS_T2_3,gaussian,1.0,0.05,2,2,False,False,OTHER_BRANCH,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3207793553866565,nan,nan,nan,nan
P00008,TORUS_T2_3,smooth_rankine,-1.0,0.05,2,1,True,True,OTHER_BRANCH,0.00648331475012496,-2.820647817566806,2.820647817566806,2.2275681735409605,2.82061396778765,6.531613196125718e-05,96196.5309107176,-1.0521748593576945,243.407648196087,280.523155692984,1.0889788753652165,0.05593263557124008,0.05,0.00019938374706733326,125.93246708452568,1.299188297090765,2.1710846871719838,5.0274569211805335e-05,0.010424785829889977,0.02085354425494304
P00009,TORUS_T2_3,smooth_rankine,-1.0,0.05,2,2,True,True,OTHER_BRANCH,0.025807767069397452,-2.744757351034227,2.744757351034227,2.2891587501576693,2.754282506961862,-0.009525155927635254,659.6412021928412,-1.0076007536548914,254.1754827775994,256.6078111714246,-3.0521489372598305,0.00028279986193305046,0.049999999999999996,3.1137803681932935e-07,112.48570079737345,1.299188297090765,2.112670932443344,0.007331620788891541,0.05883490666419971,0.11781066524841177
P00010,TORUS_T2_3,smooth_rankine,-0.5,0.05,2,1,True,True,OTHER_BRANCH,0.004029021894456816,-2.8286654211353137,2.8286654211353137,2.221254327299609,2.828710585612127,9.096515067508193e-05,69072.44434324604,-0.5378129461994763,476.20164188519567,608.1448362704301,2.071502745651283,0.09352462774734151,0.05,0.00015378590547214028,273.7844238708834,1.299188297090765,2.1772559277738743,7.001691046538641e-05,0.022533372950157993,0.045085704805637485
P00011,TORUS_T2_3,smooth_rankine,-0.5,0.05,2,2,True,True,OTHER_BRANCH,0.014194166632245616,-2.764990371867416,2.764990371867416,2.272407662286381,2.774791532716802,-0.00980116084938576,641.0654210999256,-0.5051204892336667,507.02241042697193,513.6918795534107,1.1559780129756576,0.00032040923212661607,0.05000000000000001,1.383586964967477e-07,226.82728729266796,1.299188297090765,2.1282445185651526,0.007544064914480231,0.03854514635895116,0.07713409758198651
P00012,TORUS_T2_3,smooth_rankine,0.5,0.05,2,1,False,False,OTHER_BRANCH,-3.3088402002701324e-17,-2.845712463533995,2.845712463533995,2.207948057892226,2.84415357479884,0.0016103390408606089,3901.777916172039,0.49248137730313146,520.034705494389,389.6088586804663,-1.3841771554310323,0.10057643380044785,0.05,0.00025814594501686407,176.45743851981678,1.299188297090765,2.190377230079979,0.0012394962642956334,nan,nan
P00013,TORUS_T2_3,smooth_rankine,0.5,0.05,2,2,False,False,OTHER_BRANCH,2.2271894518685723e-16,-2.8244199186719685,2.8244199186719685,2.2245931866016284,2.822603774615548,0.0018161440564201659,3459.6293641840757,0.470265167407314,nan,nan,nan,nan,nan,nan,nan,1.299188297090765,2.173988116269682,0.0013979067241346038,nan,nan
P00014,TORUS_T2_3,smooth_rankine,1.0,0.05,2,1,False,False,OTHER_BRANCH,4.250391202850581e-17,-2.853584406130341,2.853584406130341,2.201857177829207,2.84746291598934,0.004763883595851226,1318.9208301923015,0.7402513834136843,345.9735621516308,424.7198935135799,1.1589592302144187,0.5312706603870752,0.05,0.0012508727326854196,192.89166336043095,1.299188297090765,2.196436353775885,0.0036668153542630064,nan,nan
