pair_id,candidate_a,candidate_b,geometry_a,geometry_b
P00000,093fec3c0671f7ca,40fc5604382d5fe4,geometry/093fec3c0671f7ca.npz,geometry/40fc5604382d5fe4.npz
P00001,f083ff2eedf76150,0ad5eb61bb0648f2,geometry/f083ff2eedf76150.npz,geometry/0ad5eb61bb0648f2.npz
P00002,34fe8be579bffed4,f95b49594bae3df3,geometry/34fe8be579bffed4.npz,geometry/f95b49594bae3df3.npz
P00003,d14a02fa8e788aa7,e68048a09f3d47f3,geometry/d14a02fa8e788aa7.npz,geometry/e68048a09f3d47f3.npz
P00004,dd9703ca26951d81,692ea5a78ce93b0d,geometry/dd9703ca26951d81.npz,geometry/692ea5a78ce93b0d.npz
P00005,d6e9c30af9534005,88a695c8f4409b38,geometry/d6e9c30af9534005.npz,geometry/88a695c8f4409b38.npz
P00006,c25374cf1d828a98,cb6bef7def9b1655,geometry/c25374cf1d828a98.npz,geometry/cb6bef7def9b1655.npz
P00007,ee09ced4186265d5,85086777e3e15d52,geometry/ee09ced4186265d5.npz,geometry/85086777e3e15d52.npz
P00008,259c9912d17fc382,e8746cca44dc0b8c,geometry/259c9912d17fc382.npz,geometry/e8746cca44dc0b8c.npz
P00009,3c3e009e4af1f5b4,fb2f029be1652a94,geometry/3c3e009e4af1f5b4.npz,geometry/fb2f029be1652a94.npz
P00010,298b605bc6dc7129,095b70304147a948,geometry/298b605bc6dc7129.npz,geometry/095b70304147a948.npz
P00011,1c5169a575821663,1a7e5b8461b0002f,geometry/1c5169a575821663.npz,geometry/1a7e5b8461b0002f.npz
P00012,1948eba8870a1f0c,e1b8cd3688cdc77f,geometry/1948eba8870a1f0c.npz,geometry/e1b8cd3688cdc77f.npz
P00013,7ec5dc225171b5d0,11ac5123f979c967,geometry/7ec5dc225171b5d0.npz,geometry/11ac5123f979c967.npz
P00014,f05afc64006ffbcd,f5d749dfd6c0efc4,geometry/f05afc64006ffbcd.npz,geometry/f5d749dfd6c0efc4.npz
P00015,1ef98c64718945ad,1240f0c8e778883e,geometry/1ef98c64718945ad.npz,geometry/1240f0c8e778883e.npz
P00016,a48c8028722bab20,ac94a0673cc53610,geometry/a48c8028722bab20.npz,geometry/ac94a0673cc53610.npz
P00017,cb3a41963386daf0,a630d904d64b97cf,geometry/cb3a41963386daf0.npz,geometry/a630d904d64b97cf.npz
P00018,0073d6b9fdf755b6,ed2f504e44d812ab,geometry/0073d6b9fdf755b6.npz,geometry/ed2f504e44d812ab.npz
P00019,8d78285098b591e1,13961788e8fd65db,geometry/8d78285098b591e1.npz,geometry/13961788e8fd65db.npz
P00020,aa1e7bf248e01017,2ce90737639e8d6f,geometry/aa1e7bf248e01017.npz,geometry/2ce90737639e8d6f.npz
P00021,046713c8cb30589d,b73342935a9b95e0,geometry/046713c8cb30589d.npz,geometry/b73342935a9b95e0.npz
P00022,dd732bf045ec1f57,3853c91574a4a3b8,geometry/dd732bf045ec1f57.npz,geometry/3853c91574a4a3b8.npz
P00023,b9ef91a2ef25ad91,2788e63e93cba6ae,geometry/b9ef91a2ef25ad91.npz,geometry/2788e63e93cba6ae.npz
P00024,f5c5a4fb1fcf4d20,d4cf654600ef08c3,geometry/f5c5a4fb1fcf4d20.npz,geometry/d4cf654600ef08c3.npz
P00025,8b8712b826507d46,d62b013d2d68df8d,geometry/8b8712b826507d46.npz,geometry/d62b013d2d68df8d.npz
P00026,3781a99690c56b48,dab03cab2668506d,geometry/3781a99690c56b48.npz,geometry/dab03cab2668506d.npz
P00027,413d5537dc41ea41,35542309647ee606,geometry/413d5537dc41ea41.npz,geometry/35542309647ee606.npz
P00028,6511f82367938f6f,c7922a5e57a39178,geometry/6511f82367938f6f.npz,geometry/c7922a5e57a39178.npz
P00029,60c6be8fdea5eaa3,7e7499e8aaa6c84e,geometry/60c6be8fdea5eaa3.npz,geometry/7e7499e8aaa6c84e.npz
P00030,da38c62e069ee694,598a0f38a502658d,geometry/da38c62e069ee694.npz,geometry/598a0f38a502658d.npz
P00031,dc4916fc0f31e080,bbc5232efed04552,geometry/dc4916fc0f31e080.npz,geometry/bbc5232efed04552.npz
P00032,14fcfb679710d407,822711fddb81e37c,geometry/14fcfb679710d407.npz,geometry/822711fddb81e37c.npz
P00033,ff0accf122c41fc0,dc908c436d6da08a,geometry/ff0accf122c41fc0.npz,geometry/dc908c436d6da08a.npz
P00034,649d3b665fe01a5f,ecdc78f35425cbb6,geometry/649d3b665fe01a5f.npz,geometry/ecdc78f35425cbb6.npz
P00035,fdaae73a770e615a,b8276b6b5566e281,geometry/fdaae73a770e615a.npz,geometry/b8276b6b5566e281.npz
P00036,9f93f6c72e294e04,fbcbc76aa0126283,geometry/9f93f6c72e294e04.npz,geometry/fbcbc76aa0126283.npz
P00037,190df30e077a3c36,7852c88a7e704f91,geometry/190df30e077a3c36.npz,geometry/7852c88a7e704f91.npz
P00038,521aa6d99ca8cb66,a89f591dbf190aa3,geometry/521aa6d99ca8cb66.npz,geometry/a89f591dbf190aa3.npz
P00039,cbad726afdfad300,1a2b8a9f979993ad,geometry/cbad726afdfad300.npz,geometry/1a2b8a9f979993ad.npz
P00040,1ab5524d2e403bed,f4a7e83c03afd76c,geometry/1ab5524d2e403bed.npz,geometry/f4a7e83c03afd76c.npz
