eigen_index,lambda_real,lambda_imag,frequency,growth_abs,growth_ratio,k2,k
0,0.2596602292440603,0.0,0.0,0.2596602292440603,259660229244060.28,1.6787298165008875,1.2956580631095873
1,-0.2596691087791373,0.0,0.0,0.2596691087791373,259669108779137.28,1.6780971976380055,1.2954139097747892
6,0.19822280341608625,0.0,0.0,0.19822280341608625,198222803416086.25,2.580374850125348,1.6063545219301212
9,-0.19821446668365222,0.0,0.0,0.19821446668365222,198214466683652.22,2.5812718665358276,1.6066337063985143
12,0.166467850042246,0.0,0.0,0.166467850042246,166467850042246.0,5.95218852803248,2.43971074679612
15,-0.16640352146350038,0.0,0.0,0.16640352146350038,166403521463500.38,5.952237294632229,2.439720741116128
22,0.1298907799780158,0.001212482972585213,0.001212482972585213,0.1298907799780158,107.12792089860635,7.261494469244076,2.694716027570266
44,-0.1298778840948666,0.0012318030975205342,0.0012318030975205342,0.1298778840948666,105.43721180462573,7.261756812284463,2.6947647044379335
46,-0.10692159837685115,0.002101221121651427,0.002101221121651427,0.10692159837685115,50.88545763942137,5.694257333823177,2.3862643051060326
24,0.10705735762905971,0.002154914633637403,0.002154914633637403,0.10705735762905971,49.680556230829204,5.691459735130203,2.385678045154082
26,0.10861671484886189,0.0050079360468388125,0.0050079360468388125,0.10861671484886189,21.688918115762405,6.9632409399118504,2.63879535771758
48,-0.10861967798135506,0.0050235917639209265,0.0050235917639209265,0.10861967798135506,21.621915769799163,6.971367338979793,2.640334702074681
13,0.16331894208589331,0.005109258696773265,0.005109258696773265,0.16331894208589331,31.965291205363478,3.811863905494375,1.9523995250702082
16,-0.16332390730816176,0.005124464553483096,0.005124464553483096,0.16332390730816176,31.87140931575975,3.811513173721009,1.9523097023067342
28,0.0759882298304629,0.00556880705234027,0.00556880705234027,0.0759882298304629,13.645333572569932,5.212849518427698,2.2831665551220084
52,-0.07597306268579031,0.005569184616140027,0.005569184616140027,0.07597306268579031,13.641685080004915,5.212628738885603,2.2831182051934156
7,0.1977183762506481,0.009613426000050888,0.009613426000050888,0.1977183762506481,20.566900525327963,2.240274610768838,1.4967546929169249
10,-0.197755560287877,0.009634420094993382,0.009634420094993382,0.197755560287877,20.525943267788637,2.2414603318983,1.4971507378678675
2,0.23771410792593595,0.015770581951963968,0.015770581951963968,0.23771410792593595,15.07326163676113,1.865341480729337,1.3657750476302226
4,-0.23772408186387634,0.015786784836022964,0.015786784836022964,0.23772408186387634,15.058422872871954,1.8653892672677892,1.365792541811453
20,0.13351651597718028,0.021444098944541065,0.021444098944541065,0.13351651597718028,6.2262590898541355,5.05662410177641,2.2486938657310405
40,-0.1335249066076269,0.021460391390546743,0.021460391390546743,0.1335249066076269,6.221923178271778,5.056347228959759,2.2486323018581227
38,-0.13737681036731847,0.0218897870455574,0.0218897870455574,0.13737681036731847,6.275840421901204,6.466610451513957,2.542953096601264
18,0.1372410415002308,0.021974574181932112,0.021974574181932112,0.1372410415002308,6.245447141045074,6.460306138417606,2.541713228988984
54,0.0010276455448619908,0.026078327245439556,0.026078327245439556,0.0010276455448619908,0.03940611432589873,6.807110891077802,2.6090440569445743
56,-0.0011408550028753177,0.03456909568196887,0.03456909568196887,0.0011408550028753177,0.03300216509483018,7.2680198057226795,2.695926520831508
58,-2.3703796631503737e-05,0.049532735532839725,0.049532735532839725,2.3703796631503737e-05,0.00047854810311835795,8.025871063415734,2.832996834346225
64,2.1938383035588482e-05,0.055520820733595294,0.055520820733595294,2.1938383035588482e-05,0.0003951379454719355,11.426858486242594,3.3803636618332344
62,4.557541663175986e-06,0.05634166509957703,0.05634166509957703,4.557541663175986e-06,8.089114255180578e-05,10.482067293417463,3.2376020900378513
60,9.846792257111464e-06,0.058434699340316434,0.058434699340316434,9.846792257111464e-06,0.00016850933380806784,10.302362978054278,3.2097294244303956
50,-0.04594783717435762,0.06255047367967592,0.06255047367967592,0.04594783717435762,0.7345721698233457,6.517868321604517,2.5530116179924676
32,0.04591110683885101,0.06257907953202552,0.06257907953202552,0.04591110683885101,0.7336494429477107,6.520434397806883,2.553514127199394
42,-0.03353614665522672,0.08294972399358932,0.08294972399358932,0.03353614665522672,0.4042948552525446,8.183906762240051,2.8607528313784907
30,0.03351576532010578,0.08295176418404723,0.08295176418404723,0.03351576532010578,0.4040392106157439,8.185437187618572,2.8610203053488754
34,2.498710706774765e-06,0.0914375791398401,0.0914375791398401,2.498710706774765e-06,2.7326956053302337e-05,11.40275612788122,3.3767967258751628
36,2.678763856756375e-05,0.09507840860185868,0.09507840860185868,2.678763856756375e-05,0.00028174260551348855,11.527741648231217,3.3952528106506614
