time_hat,a2_re,a2_im,a3_re,a3_im,a4_re,a4_im,a5_re,a5_im,a6_re,a6_im,a7_re,a7_im
0.0,0.0022855489462012962,0.005547636074448121,-0.0030290766275991414,0.0051792561998932445,-0.005970971419942985,-0.0005894915624706566,2.3852447794681098e-18,8.239936510889834e-18,-8.239936510889834e-18,1.6263032587282567e-19,-0.0007541105337439068,0.005952421129498183
0.006,0.0024932788669702766,0.005453576965482088,-0.002649322618848088,0.005375848722855834,-0.005996157783652461,1.3081576788622254e-05,-1.664861717209378e-06,6.877344261230819e-07,9.110662502699509e-06,-4.158304651486096e-06,0.0002231816070892354,0.00599766058388987
0.012,0.0026972151144724985,0.005352595800496389,-0.002257369057479142,0.0055427728296624365,-0.005958712069113296,0.000613925320659935,-2.28027113267817e-06,1.8865909837517247e-06,1.7294332233569812e-05,-9.945034790369831e-06,0.001194222795280352,0.005878587621385263
0.018000000000000002,0.002897141404308418,0.005244867646844246,-0.001855911997035609,0.005679389333522186,-0.005859372948219093,0.0012063136174114346,-1.7523814459167834e-06,3.2566806018184853e-06,2.4297970067012125e-05,-1.7186080460585983e-05,0.00213140862085889,0.00559856298729701
0.024,0.00309284884919529,0.005130565187624923,-0.0014476333833827394,0.005785356550064578,-0.005699606528423488,0.001783687741966103,-7.262678668098349e-08,4.444731338216915e-06,2.989919918477751e-05,-2.567224494049499e-05,0.0030081049921464333,0.005165523162850993
0.03,0.0032841345038964664,0.005009858479745817,-0.0010351586956733683,0.005860614358935284,-0.005481573935277911,0.002339738858640669,2.6812713588525265e-06,5.102903476481881e-06,3.3910880404581004e-05,-3.516448501717168e-05,0.0037994069441732482,0.004591750641708737
0.036000000000000004,0.003470799934358764,0.004882914985818294,-0.0006210196705863961,0.0059053609855475205,-0.0052080891851172826,0.0028684845341384034,6.348199983357986e-06,4.907423498353098e-06,3.618479705599909e-05,-4.5399697201529586e-05,0.00448284692746323,0.0038935197210197506
0.042,0.0036526498613144035,0.004749899881739557,-0.0002076234882811368,0.005920023904523603,-0.004882568377209043,0.00336433793529515,1.0690336532008472e-05,3.5762517725719013e-06,3.661439488365477e-05,-5.609690139941111e-05,0.005039032060825392,0.003090628270893526
0.048,0.0038294909320867815,0.0046109766320833745,0.0002027705548397512,0.005905226542767565,-0.0045089714523228195,0.003822168563738855,1.5403344929005485e-05,8.850407383117608e-07,3.513654590651618e-05,-6.696366727694568e-05,0.005452191934545171,0.0022058293493645922
0.054,0.004001130674903086,0.0044663078120855924,0.0006080662765734909,0.0058617526531978435,-0.004091737996916131,0.004237353566664633,2.012966978606843e-05,-3.319285702963674e-06,3.173233047756434e-05,-7.77026259515094e-05,0.005710621256413969,0.0012641795300539994
0.06,0.00416737668611836,0.004316056139237514,0.0010063375930355815,0.005790510322175873,-0.003635718784683313,0.004605818938111174,2.4474388680800893e-05,-9.107898466438461e-06,2.6426858336620388e-05,-8.801791198795057e-05,0.005807004868747419,0.00029232327829848065
0.066,0.0043280360914756955,0.004160385661269941,0.0013958275888239673,0.005692497549452927,-0.0031461048971090123,0.004924070288402806,2.8022984019582774e-05,-1.6462816974970496e-05,1.928817587861073e-05,-9.762138896240785e-05,0.005738616316977236,-0.0006822654662713409
0.07200000000000001,0.004482915307833988,0.003999463033028976,0.0017749404779376149,0.005568771190251279,-0.002628356310024527,0.005189213289171796,3.0360327842079114e-05,-2.527335166378124e-05,1.0425331315486435e-05,-0.00010623852641856437,0.005507385071439648,-0.0016320622516357087
0.078,0.0046318201126087305,0.0038334588047958824,0.002142227687091547,0.005420420775921878,-0.0020881317433116197,0.005398964356418524,3.1090136690651096e-05,-3.533638958292212e-05,-1.4310146480549929e-08,-0.0001136138164036279,0.00511983152207358,-0.00253026905181342
0.084,0.004774556006228855,0.0036625486409195243,0.0024963696378201275,0.005248548345551403,-0.0015312213346155021,0.005551652560112958,2.985414822775142e-05,-4.636053162618834e-05,-1.184839441145647e-05,-0.00011951564260305101,0.004586872803321159,-0.003351567056958516
0.09,0.004910928830487752,0.0034869143913849087,0.0028361550333954886,0.00505425495144621,-0.000963483328067252,0.005646214088111718,2.6350293061216425e-05,-5.797395221293427e-05,-2.4863435772533695e-05,-0.0001237405423439575,0.0039235061997084306,-0.0040728243344267685
0.096,0.005040745585200436,0.003306744950391652,0.00316045954680384,0.00483863398293571,-0.0003907855024666703,0.0056821807943386,2.034917913845474e-05,-6.973572698442575e-05,-3.881908953219269e-05,-0.00012611682890198254,0.0031483801989670547,-0.004673739122478358
0.10200000000000001,0.005163815369336067,0.003122236854505153,0.0034682257449936017,0.004602770929097247,0.00018104844369578113,0.0056596643934749,1.1708266757250868e-05,-8.11502630343932e-05,-5.3452733661297786e-05,-0.00012650756601330642,0.002283266110409837,-0.005137401729930288
0.108,0.0052799503625951885,0.0029335945970267027,0.0037584458752287124,0.004347748718071237,0.0007462878138662088,0.005579337718826255,3.831854130508655e-07,-9.168436890922389e-05,-6.848426661936868e-05,-0.00012481290593147,0.0013524455108240765,-0.005450760560623175
0.114,0.005388966760479179,0.002741030662890943,0.0040301487995302405,0.004074657372156956,0.0012993397936892424,0.0054424141562387255,-1.3564272980052389e-05,-0.00010078641633302736,-8.362104566795583e-05,-0.00012097181508445413,0.00038203062119617154,-0.005604980538515549
0.12,0.005490685580863386,0.002544765317283635,0.004282391924074036,0.0037846064397060422,0.0018347911839157916,0.005250625950189277,-2.9961856598852837e-05,-0.00010790697063690576,-9.85629083976561e-05,-0.00011496321659861951,-0.000600763910664302,-0.005595685082736475
