blind_id,gate,status,metric,threshold,details_json
B02CE9C98EAE4064A,G1_REPARAM,PASS,0.025711135135852905,0.08,"{""status"":""PASS"",""metric"":0.025711135135852905,""threshold"":0.08,""details"":{""cyclic"":{""hard_max"":0.0005971862168144914,""per_observable"":{""length"":0.00022128624491178436,""int_kappa2"":0.0005971862168144914,""writhe"":0.00013032364589626055,""ropelength"":7.536979641286033e-05,""int_tau2"":0.0011654845524937977}},""reverse"":{""hard_max"":0.0004501146467609431,""per_observable"":{""length"":0.00015516353385548043,""int_kappa2"":0.0004501146467609431,""writhe"":9.199104149458202e-05,""ropelength"":3.642039004027386e-05,""int_tau2"":0.001410128886441343}},""distorted"":{""hard_max"":0.025711135135852905,""per_observable"":{""length"":0.021877251721512454,""int_kappa2"":0.025711135135852905,""writhe"":0.011862268317057296,""ropelength"":0.018771834745601415,""int_tau2"":0.056880432770938065}}},""observables"":{""length"":40.00108545971557,""thickness"":0.5000172704698682,""ropelength"":79.99940766471204,""int_kappa2"":52.66223712677999,""int_tau2"":49.54390906302326,""writhe"":11.883602484964022},""note"":""Centerline surrogate only. Ropelength/thickness is diagnostic, not a hard relabeling invariant in v0.1.1.""}"
B02CE9C98EAE4064A,G2_PHASE,FAIL,0.25050932648323443,0.08,"{""status"":""FAIL"",""metric"":0.25050932648323443,""threshold"":0.08,""gauge_residual_rad"":4.440892098500626e-16,""holonomy_n_rad"":-2.168303819132502,""holonomy_n2_rad"":-1.2015723260281248,""holonomy_n3_rad"":-0.9510629995448904,""holonomy_conv_n_to_n2_rad"":0.9667314931043773,""holonomy_conv_n2_to_n3_rad"":0.25050932648323443,""holonomy_conv_rad"":0.25050932648323443,""adaptive_refined"":true,""physical_phase_lock_status"":""UNTESTED"",""phase_lock_residual_rad"":null,""note"":""Numerical/geometric candidate-phase diagnostic. With phase_lock_target=null this gate cannot by itself falsify a physical SST phase clock.""}"
B02CE9C98EAE4064A,G3_REDUNDANCY,PASS,1.0957937320804609e-16,0.05,"{""status"":""PASS"",""metric"":1.0957937320804609e-16,""threshold"":0.05,""details"":{""total_derivative_kappa"":3.0123035701835815e-18,""total_derivative_tau"":1.0101844596422647e-17,""ibp_kappa"":5.657500121663229e-17,""ibp_tau"":1.0957937320804609e-16},""operators"":{""O_k2"":52.66223712677999,""O_t2"":49.54390906302326,""O_k4"":71.41897488284417,""O_dk2"":0.9811957585064672,""O_dt2"":32.42137251556789,""O_k2t2"":75.23031943765199},""note"":""Implementation/operator-basis pre-gate only; full EOM/field-redefinition redundancy requires an explicit leading SST action.""}"
B02CE9C98EAE4064A,G4_DISPERSION,SKIP,,0.35,"{""status"":""SKIP"",""metric"":null,""threshold"":0.35,""mode_rows"":[{""mode"":2,""n_points"":128,""q_core"":0.15708079573571937,""omega_core"":0.14301490516407397,""omega2_core"":0.020453263099089073,""growth_core"":-0.00021375531031266048,""max_growth_core"":8.466591800228469e-05,""frequency_source"":""projected_linear_operator"",""linearization_eps_rel_error"":5.815827972547811e-06,""gram_condition"":1.0,""track_omega_core"":1.596693602450068,""track_growth_core"":-0.36898693590291987,""phase_r2"":0.6406846954886429,""n_steps"":16,""dt_core"":0.001875,""t_final_core"":0.03,""omega_rad_s"":1.1102877290765263e+20,""frequency_hz"":1.7670778033680425e+19,""linear_eigenvalues"":[[8.466591800228469e-05,0.09531599020864957],[8.466591800228469e-05,-0.09531599020864957],[-0.00021375531031266048,0.14301490516407397],[-0.00021375531031266048,-0.14301490516407397]],""linear_eigenvalues_half_eps"":[[8.476960276502382e-05,0.09531564783567986],[8.476960276502382e-05,-0.09531564783567986],[-0.00021364159021470402,0.14301407341398803],[-0.00021364159021470402,-0.14301407341398803]],""linear_matrix"":[[0.029927556005116242,-0.027232774205995975,-0.10435274223601354,0.018874782567433274],[0.003704549750790721,-0.018067322447932545,0.021063739533413905,-0.14326274398834293],[0.13738887440333886,0.018421499143600046,-0.03018663037954077,-0.003864153622743846],[0.02128839282152995,0.11867003557013962,0.03087137579353049,0.018068218037736256]]},{""mode"":3,""n_points"":128,""q_core"":0.23562119360357905,""omega_core"":0.0,""omega2_core"":0.0,""growth_core"":-0.02831923811114524,""max_growth_core"":0.028811825672897116,""frequency_source"":""projected_linear_operator"",""linearization_eps_rel_error"":0.0,""gram_condition"":1.0000000000000002,""track_omega_core"":1.6255886810629996,""track_growth_core"":-0.05333499198906827,""phase_r2"":0.5143974377003551,""n_steps"":16,""dt_core"":0.001875,""t_final_core"":0.03,""omega_rad_s"":0.0,""frequency_hz"":0.0,""linear_eigenvalues"":[[-0.02831923811114524,0.0],[0.028811825672897116,0.0],[-0.0031359723581049544,0.0],[0.0037411009177928467,0.0]],""linear_eigenvalues_half_eps"":[[-0.02831782437312836,0.0],[0.028810503971350567,0.0],[-0.0031340067184358576,0.0],[0.0037389034511492642,0.0]],""linear_matrix"":[[-0.023169881750459108,-0.011487322189349418,-0.014769297235892147,0.006619846689825791],[-0.005186703443849505,0.010043573735249289,0.004036165495666674,0.015807909066447655],[-0.005254286406163226,0.0074731918016217825,0.02426985248467861,0.0001598926172576239],[0.004468599441081169,-0.002118084803938767,0.00431108459235956,-0.010045828348029024]]},{""mode"":4,""n_points"":128,""q_core"":0.31416159147143874,""omega_core"":0.11556798133543952,""omega2_core"":0.013355958309948499,""growth_core"":-9.956996513169405e-05,""max_growth_core"":0.0008444826694189288,""frequency_source"":""projected_linear_operator"",""linearization_eps_rel_error"":3.403262200536271e-06,""gram_condition"":1.0000000000000004,""track_omega_core"":4.128206225065471,""track_growth_core"":5.047603360801947,""phase_r2"":0.6701055522638395,""n_steps"":16,""dt_core"":0.001875,""t_final_core"":0.03,""omega_rad_s"":8.972051647601033e+19,""frequency_hz"":1.427946369391488e+19,""linear_eigenvalues"":[[0.0008444826694189288,0.0568969283000709],[0.0008444826694189288,-0.0568969283000709],[-9.956996513169405e-05,0.11556798133543952],[-9.956996513169405e-05,-0.11556798133543952]],""linear_eigenvalues_half_eps"":[[0.0008447190370352619,0.056895225361064915],[0.0008447190370352619,-0.056895225361064915],[-9.948483158063112e-05,0.11556758802729705],[-9.948483158063112e-05,-0.11556758802729705]],""linear_matrix"":[[0.017543462025538723,-0.047880529745623734,-0.07287718776494713,0.02237054911860237],[-0.0034718181576817923,-0.009588548797541153,0.022090534249746264,-0.11133720096545635],[0.09153625741630693,0.02266100651685474,-0.016052348576938297,-0.021734876847509223],[0.02291148224734193,0.09828336404943262,0.024523630508150825,0.00958726075751511]]},{""mode"":5,""n_points"":128,""q_core"":0.39270198933929845,""omega_core"":0.0728285563836842,""omega2_core"":0.005303998624931468,""growth_core"":-0.000553816540108349,""max_growth_core"":0.05200275934119825,""frequency_source"":""projected_linear_operator"",""linearization_eps_rel_error"":1.4186398852432404e-05,""gram_condition"":1.0000000000000002,""track_omega_core"":-0.78795925750484,""track_growth_core"":-7.669782411376986,""phase_r2"":0.1307883079843284,""n_steps"":16,""dt_core"":0.001875,""t_final_core"":0.03,""omega_rad_s"":5.654001755019523e+19,""frequency_hz"":8.998623275616085e+18,""linear_eigenvalues"":[[-0.05211409698864018,0.0],[-0.000553816540108349,0.0728285563836842],[-0.000553816540108349,-0.0728285563836842],[0.05200275934119825,0.0]],""linear_eigenvalues_half_eps"":[[-0.05211380022857566,0.0],[-0.0005537652889359632,0.07282752320873549],[-0.0005537652889359632,-0.07282752320873549],[0.05200264762564097,0.0]],""linear_matrix"":[[-0.024706693875738244,0.03608546250245657,0.03084650569709874,-0.023736685729608128],[-0.031196379445544715,0.014280023017040521,-0.027185306331859744,0.045649118095677954],[-0.057703339229633915,-0.02489999294424425,0.023487548988105747,0.009845837875310933],[-0.02813182409563428,-0.02618064118193407,-0.06321789446142237,-0.014279848857066652]]}],""dispersion"":{""n_good"":3,""n_required"":4,""status"":""INSUFFICIENT"",""linearization_rel_tol"":0.08},""core_radius_coord_used"":0.5000172704698682,""note"":""INCONCLUSIVE: insufficient linearly converged oscillatory projected modes. Local regularized finite-core Biot-Savart response; not Floquet/full Euler.""}"
B02CE9C98EAE4064A,T_CONV,SKIP,,,"{""status"":""SKIP""}"
B02CE9C98EAE4064A,S_CONV,SKIP,,,"{""status"":""SKIP""}"
B07DC4CD9D4B3F508,G1_REPARAM,PASS,0.032624767311367917,0.08,"{""status"":""PASS"",""metric"":0.032624767311367917,""threshold"":0.08,""details"":{""cyclic"":{""hard_max"":0.000160694908224215,""per_observable"":{""length"":9.601170266766508e-06,""int_kappa2"":0.000160694908224215,""writhe"":8.549486180232936e-06,""ropelength"":0.00022301309126012832,""int_tau2"":0.0009289790127380552}},""reverse"":{""hard_max"":0.0001732464310426235,""per_observable"":{""length"":1.0038744873453107e-05,""int_kappa2"":0.0001732464310426235,""writhe"":9.080595633726482e-06,""ropelength"":0.00022551980913998918,""int_tau2"":0.0008817907745881555}},""distorted"":{""hard_max"":0.032624767311367917,""per_observable"":{""length"":0.003178999997568299,""int_kappa2"":0.032624767311367917,""writhe"":0.0025495533432048022,""ropelength"":0.0009945385086891536,""int_tau2"":0.031962624387766946}}},""observables"":{""length"":16.3618364323186,""thickness"":0.3120844912923364,""ropelength"":52.4275857623188,""int_kappa2"":18.40098804545162,""int_tau2"":66.21366142486626,""writhe"":3.4094278029328224},""note"":""Centerline surrogate only. Ropelength/thickness is diagnostic, not a hard relabeling invariant in v0.1.1.""}"
B07DC4CD9D4B3F508,G2_PHASE,PASS,0.06873990243300421,0.08,"{""status"":""PASS"",""metric"":0.06873990243300421,""threshold"":0.08,""gauge_residual_rad"":4.440892098500626e-16,""holonomy_n_rad"":2.5080352641448695,""holonomy_n2_rad"":2.5767751665778738,""holonomy_n3_rad"":null,""holonomy_conv_n_to_n2_rad"":0.06873990243300421,""holonomy_conv_n2_to_n3_rad"":null,""holonomy_conv_rad"":0.06873990243300421,""adaptive_refined"":false,""physical_phase_lock_status"":""UNTESTED"",""phase_lock_residual_rad"":null,""note"":""Numerical/geometric candidate-phase diagnostic. With phase_lock_target=null this gate cannot by itself falsify a physical SST phase clock.""}"
B07DC4CD9D4B3F508,G3_REDUNDANCY,PASS,8.743623445753776e-17,0.05,"{""status"":""PASS"",""metric"":8.743623445753776e-17,""threshold"":0.05,""details"":{""total_derivative_kappa"":0.0,""total_derivative_tau"":3.7369577683167844e-17,""ibp_kappa"":6.837176841079626e-17,""ibp_tau"":8.743623445753776e-17},""operators"":{""O_k2"":18.40098804545162,""O_t2"":66.21366142486626,""O_k4"":21.859551888456412,""O_dk2"":3.2476065792378903,""O_dt2"":650.1128418151775,""O_k2t2"":98.768416154175},""note"":""Implementation/operator-basis pre-gate only; full EOM/field-redefinition redundancy requires an explicit leading SST action.""}"
B07DC4CD9D4B3F508,G4_DISPERSION,SKIP,,0.35,"{""status"":""SKIP"",""metric"":null,""threshold"":0.35,""mode_rows"":[{""mode"":2,""n_points"":128,""q_core"":0.239690049267746,""omega_core"":0.016419936810938694,""omega2_core"":0.00026961432487521955,""growth_core"":0.0006420830088280092,""max_growth_core"":0.06000692001090291,""frequency_source"":""projected_linear_operator"",""linearization_eps_rel_error"":0.0001215670992632543,""gram_condition"":1.0000000000000002,""track_omega_core"":2.90196334295409,""track_growth_core"":-4.283842283962392,""phase_r2"":0.38214191795009667,""n_steps"":16,""dt_core"":0.001875,""t_final_core"":0.03,""omega_rad_s"":1.2747520499686253e+19,""frequency_hz"":2.0288308996903347e+18,""linear_eigenvalues"":[[0.06000692001090291,0.0],[-0.060967720505704016,0.0],[0.0006420830088280092,0.016419936810938694],[0.0006420830088280092,-0.016419936810938694]],""linear_eigenvalues_half_eps"":[[0.060007640665710696,0.0],[-0.060967168252193796,0.0],[0.0006414815071340652,0.016417940686850502],[0.0006414815071340652,-0.016417940686850502]],""linear_matrix"":[[0.01943269861616758,-0.006514816418006657,0.04466023024520184,0.010910266472957019],[-0.04684681911188544,-0.02118279687069183,0.0016518058756020096,0.016071957984187535],[0.03258866906829788,0.02342521315444203,-0.02173832917975748,0.022813386274160585],[0.008814611886608974,-0.019693165981256533,0.03847847308739063,0.02381179295713673]]},{""mode"":3,""n_points"":128,""q_core"":0.35953507390161904,""omega_core"":0.0,""omega2_core"":0.0,""growth_core"":0.10473474470322458,""max_growth_core"":0.10473474470322458,""frequency_source"":""projected_linear_operator"",""linearization_eps_rel_error"":0.0,""gram_condition"":1.0000000000000002,""track_omega_core"":-1.4232685417439124,""track_growth_core"":5.7160370732302805,""phase_r2"":0.2959532975271296,""n_steps"":16,""dt_core"":0.001875,""t_final_core"":0.03,""omega_rad_s"":0.0,""frequency_hz"":0.0,""linear_eigenvalues"":[[0.10473474470322458,0.0],[-0.10180536953715719,0.0],[-0.006922389353764736,0.0],[0.0007110390161212097,0.0]],""linear_eigenvalues_half_eps"":[[0.10473479764923897,0.0],[-0.10180604582775943,0.0],[-0.006917740402792446,0.0],[0.0007069507012918506,0.0]],""linear_matrix"":[[0.025472061867805266,-0.04977519125411246,0.038882329587625074,0.03997479942119643],[-0.00570805754056332,-0.025821651282258624,0.041795481870716925,-0.04173001149702231],[0.026835444463813765,0.029917165535535,-0.045852245825197466,0.021987731037858813],[0.039135675630332864,-0.06615368587287689,0.05266654618688743,0.04291986006807471]]},{""mode"":4,""n_points"":128,""q_core"":0.479380098535492,""omega_core"":0.05460478617698636,""omega2_core"":0.0029816826734344005,""growth_core"":0.0013695876708976155,""max_growth_core"":0.0013695876708976155,""frequency_source"":""projected_linear_operator"",""linearization_eps_rel_error"":1.8326304226166659e-06,""gram_condition"":1.0000000000000007,""track_omega_core"":0.33636475656420234,""track_growth_core"":-0.1523865686627896,""phase_r2"":0.28007957686621,""n_steps"":16,""dt_core"":0.001875,""t_final_core"":0.03,""omega_rad_s"":4.239210169849155e+19,""frequency_hz"":6.746912533369262e+18,""linear_eigenvalues"":[[0.0007317484010432689,0.0339635794493103],[0.0007317484010432689,-0.0339635794493103],[0.0013695876708976155,0.05460478617698636],[0.0013695876708976155,-0.05460478617698636]],""linear_eigenvalues_half_eps"":[[0.0007316738836595363,0.03395972004222124],[0.0007316738836595363,-0.03395972004222124],[0.0013697450439303866,0.05460468610659399],[0.0013697450439303866,-0.05460468610659399]],""linear_matrix"":[[0.003921315954672512,0.014521889507407579,0.022278199873422413,-0.0067993661470120165],[0.005034219415416488,0.017907094575512008,-0.007190760799807194,0.04142802300229204],[-0.06972800622171298,-0.009228740281066529,-0.00453855454310319,-0.003804867925235277],[-0.00810586508592015,-0.07429974356446618,-0.01055757415586059,-0.01308718384319958]]},{""mode"":5,""n_points"":128,""q_core"":0.599225123169365,""omega_core"":0.06050211668303202,""omega2_core"":0.0036605061231272215,""growth_core"":0.0007191713304793255,""max_growth_core"":0.0007191713304793255,""frequency_source"":""projected_linear_operator"",""linearization_eps_rel_error"":7.510460185798493e-06,""gram_condition"":1.0000000000000004,""track_omega_core"":-0.29310403072386126,""track_growth_core"":-3.003496815013583,""phase_r2"":0.3438169164553808,""n_steps"":16,""dt_core"":0.001875,""t_final_core"":0.03,""omega_rad_s"":4.6970459239378125e+19,""frequency_hz"":7.475580767243415e+18,""linear_eigenvalues"":[[0.0007191713304793255,0.06050211668303202],[0.0007191713304793255,-0.06050211668303202],[-0.0013938295922474669,0.02643126682435614],[-0.0013938295922474669,-0.02643126682435614]],""linear_eigenvalues_half_eps"":[[0.0007195598532559501,0.06050166228429352],[0.0007195598532559501,-0.06050166228429352],[-0.0013942505344301773,0.026428563721020256],[-0.0013942505344301773,-0.026428563721020256]],""linear_matrix"":[[0.007410845208147314,0.0038729789005596395,0.031089401268579182,0.011642026722359132],[-0.012708941681315405,-0.007744021836963385,0.014304473236379758,0.034814717575547965],[-0.05135898842393441,0.005202809718111596,-0.008367366172892254,0.01628604502894787],[0.004031163180457191,-0.0806799314456919,-0.008761710707888802,0.007351226278172071]]}],""dispersion"":{""n_good"":3,""n_required"":4,""status"":""INSUFFICIENT"",""linearization_rel_tol"":0.08},""core_radius_coord_used"":0.3120844912923364,""note"":""INCONCLUSIVE: insufficient linearly converged oscillatory projected modes. Local regularized finite-core Biot-Savart response; not Floquet/full Euler.""}"
