file,status,components
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_0.1_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_10.123_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_10.1_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_3.1_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_4.1_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_5.1_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_5.2_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.1_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.2_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_6.3_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_7.1_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_7.2_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_7.3_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_7.4_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_8.17_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_8.18_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_8.1_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_9.1_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_9.2_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\knot_9.35_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\link_0.2.1_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\link_0.3.1_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\link_2.2.1_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\link_4.2.1_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\link_5.2.1_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\link_6.2.1_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\link_6.3.1_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\link_6.3.2_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\link_6.3.3_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\link_7.2.5_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\link_7.2.6_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\link_7.2.8_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\link_8.2.1_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\link_9.2.20_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\link_9.2.40_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\torus_2.11_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\torus_2.3_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\torus_2.4_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\torus_2.5_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\torus_2.6_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\torus_2.7_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\torus_2.8_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\torus_2.9_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\torus_3.3_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\torus_3.6_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\torus_3.9_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\torus_6.15_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\torus_6.21_final.txt,OK,1
C:\workspace\projects\SST-Workbench\KnotPlot\knots\final\torus_6.9_final.txt,OK,1
