Tkick_s,Td_s,T_s,action_J_s
0.0,0.0,0.0002,3.703577275137601e-35
0.0,0.0,0.0003,1.24995733035894e-34
0.0,0.0,0.0004,2.962861820110081e-34
0.0,0.0,0.0005,5.786839492402501e-34
0.0,0.0,0.0006,9.99965864287152e-34
0.0,0.0,0.0008,2.3702894560880648e-33
0.0,0.0,0.001,4.629471593922001e-33
0.0,0.0,0.0012,7.999726914297215e-33
0.0,2e-05,0.0002,3.699873697862463e-35
0.0,2e-05,0.0003,1.249586972631426e-34
0.0,2e-05,0.0004,2.962491462382567e-34
0.0,2e-05,0.0005,5.786469134674988e-34
0.0,2e-05,0.0006,9.999288285144005e-34
0.0,2e-05,0.0008,2.3702524203153134e-33
0.0,2e-05,0.001,4.629434558149249e-33
0.0,2e-05,0.0012,7.999689878524464e-33
0.0,5e-05,0.0002,3.6457088802135765e-35
0.0,5e-05,0.0003,1.2441704908665373e-34
0.0,5e-05,0.0004,2.9570749806176784e-34
0.0,5e-05,0.0005,5.7810526529100975e-34
0.0,5e-05,0.0006,9.993871803379115e-34
0.0,5e-05,0.0008,2.3697107721388244e-33
0.0,5e-05,0.001,4.628892909972761e-33
0.0,5e-05,0.0012,7.999148230347975e-33
0.0,7.1e-05,0.0002,3.537883394372379e-35
0.0,7.1e-05,0.0003,1.2333879422824179e-34
0.0,7.1e-05,0.0004,2.9462924320335585e-34
0.0,7.1e-05,0.0005,5.7702701043259784e-34
0.0,7.1e-05,0.0006,9.983089254794996e-34
0.0,7.1e-05,0.0008,2.3686325172804125e-33
0.0,7.1e-05,0.001,4.627814655114349e-33
0.0,7.1e-05,0.0012,7.998069975489564e-33
2e-05,0.0,0.0002,4.110970775402737e-35
2e-05,0.0,0.0003,1.3388431849622422e-34
2e-05,0.0,0.0004,3.11841206566586e-34
2e-05,0.0,0.0005,6.027572015286446e-34
2e-05,0.0,0.0006,1.0344091329459317e-33
2e-05,0.0,0.0008,2.431028123400321e-33
2e-05,0.0,0.001,4.723912814438009e-33
2e-05,0.0,0.0012,8.13527784256725e-33
2e-05,2e-05,0.0002,4.133192239053562e-35
2e-05,2e-05,0.0003,1.3429171199648936e-34
2e-05,2e-05,0.0004,3.1243377893060803e-34
2e-05,2e-05,0.0005,6.035349527564234e-34
2e-05,2e-05,0.0006,1.0353720630374674e-33
2e-05,2e-05,0.0008,2.432361411219371e-33
2e-05,2e-05,0.001,4.7256164599845725e-33
2e-05,2e-05,0.0012,8.137351845841328e-33
2e-05,5e-05,0.0002,4.090138153230088e-35
2e-05,5e-05,0.0003,1.3413893943388992e-34
2e-05,5e-05,0.0004,3.125587746636439e-34
2e-05,5e-05,0.0005,6.039377167850947e-34
2e-05,5e-05,0.0006,1.0360525953617739e-33
2e-05,5e-05,0.0008,2.4335974801349477e-33
2e-05,5e-05,0.001,4.727408065491421e-33
2e-05,5e-05,0.0012,8.139698987939446e-33
2e-05,7.1e-05,0.0002,3.9702575233583185e-35
2e-05,7.1e-05,0.0003,1.3313457094211696e-34
2e-05,7.1e-05,0.0004,3.1174884397881572e-34
2e-05,7.1e-05,0.0005,6.033222239072111e-34
2e-05,7.1e-05,0.0006,1.0356315402908351e-33
2e-05,7.1e-05,0.0008,2.4335653006778987e-33
2e-05,7.1e-05,0.001,4.727764761648261e-33
2e-05,7.1e-05,0.0012,8.140444559710175e-33
4e-05,0.0,0.0002,4.5924358211706253e-35
4e-05,0.0,0.0003,1.4388397713909576e-34
4e-05,0.0,0.0004,3.2887766203221894e-34
4e-05,0.0,0.0005,6.286822424546077e-34
4e-05,0.0,0.0006,1.0710745479697937e-33
4e-05,0.0,0.0008,2.494729652532688e-33
4e-05,0.0,0.001,4.822057612229157e-33
4e-05,0.0,0.0012,8.275273063567453e-33
4e-05,2e-05,0.0002,4.633175171197138e-35
4e-05,2e-05,0.0003,1.4466172836687467e-34
4e-05,2e-05,0.0004,3.3002577098751165e-34
4e-05,2e-05,0.0005,6.302007091374141e-34
4e-05,2e-05,0.0006,1.0729633723801139e-33
4e-05,2e-05,0.0008,2.497359192398036e-33
4e-05,2e-05,0.001,4.825427867549531e-33
4e-05,2e-05,0.0012,8.279384034342856e-33
4e-05,5e-05,0.0002,4.590121085373664e-35
4e-05,5e-05,0.0003,1.4478672409991055e-34
4e-05,5e-05,0.0004,3.3070630331181816e-34
4e-05,5e-05,0.0005,6.314367780529912e-34
4e-05,5e-05,0.0006,1.0747549778869618e-33
4e-05,5e-05,0.0008,2.500261871087425e-33
4e-05,5e-05,0.001,4.829441619421462e-33
4e-05,5e-05,0.0012,8.284508859397327e-33
4e-05,7.1e-05,0.0002,4.4504077991935325e-35
4e-05,7.1e-05,0.0003,1.4377846685199869e-34
4e-05,7.1e-05,0.0004,3.300869216777957e-34
4e-05,7.1e-05,0.0005,6.312062720328582e-34
4e-05,7.1e-05,0.0006,1.0749133474807182e-33
4e-05,7.1e-05,0.0008,2.50119799190896e-33
4e-05,7.1e-05,0.001,4.8311554914707766e-33
4e-05,7.1e-05,0.0012,8.28700048267442e-33
8e-05,0.0,0.0002,5.777580549214657e-35
8e-05,0.0,0.0003,1.6721651397246263e-34
8e-05,0.0,0.0004,3.6739486569365003e-34
8e-05,0.0,0.0005,6.8608769021924055e-34
8e-05,0.0,0.0006,1.151071817112766e-33
8e-05,0.0,0.0008,2.6310212962577516e-33
8e-05,0.0,0.001,5.029457939636862e-33
8e-05,0.0,0.0012,8.56859638375835e-33
8e-05,2e-05,0.0002,5.833134208341722e-35
8e-05,2e-05,0.0003,1.6851276601876078e-34
8e-05,2e-05,0.0004,3.694318331949757e-34
8e-05,2e-05,0.0005,6.888653731755938e-34
8e-05,2e-05,0.0006,1.1545902155241469e-33
8e-05,2e-05,0.0008,2.6360211255791877e-33
8e-05,2e-05,0.001,5.0359391998683516e-33
8e-05,2e-05,0.0012,8.576559074899896e-33
8e-05,5e-05,0.0002,5.756747927042008e-35
8e-05,5e-05,0.0003,1.6885997638830494e-34
8e-05,5e-05,0.0004,3.708901167470611e-34
8e-05,5e-05,0.0005,6.914347299102204e-34
8e-05,5e-05,0.0006,1.1582706454413148e-33
8e-05,5e-05,0.0008,2.641923701861438e-33
8e-05,5e-05,0.001,5.044063922515686e-33
