pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns
PAIR_D3D5AFECD739,TORUS_T2_3,torus,CAND_A728AA97099CDB18,CAND_1FCA230294FE2AA3,-2.0,-2.0,total_beta,1.0,3,1.0
PAIR_6F5A98D77427,TORUS_T2_3,torus,CAND_A728AA97099CDB18,CAND_D54527443AA7A2D2,-1.5,-1.5,total_beta,1.0,3,1.0
PAIR_AB7177702697,TORUS_T2_3,torus,CAND_A728AA97099CDB18,CAND_0054EEBD74C135A1,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_A8B4FF765852,TORUS_T2_3,torus,CAND_A728AA97099CDB18,CAND_A459D2A297547F8E,-0.75,-0.75,total_beta,1.0,3,1.0
PAIR_61220D40AD5F,TORUS_T2_3,torus,CAND_A728AA97099CDB18,CAND_702CE4A048DA3BDC,-0.5,-0.5,total_beta,1.0,3,1.0
PAIR_45E41D37DCAF,TORUS_T2_3,torus,CAND_A728AA97099CDB18,CAND_37E03FA060934FD6,-0.25,-0.25,total_beta,1.0,3,1.0
PAIR_C0EB68693CA2,TORUS_T2_3,torus,CAND_A728AA97099CDB18,CAND_C229938EF0C3E83A,0.25,0.25,total_beta,1.0,3,1.0
PAIR_19509B5F5D9F,TORUS_T2_3,torus,CAND_A728AA97099CDB18,CAND_975327AFFBE7FF5C,0.5,0.5,total_beta,1.0,3,1.0
PAIR_0F2D096C7BE5,TORUS_T2_3,torus,CAND_A728AA97099CDB18,CAND_9FD52619C72B0F22,0.75,0.75,total_beta,1.0,3,1.0
PAIR_E11C9108DFA0,TORUS_T2_3,torus,CAND_A728AA97099CDB18,CAND_1FF831CAC817545B,1.0,1.0,total_beta,1.0,3,1.0
PAIR_893D930A75BF,TORUS_T2_3,torus,CAND_A728AA97099CDB18,CAND_E38A19D732BDBF13,1.5,1.5,total_beta,1.0,3,1.0
PAIR_E8CAA83A6A7B,TORUS_T2_3,torus,CAND_A728AA97099CDB18,CAND_4C2B56EE1E849737,2.0,2.0,total_beta,1.0,3,1.0
PAIR_613A89CE9E46,TORUS_T2_5,torus,CAND_294AF736DD2DB495,CAND_2620ED373CB732A6,-2.0,-2.0,total_beta,1.0,3,1.0
PAIR_31D519353B5C,TORUS_T2_5,torus,CAND_294AF736DD2DB495,CAND_D61020B4C74ABC7B,-1.5,-1.5,total_beta,1.0,3,1.0
PAIR_412026174A58,TORUS_T2_5,torus,CAND_294AF736DD2DB495,CAND_6E85559075349C26,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_88CC7C15448E,TORUS_T2_5,torus,CAND_294AF736DD2DB495,CAND_DD525E27E6410DD9,-0.75,-0.75,total_beta,1.0,3,1.0
PAIR_0B0729502EFE,TORUS_T2_5,torus,CAND_294AF736DD2DB495,CAND_BC0DD801B70A13D7,-0.5,-0.5,total_beta,1.0,3,1.0
PAIR_5CC4E8AA1BDB,TORUS_T2_5,torus,CAND_294AF736DD2DB495,CAND_7BEBBBC23AFE5E3D,-0.25,-0.25,total_beta,1.0,3,1.0
PAIR_45828C64078E,TORUS_T2_5,torus,CAND_294AF736DD2DB495,CAND_C93063DB44586796,0.25,0.25,total_beta,1.0,3,1.0
PAIR_8E3A5BF837D3,TORUS_T2_5,torus,CAND_294AF736DD2DB495,CAND_3FF5217B8FEA708B,0.5,0.5,total_beta,1.0,3,1.0
PAIR_C3D35D5DF8AB,TORUS_T2_5,torus,CAND_294AF736DD2DB495,CAND_36DC269997D22B11,0.75,0.75,total_beta,1.0,3,1.0
PAIR_583394798507,TORUS_T2_5,torus,CAND_294AF736DD2DB495,CAND_D0A4CDCFA8DE45B4,1.0,1.0,total_beta,1.0,3,1.0
PAIR_BA0C8A97FAAF,TORUS_T2_5,torus,CAND_294AF736DD2DB495,CAND_D60DC4ED3B9AE654,1.5,1.5,total_beta,1.0,3,1.0
PAIR_F10B9D5C929C,TORUS_T2_5,torus,CAND_294AF736DD2DB495,CAND_617DF96FFCD292C1,2.0,2.0,total_beta,1.0,3,1.0
PAIR_00E2DF7536B6,TORUS_T2_7,torus,CAND_868D07AF04CCAAC4,CAND_AF6417115479EFE5,-2.0,-2.0,total_beta,1.0,3,1.0
PAIR_5030823BB00F,TORUS_T2_7,torus,CAND_868D07AF04CCAAC4,CAND_97C19EAF510002AC,-1.5,-1.5,total_beta,1.0,3,1.0
PAIR_C8779F6E4FD5,TORUS_T2_7,torus,CAND_868D07AF04CCAAC4,CAND_C15B23C24BD8F516,-1.0,-1.0,total_beta,1.0,3,1.0
