pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns
PAIR_B105D2FB4595,TORUS_T2_3,torus,CAND_7121BFD8186D9CE3,CAND_A2222A9C2E833670,-1.5,-1.5,total_beta,1.0,1,0.0
PAIR_9CE7E434521E,TORUS_T2_3,torus,CAND_7121BFD8186D9CE3,CAND_93D699DEDD376C11,-1.0,-1.0,total_beta,1.0,1,0.0
PAIR_13B0A5922D52,TORUS_T2_3,torus,CAND_7121BFD8186D9CE3,CAND_BBB1D3C50D858EB6,-0.5,-0.5,total_beta,1.0,1,0.0
PAIR_F815554B749C,TORUS_T2_3,torus,CAND_7121BFD8186D9CE3,CAND_FE1CF26AC495BA81,-0.25,-0.25,total_beta,1.0,1,0.0
PAIR_B8C8351D935F,TORUS_T2_3,torus,CAND_7121BFD8186D9CE3,CAND_C536C1E35285DA1C,0.25,0.25,total_beta,1.0,1,0.0
PAIR_0BB6BC92D4FE,TORUS_T2_3,torus,CAND_7121BFD8186D9CE3,CAND_B32FC11344C351AB,0.5,0.5,total_beta,1.0,1,0.0
PAIR_2AF553E1A5EC,TORUS_T2_3,torus,CAND_7121BFD8186D9CE3,CAND_098D653C9F5B6561,1.0,1.0,total_beta,1.0,1,0.0
PAIR_BDB8DBB443E9,TORUS_T2_3,torus,CAND_7121BFD8186D9CE3,CAND_57AAF507C4E5DDB1,1.5,1.5,total_beta,1.0,1,0.0
PAIR_B828D474E044,TORUS_T2_3,torus,CAND_D5FB222FF565F51B,CAND_15E3F343350792B2,-1.5,-1.5,total_beta,1.0,1,1.0
PAIR_327B6C7D8602,TORUS_T2_3,torus,CAND_D5FB222FF565F51B,CAND_89FE7FBCECAC5FA5,-1.0,-1.0,total_beta,1.0,1,1.0
PAIR_1A85EC6DD35B,TORUS_T2_3,torus,CAND_D5FB222FF565F51B,CAND_179CC00A450F05DE,-0.5,-0.5,total_beta,1.0,1,1.0
PAIR_765D3D9B9178,TORUS_T2_3,torus,CAND_D5FB222FF565F51B,CAND_026B7A588CF63848,-0.25,-0.25,total_beta,1.0,1,1.0
PAIR_3544A1CA91DA,TORUS_T2_3,torus,CAND_D5FB222FF565F51B,CAND_E0A0D7308D0DD051,0.25,0.25,total_beta,1.0,1,1.0
PAIR_2CAD98186F92,TORUS_T2_3,torus,CAND_D5FB222FF565F51B,CAND_49C0D025A797E0C1,0.5,0.5,total_beta,1.0,1,1.0
PAIR_FEADA13FCE6F,TORUS_T2_3,torus,CAND_D5FB222FF565F51B,CAND_87913C084EF230BF,1.0,1.0,total_beta,1.0,1,1.0
PAIR_810ACF0B922B,TORUS_T2_3,torus,CAND_D5FB222FF565F51B,CAND_A5EB3FCA819B0655,1.5,1.5,total_beta,1.0,1,1.0
PAIR_715F0AD8522C,TORUS_T2_3,torus,CAND_684FF05DFC3647E2,CAND_0ECC330E35F21AD1,-1.5,-1.5,total_beta,1.0,1,3.0
PAIR_2A956CE54964,TORUS_T2_3,torus,CAND_684FF05DFC3647E2,CAND_141E4CDCBFDBCC27,-1.0,-1.0,total_beta,1.0,1,3.0
PAIR_E42066BA5007,TORUS_T2_3,torus,CAND_684FF05DFC3647E2,CAND_D9F7A32CD0A15979,-0.5,-0.5,total_beta,1.0,1,3.0
PAIR_B59097EEF08F,TORUS_T2_3,torus,CAND_684FF05DFC3647E2,CAND_AF6CC3ADE4E70C6F,-0.25,-0.25,total_beta,1.0,1,3.0
PAIR_31B0EF66D60E,TORUS_T2_3,torus,CAND_684FF05DFC3647E2,CAND_DFA03218D5621254,0.25,0.25,total_beta,1.0,1,3.0
PAIR_44E3DECD186C,TORUS_T2_3,torus,CAND_684FF05DFC3647E2,CAND_E59AA24072CDFB9F,0.5,0.5,total_beta,1.0,1,3.0
PAIR_4FC090A9A7F9,TORUS_T2_3,torus,CAND_684FF05DFC3647E2,CAND_BC2F0E02E6708807,1.0,1.0,total_beta,1.0,1,3.0
PAIR_2B5B4B2A9CEC,TORUS_T2_3,torus,CAND_684FF05DFC3647E2,CAND_517AAB353E71E5A2,1.5,1.5,total_beta,1.0,1,3.0
PAIR_E5A9C713CF85,TORUS_T2_3,torus,CAND_26868282BBA90857,CAND_E7161255F6CA4AB6,-1.5,-1.5,total_beta,1.0,3,0.0
PAIR_2C3BD794FBB7,TORUS_T2_3,torus,CAND_26868282BBA90857,CAND_512DD77D12D5C2CD,-1.0,-1.0,total_beta,1.0,3,0.0
PAIR_A4C4F2DEB76F,TORUS_T2_3,torus,CAND_26868282BBA90857,CAND_623CEB3491763AB9,-0.5,-0.5,total_beta,1.0,3,0.0
PAIR_598B49EDADE1,TORUS_T2_3,torus,CAND_26868282BBA90857,CAND_6020E0FD45CB8416,-0.25,-0.25,total_beta,1.0,3,0.0
PAIR_227B2370311B,TORUS_T2_3,torus,CAND_26868282BBA90857,CAND_AB90453A3FEEF7A8,0.25,0.25,total_beta,1.0,3,0.0
PAIR_DFD4435EDE91,TORUS_T2_3,torus,CAND_26868282BBA90857,CAND_B127F5693CC1BB4F,0.5,0.5,total_beta,1.0,3,0.0
PAIR_5AF206E7DD26,TORUS_T2_3,torus,CAND_26868282BBA90857,CAND_4129CAF2604D6E0E,1.0,1.0,total_beta,1.0,3,0.0
PAIR_FAEC545477D8,TORUS_T2_3,torus,CAND_26868282BBA90857,CAND_A51DA000B51CE315,1.5,1.5,total_beta,1.0,3,0.0
PAIR_31559AA7D3DF,TORUS_T2_3,torus,CAND_507975437FA49BD3,CAND_7B775AAA83754E28,-1.5,-1.5,total_beta,1.0,3,1.0
PAIR_E05546D2A966,TORUS_T2_3,torus,CAND_507975437FA49BD3,CAND_1069E6B81B7338B1,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_62AB502F0B90,TORUS_T2_3,torus,CAND_507975437FA49BD3,CAND_DB3BA44255869963,-0.5,-0.5,total_beta,1.0,3,1.0
PAIR_7622878F3ABF,TORUS_T2_3,torus,CAND_507975437FA49BD3,CAND_2893F117A7FBC446,-0.25,-0.25,total_beta,1.0,3,1.0
PAIR_F34002EE6D38,TORUS_T2_3,torus,CAND_507975437FA49BD3,CAND_B5E55C7773C9C91C,0.25,0.25,total_beta,1.0,3,1.0
PAIR_06A6A6D668FB,TORUS_T2_3,torus,CAND_507975437FA49BD3,CAND_054E6798DA3A47EB,0.5,0.5,total_beta,1.0,3,1.0
PAIR_C0742E608DA3,TORUS_T2_3,torus,CAND_507975437FA49BD3,CAND_EC53E6520CFF9182,1.0,1.0,total_beta,1.0,3,1.0
PAIR_023B1BEBC0E3,TORUS_T2_3,torus,CAND_507975437FA49BD3,CAND_BC53F96DE2D0EC25,1.5,1.5,total_beta,1.0,3,1.0
PAIR_09DB172FB7EB,TORUS_T2_3,torus,CAND_F6F58C27BB8FA0AB,CAND_0B237E91AE7A486F,-1.5,-1.5,total_beta,1.0,3,3.0
PAIR_738070E5CF49,TORUS_T2_3,torus,CAND_F6F58C27BB8FA0AB,CAND_81F0486EEF899407,-1.0,-1.0,total_beta,1.0,3,3.0
PAIR_D199F9FC4C7E,TORUS_T2_3,torus,CAND_F6F58C27BB8FA0AB,CAND_69B3AB4CF91B0449,-0.5,-0.5,total_beta,1.0,3,3.0
PAIR_4A4C0B3D6EEC,TORUS_T2_3,torus,CAND_F6F58C27BB8FA0AB,CAND_587A2AA02EC77E00,-0.25,-0.25,total_beta,1.0,3,3.0
PAIR_052C7B128B02,TORUS_T2_3,torus,CAND_F6F58C27BB8FA0AB,CAND_1D2F22858223730D,0.25,0.25,total_beta,1.0,3,3.0
PAIR_BD23EE3DAFA6,TORUS_T2_3,torus,CAND_F6F58C27BB8FA0AB,CAND_E496609B198BB5BB,0.5,0.5,total_beta,1.0,3,3.0
PAIR_D153BFD20A13,TORUS_T2_3,torus,CAND_F6F58C27BB8FA0AB,CAND_69225184055C6AC4,1.0,1.0,total_beta,1.0,3,3.0
PAIR_0569CE88E450,TORUS_T2_3,torus,CAND_F6F58C27BB8FA0AB,CAND_7C22B3A4DC876E71,1.5,1.5,total_beta,1.0,3,3.0
PAIR_09A3CDD0B12B,TORUS_T2_7,torus,CAND_AB2EBAFAB00221F7,CAND_70BA8DF2AD7D4A69,-1.5,-1.5,total_beta,1.0,1,0.0
PAIR_563C5C7801C6,TORUS_T2_7,torus,CAND_AB2EBAFAB00221F7,CAND_7E6EE19627C9C879,-1.0,-1.0,total_beta,1.0,1,0.0
PAIR_83A56EE929BB,TORUS_T2_7,torus,CAND_AB2EBAFAB00221F7,CAND_CD77B1E066F3CC94,-0.5,-0.5,total_beta,1.0,1,0.0
PAIR_346D1E1AD501,TORUS_T2_7,torus,CAND_AB2EBAFAB00221F7,CAND_53B53660CBA9B710,-0.25,-0.25,total_beta,1.0,1,0.0
PAIR_37263BF7B8A4,TORUS_T2_7,torus,CAND_AB2EBAFAB00221F7,CAND_49FAC0033C42E37F,0.25,0.25,total_beta,1.0,1,0.0
PAIR_5E97EEFA95FB,TORUS_T2_7,torus,CAND_AB2EBAFAB00221F7,CAND_F2EB12C4D5AA44A6,0.5,0.5,total_beta,1.0,1,0.0
PAIR_D1D7BE0ABE3C,TORUS_T2_7,torus,CAND_AB2EBAFAB00221F7,CAND_BFDF87A2920E7B83,1.0,1.0,total_beta,1.0,1,0.0
PAIR_89D5A1B91C24,TORUS_T2_7,torus,CAND_AB2EBAFAB00221F7,CAND_96769F4F33596208,1.5,1.5,total_beta,1.0,1,0.0
PAIR_0D6628E3003A,TORUS_T2_7,torus,CAND_EE7C0007DEC4B693,CAND_5182AE226D7DD9E0,-1.5,-1.5,total_beta,1.0,1,1.0
PAIR_B355AA58F623,TORUS_T2_7,torus,CAND_EE7C0007DEC4B693,CAND_4C0F393C46C818E9,-1.0,-1.0,total_beta,1.0,1,1.0
PAIR_E4941B9E96DF,TORUS_T2_7,torus,CAND_EE7C0007DEC4B693,CAND_38FA7100673FFF5F,-0.5,-0.5,total_beta,1.0,1,1.0
PAIR_6AF5D7751288,TORUS_T2_7,torus,CAND_EE7C0007DEC4B693,CAND_9EDD85610B216C2B,-0.25,-0.25,total_beta,1.0,1,1.0
PAIR_A01D6B0B0B94,TORUS_T2_7,torus,CAND_EE7C0007DEC4B693,CAND_F2F1277019A10F1A,0.25,0.25,total_beta,1.0,1,1.0
