pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns,campaign_role
PAIR_64AEC4A44FDA,TORUS_T2_3,torus,CAND_A646C6B1E9AD2B01,CAND_E3B52EA38A1C8759,-2.0,-2.0,total_beta,1.0,3,1.0,general
PAIR_0B6E569B3315,TORUS_T2_3,torus,CAND_A646C6B1E9AD2B01,CAND_C44F5E3CB9831430,-1.5,-1.5,total_beta,1.0,3,1.0,general
PAIR_FC1488D30D16,TORUS_T2_3,torus,CAND_A646C6B1E9AD2B01,CAND_636180DF84BB1971,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_635AA24DBC9F,TORUS_T2_3,torus,CAND_A646C6B1E9AD2B01,CAND_9615E2C9F97705CD,-0.75,-0.75,total_beta,1.0,3,1.0,general
PAIR_181A31195149,TORUS_T2_3,torus,CAND_A646C6B1E9AD2B01,CAND_6B773C372088A88B,-0.5,-0.5,total_beta,1.0,3,1.0,general
PAIR_970795622425,TORUS_T2_3,torus,CAND_A646C6B1E9AD2B01,CAND_BCA8FFDBD1AA4AA7,-0.25,-0.25,total_beta,1.0,3,1.0,general
PAIR_2F605460644D,TORUS_T2_3,torus,CAND_A646C6B1E9AD2B01,CAND_8BF42F627F0BC613,0.25,0.25,total_beta,1.0,3,1.0,general
PAIR_505B9AB87A9F,TORUS_T2_3,torus,CAND_A646C6B1E9AD2B01,CAND_D870F5C6B934BC9B,0.5,0.5,total_beta,1.0,3,1.0,general
PAIR_69871D924F9C,TORUS_T2_3,torus,CAND_A646C6B1E9AD2B01,CAND_B5B8BA79598EB980,0.75,0.75,total_beta,1.0,3,1.0,general
PAIR_F43BD133BCDC,TORUS_T2_3,torus,CAND_A646C6B1E9AD2B01,CAND_37FE1567EEE471E1,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_516DF8992DD8,TORUS_T2_3,torus,CAND_A646C6B1E9AD2B01,CAND_A742FAA20431A14C,1.5,1.5,total_beta,1.0,3,1.0,general
PAIR_9277E9DF9E93,TORUS_T2_3,torus,CAND_A646C6B1E9AD2B01,CAND_EF8808415488BFDA,2.0,2.0,total_beta,1.0,3,1.0,general
PAIR_A91712F29717,TORUS_T2_5,torus,CAND_2BEE42C9FE169BAF,CAND_59486EEF94B5EA54,-2.0,-2.0,total_beta,1.0,3,1.0,general
PAIR_3F4FA666A7F5,TORUS_T2_5,torus,CAND_2BEE42C9FE169BAF,CAND_AF90657D6F976608,-1.5,-1.5,total_beta,1.0,3,1.0,general
PAIR_326283C41EBA,TORUS_T2_5,torus,CAND_2BEE42C9FE169BAF,CAND_7EC019C0A856CD63,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_5773F3356EFC,TORUS_T2_5,torus,CAND_2BEE42C9FE169BAF,CAND_8942855C7F5D7DA0,-0.75,-0.75,total_beta,1.0,3,1.0,general
PAIR_1C54332C81C0,TORUS_T2_5,torus,CAND_2BEE42C9FE169BAF,CAND_4A403DA7D1412F79,-0.5,-0.5,total_beta,1.0,3,1.0,general
PAIR_723E5566C507,TORUS_T2_5,torus,CAND_2BEE42C9FE169BAF,CAND_371B12B1E83C77CD,-0.25,-0.25,total_beta,1.0,3,1.0,general
PAIR_F1337FA39486,TORUS_T2_5,torus,CAND_2BEE42C9FE169BAF,CAND_14C080FAAF8237CE,0.25,0.25,total_beta,1.0,3,1.0,general
PAIR_854D6FCF9B21,TORUS_T2_5,torus,CAND_2BEE42C9FE169BAF,CAND_954D4582ED636F7F,0.5,0.5,total_beta,1.0,3,1.0,general
PAIR_B474B3B02756,TORUS_T2_5,torus,CAND_2BEE42C9FE169BAF,CAND_E0ADA4E8BB1C77AA,0.75,0.75,total_beta,1.0,3,1.0,general
PAIR_505A3853F387,TORUS_T2_5,torus,CAND_2BEE42C9FE169BAF,CAND_41B68D4834D38A71,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_86CBB8F32C6E,TORUS_T2_5,torus,CAND_2BEE42C9FE169BAF,CAND_10877205E2685839,1.5,1.5,total_beta,1.0,3,1.0,general
PAIR_D6A265BF1558,TORUS_T2_5,torus,CAND_2BEE42C9FE169BAF,CAND_D530BD00AA4CC46B,2.0,2.0,total_beta,1.0,3,1.0,general
PAIR_7ABB372A4006,TORUS_T2_7,torus,CAND_B3FEF913BB8E6E12,CAND_ABD62F160F5EE127,-2.0,-2.0,total_beta,1.0,3,1.0,general
PAIR_0665A1F9F05D,TORUS_T2_7,torus,CAND_B3FEF913BB8E6E12,CAND_69F05CE117F13B75,-1.5,-1.5,total_beta,1.0,3,1.0,general
PAIR_4D076CA6032E,TORUS_T2_7,torus,CAND_B3FEF913BB8E6E12,CAND_93E37ABF39EE62E5,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_949801C284CA,TORUS_T2_7,torus,CAND_B3FEF913BB8E6E12,CAND_2029B830D6FEB480,-0.75,-0.75,total_beta,1.0,3,1.0,general
PAIR_1C4D76E11D2A,TORUS_T2_7,torus,CAND_B3FEF913BB8E6E12,CAND_2C58D9372A096227,-0.5,-0.5,total_beta,1.0,3,1.0,general
PAIR_03BF3C969A64,TORUS_T2_7,torus,CAND_B3FEF913BB8E6E12,CAND_9FED5E317A2B40D5,-0.25,-0.25,total_beta,1.0,3,1.0,general
PAIR_03200CDDD14A,TORUS_T2_7,torus,CAND_B3FEF913BB8E6E12,CAND_25766CE762BEBCFC,0.25,0.25,total_beta,1.0,3,1.0,general
PAIR_BEBA6E101D05,TORUS_T2_7,torus,CAND_B3FEF913BB8E6E12,CAND_994108B98381411F,0.5,0.5,total_beta,1.0,3,1.0,general
