pair_id,candidate_a,candidate_b,valid,winner_anonymous,decision_basis,median_log_ratio_A_over_B,n_metrics_A_better,n_metrics_B_better,delta_far_profile_nu_blind,delta_far_profile_r2_blind,delta_far_profile_coeff_A_minus_B_blind,delta_far_profile_boundary_hit_blind,delta_source_monopole_A_minus_B_blind,delta_source_monopole_fraction_abs_blind,delta_pressure_ladder_n_blind,delta_pressure_ladder_nu_span_blind,delta_pressure_ladder_monopole_rel_span_blind,carrier_id,family,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,campaign_role,gamma_core,n_threads,helix_turns,winner_condition,log_ratio_active_over_null,analysis_mode,active_dynamic_status,null_dynamic_status,active_actual_tau_end,null_actual_tau_end,pressure_delta_active_minus_null,delta_source_monopole_active_minus_null,delta_source_monopole_fraction_abs,delta_far_profile_coeff_active_minus_null,active_pressure_center_minus_shell,null_pressure_center_minus_shell,active_far_profile_nu_best,active_far_profile_r2_best,active_far_profile_coeff_best,active_far_profile_nu_boundary_hit,delta_far_profile_nu_best,delta_far_profile_r2_best,delta_far_profile_coeff_best,delta_far_profile_nu_boundary_hit,active_r2_1_over_r,active_r2_1_over_r2,active_r2_advantage_1_over_r,delta_pressure_ladder_n,delta_pressure_ladder_nu_median,delta_pressure_ladder_nu_span,delta_pressure_ladder_monopole_rel_span,active_thread_density_log_growth,null_thread_density_log_growth,thread_density_growth_active_minus_null,active_restoring_fraction,null_restoring_fraction,active_max_real_growth,null_max_real_growth,active_gear_phase_lock_score,null_gear_phase_lock_score,active_best_rational_p,active_best_rational_q,active_thread_over_carrier_rate
PAIR_38DECFBF1A9D,CAND_87AD5075AB41E317,CAND_2804B2ABE749B450,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_7,torus,0.5,2.5,per_thread_beta,thread_focusing,1.0,5,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-1.4126463266199556e-05,4.801217958959046e-05,-6.213864285579001e-05,0.5,0.5,0.07373576526388861,0.03053976772900402,nan,nan,,,nan
PAIR_C00983DBFE56,CAND_52BB533951FF3366,CAND_4C605BDAA1671540,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_3,torus,1.0,3.0,per_thread_beta,thread_focusing,1.0,3,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-7.844688179612176e-05,5.241083661722216e-05,-0.0001308577184133439,0.5,0.5,0.00033554836566604363,0.05497412389936205,nan,nan,,,nan
PAIR_82E0398287B0,CAND_1AA4676EB9EE8DDD,CAND_72CA0207BE7A4B33,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TRIPLE_GEAR_T3_3,triple_gear,1.0,1.0,per_thread_beta,thread_focusing,1.0,1,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-3.2926732565681017e-07,0.00013853338538022842,-0.00013886265270588523,0.5,0.5,7.393279767253791e-05,6.725102701621993e-05,nan,nan,,,nan
PAIR_9C75373A6C4C,CAND_ED12E269089F9D5E,CAND_255DE3A3346F4BAD,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_7,torus,0.5,0.5,per_thread_beta,thread_focusing,1.0,1,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,1.1337129102386415e-05,4.5258417575189175e-05,-3.392128847280276e-05,0.5,0.5,0.04009630736435088,0.03053976772900402,nan,nan,,,nan
PAIR_8E3E459A3CFA,CAND_68E99019A078DF60,CAND_C7525C46D3556142,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_3,torus,1.0,5.0,per_thread_beta,thread_focusing,1.0,5,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-0.00023905205611133911,5.3813379580521516e-05,-0.00029286543569186064,0.5,0.5,0.02076193639219661,0.05497412389936205,nan,nan,,,nan
PAIR_AEF152DE5723,CAND_460C3652B9755F4F,CAND_CDB977EFF103918B,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_7,torus,1.0,3.0,per_thread_beta,thread_focusing,1.0,3,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-8.08941148865423e-05,4.801241290507948e-05,-0.00012890652779162177,0.5,0.5,0.0820970926079674,0.03053976772900402,nan,nan,,,nan
PAIR_27FA5FC14552,CAND_051BE6E2BBDDAF1A,CAND_FA1F4EAF95759982,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_9,torus,0.5,1.5,per_thread_beta,thread_focusing,1.0,3,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,1.7111630922758268e-05,4.411783222821807e-05,-2.7006201305459805e-05,0.5,0.5,-8.79636400824696e-05,-0.00033617651651635084,nan,nan,,,nan
PAIR_34F59D3B67B4,CAND_CBD3E79A67CCFA9D,CAND_6BC6256A8B7F43DF,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_9,torus,0.5,2.5,per_thread_beta,thread_focusing,1.0,5,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-1.7130023518152215e-05,4.405227216521195e-05,-6.118229568336417e-05,0.5,0.5,0.00047682746892374617,-0.00033617651651635084,nan,nan,,,nan
PAIR_CA6F459DC5BF,CAND_68E99019A078DF60,CAND_CF29E5E140EDD30E,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_3,torus,0.5,2.5,per_thread_beta,thread_focusing,1.0,5,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-9.334161393477476e-06,5.3813379580521516e-05,-6.314754097399899e-05,0.5,0.5,0.014635044332093282,0.05497412389936205,nan,nan,,,nan
PAIR_DFE6C6526C1D,CAND_B50E9978C9FDA2FA,CAND_40F91246DABAFB87,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TRIPLE_GEAR_T3_3,triple_gear,1.0,3.0,per_thread_beta,thread_focusing,1.0,3,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,0.14813876015473426,0.14835961988014348,-0.0002208597254092226,0.5,0.5,9.681758749111383e-05,6.725102701621993e-05,nan,nan,,,nan
PAIR_A5FCCF5E5625,CAND_34F01E3A6DA56009,CAND_BFFFF8218151888F,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TRIPLE_GEAR_T3_3,triple_gear,0.5,2.5,per_thread_beta,thread_focusing,1.0,5,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,0.1482561831019953,0.14836209486408655,-0.0001059117620912653,0.5,0.5,9.332866283165084e-05,6.725102701621993e-05,nan,nan,,,nan
PAIR_5710F242BB2A,CAND_BFFFF8218151888F,CAND_01DCC9958727783E,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TRIPLE_GEAR_T3_3,triple_gear,1.0,5.0,per_thread_beta,thread_focusing,1.0,5,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,0.1479342049856987,0.14836209486408655,-0.0004278898783878493,0.5,0.5,0.00011948187754912392,6.725102701621993e-05,nan,nan,,,nan
PAIR_CB90BC9CC5F8,CAND_051BE6E2BBDDAF1A,CAND_BB94C4493FBE5563,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_9,torus,1.0,3.0,per_thread_beta,thread_focusing,1.0,3,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-8.360467760123969e-05,4.411783222821807e-05,-0.00012772250982945777,0.5,0.5,0.0006699703334102913,-0.00033617651651635084,nan,nan,,,nan
PAIR_BE78FCCC170D,CAND_7B19BB6EC95F0306,CAND_41EEFBD122BCA25A,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_3,torus,0.5,0.5,per_thread_beta,thread_focusing,1.0,1,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,1.1164232219239401e-05,4.657622883847584e-05,-3.541199661923644e-05,0.5,0.5,0.053630609309186235,0.05497412389936205,nan,nan,,,nan
PAIR_CE8129B8F0EE,CAND_CDB977EFF103918B,CAND_91E032250DA71278,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_7,torus,0.5,1.5,per_thread_beta,thread_focusing,1.0,3,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,2.042812805327107e-05,4.801241290507948e-05,-2.758428485180841e-05,0.5,0.5,0.057713641978218204,0.03053976772900402,nan,nan,,,nan
PAIR_A699D65084F9,CAND_1AA4676EB9EE8DDD,CAND_8C3366DE3746B306,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TRIPLE_GEAR_T3_3,triple_gear,0.5,0.5,per_thread_beta,thread_focusing,1.0,1,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,0.00010428790214693964,0.00013853338538022842,-3.4245483233288774e-05,0.5,0.5,7.058569865715791e-05,6.725102701621993e-05,nan,nan,,,nan
PAIR_26E457CABEAF,CAND_8DD926165DC69EDA,CAND_52BB533951FF3366,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_3,torus,0.5,1.5,per_thread_beta,thread_focusing,1.0,3,1.0,unscored,nan,dynamics_only,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,2.0648397713272485e-05,5.241083661722216e-05,-3.176243890394968e-05,0.5,0.5,0.04307940853709063,0.05497412389936205,nan,nan,,,nan
