pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns,campaign_role
PAIR_25FCFDDAB56C,TORUS_T2_3,torus,CAND_8229BDEBF100C857,CAND_7993202BCA544B6E,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_B26B451CF060,TORUS_T2_3,torus,CAND_8229BDEBF100C857,CAND_DA6D4C662DB71A8A,-0.5,-0.5,total_beta,1.0,3,1.0,general
PAIR_BEE8C1C79C0B,TORUS_T2_3,torus,CAND_8229BDEBF100C857,CAND_841FC6E0EF2D2F97,0.5,0.5,total_beta,1.0,3,1.0,general
PAIR_497E928965CA,TORUS_T2_3,torus,CAND_8229BDEBF100C857,CAND_1FC3A320AAC2EA78,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_EBD6ED587FBC,TORUS_T2_5,torus,CAND_7E878EC0B29CEA20,CAND_495FBE4318540DA4,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_E013C193F47F,TORUS_T2_5,torus,CAND_7E878EC0B29CEA20,CAND_E52CED020BB3465F,-0.5,-0.5,total_beta,1.0,3,1.0,general
PAIR_82E81DFB6BEF,TORUS_T2_5,torus,CAND_7E878EC0B29CEA20,CAND_FF88D8FA28DE4F76,0.5,0.5,total_beta,1.0,3,1.0,general
PAIR_8716560CEDF5,TORUS_T2_5,torus,CAND_7E878EC0B29CEA20,CAND_D1A633A2377759A0,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_78DEB50FE6C5,TORUS_T2_7,torus,CAND_0F779034B9E34B07,CAND_855850D94A07CE60,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_FBBE11402160,TORUS_T2_7,torus,CAND_0F779034B9E34B07,CAND_24691C49298E420C,-0.5,-0.5,total_beta,1.0,3,1.0,general
PAIR_B2934D7DD580,TORUS_T2_7,torus,CAND_0F779034B9E34B07,CAND_DB0CDB28BFAB9202,0.5,0.5,total_beta,1.0,3,1.0,general
PAIR_5F3E3D272097,TORUS_T2_7,torus,CAND_0F779034B9E34B07,CAND_4491E511C6F3A474,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_11B0DBC01551,TORUS_T2_9,torus,CAND_8F36CC069ADC4915,CAND_011A8BF7F37093FF,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_4A41FBA41B40,TORUS_T2_9,torus,CAND_8F36CC069ADC4915,CAND_935A70184B0610D6,-0.5,-0.5,total_beta,1.0,3,1.0,general
PAIR_7D15ED59B8AB,TORUS_T2_9,torus,CAND_8F36CC069ADC4915,CAND_ECC8BF61822B5B4E,0.5,0.5,total_beta,1.0,3,1.0,general
PAIR_81ACE1977CE3,TORUS_T2_9,torus,CAND_8F36CC069ADC4915,CAND_877F5FE61180E8EC,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_D19D30582AD0,TWIST_4_1,twist,CAND_28C16B860A16874D,CAND_0D69ED34C9DDB45B,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_54CA4AE08332,TWIST_4_1,twist,CAND_28C16B860A16874D,CAND_70A4919685820B58,-0.5,-0.5,total_beta,1.0,3,1.0,general
PAIR_4A527DBED2A5,TWIST_4_1,twist,CAND_28C16B860A16874D,CAND_694C235BF7983309,0.5,0.5,total_beta,1.0,3,1.0,general
PAIR_97A6BFF38DA3,TWIST_4_1,twist,CAND_28C16B860A16874D,CAND_DA2AEEF7750E9965,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_25BABD4508F6,TWIST_5_2,twist,CAND_2E590C6756123292,CAND_AEFC570D6A1783B0,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_49AD02801BE2,TWIST_5_2,twist,CAND_2E590C6756123292,CAND_E3DF05B98E1E62E8,-0.5,-0.5,total_beta,1.0,3,1.0,general
PAIR_957B1C3305E3,TWIST_5_2,twist,CAND_2E590C6756123292,CAND_387E7EA3EB2D458F,0.5,0.5,total_beta,1.0,3,1.0,general
PAIR_DA094C7044D2,TWIST_5_2,twist,CAND_2E590C6756123292,CAND_5611AA61DE36D664,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_B58AE89676A2,TWIST_7_2,twist,CAND_70FCB8975DCE72D7,CAND_2B9C7E6AE89427F3,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_40D0A4229D6C,TWIST_7_2,twist,CAND_70FCB8975DCE72D7,CAND_E457AE350DC73175,-0.5,-0.5,total_beta,1.0,3,1.0,general
PAIR_AA8A2BA45530,TWIST_7_2,twist,CAND_70FCB8975DCE72D7,CAND_87E9F5B007C148F5,0.5,0.5,total_beta,1.0,3,1.0,general
PAIR_CD7A721CC846,TWIST_7_2,twist,CAND_70FCB8975DCE72D7,CAND_9CCB5A980B2DCC97,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_681C265A4E2A,TRIPLE_GEAR_T3_3,triple_gear,CAND_1673FE611BF594F5,CAND_39EAE584328A5AA6,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_67DFCB671B21,TRIPLE_GEAR_T3_3,triple_gear,CAND_1673FE611BF594F5,CAND_163692BF43E442CF,-0.5,-0.5,total_beta,1.0,3,1.0,general
PAIR_6928563E406C,TRIPLE_GEAR_T3_3,triple_gear,CAND_1673FE611BF594F5,CAND_24717867475A6171,0.5,0.5,total_beta,1.0,3,1.0,general
PAIR_568AA9934B95,TRIPLE_GEAR_T3_3,triple_gear,CAND_1673FE611BF594F5,CAND_4BDF4BD0AA1848AD,1.0,1.0,total_beta,1.0,3,1.0,general
