pair_id,candidate_a,geometry_a,candidate_b,geometry_b
PAIR_648EED9EFC32,CAND_836A2E9808E604D2,geometry/CAND_836A2E9808E604D2.npz,CAND_D3E3402F57FA71BF,geometry/CAND_D3E3402F57FA71BF.npz
PAIR_F5BB94794F77,CAND_BE4E4D75941BC096,geometry/CAND_BE4E4D75941BC096.npz,CAND_E3ABD5E6BD105099,geometry/CAND_E3ABD5E6BD105099.npz
PAIR_1B64E277606B,CAND_B5462F4EEECD3E2B,geometry/CAND_B5462F4EEECD3E2B.npz,CAND_0F4035F25A58D146,geometry/CAND_0F4035F25A58D146.npz
PAIR_C71464ED2F94,CAND_57163FE689D478E1,geometry/CAND_57163FE689D478E1.npz,CAND_1285D70311DC249A,geometry/CAND_1285D70311DC249A.npz
PAIR_3FCEDD1C6844,CAND_5EEC9384AA347174,geometry/CAND_5EEC9384AA347174.npz,CAND_836A2E9808E604D2,geometry/CAND_836A2E9808E604D2.npz
PAIR_925202CA9FB3,CAND_DDCD4A1A9F23A05F,geometry/CAND_DDCD4A1A9F23A05F.npz,CAND_E0ADEEECBF146B5B,geometry/CAND_E0ADEEECBF146B5B.npz
PAIR_2AD271BC7AED,CAND_57163FE689D478E1,geometry/CAND_57163FE689D478E1.npz,CAND_7534421BEDCB640B,geometry/CAND_7534421BEDCB640B.npz
PAIR_5F8A7B2EBB41,CAND_A1EBED8EAF03D739,geometry/CAND_A1EBED8EAF03D739.npz,CAND_11C94F5078D708D6,geometry/CAND_11C94F5078D708D6.npz
PAIR_9E29F53EE33B,CAND_85AA49C3F641E959,geometry/CAND_85AA49C3F641E959.npz,CAND_E3ABD5E6BD105099,geometry/CAND_E3ABD5E6BD105099.npz
PAIR_83B023E25CB9,CAND_BD5995FFE7747D01,geometry/CAND_BD5995FFE7747D01.npz,CAND_B5462F4EEECD3E2B,geometry/CAND_B5462F4EEECD3E2B.npz
PAIR_B50CC942C057,CAND_DDCD4A1A9F23A05F,geometry/CAND_DDCD4A1A9F23A05F.npz,CAND_1335DF396F74D09A,geometry/CAND_1335DF396F74D09A.npz
PAIR_A93153BD7AAD,CAND_A1EBED8EAF03D739,geometry/CAND_A1EBED8EAF03D739.npz,CAND_92DA638BC8566590,geometry/CAND_92DA638BC8566590.npz
