pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns,campaign_role
PAIR_A93153BD7AAD,TORUS_T2_3,torus,CAND_A1EBED8EAF03D739,CAND_92DA638BC8566590,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_5F8A7B2EBB41,TORUS_T2_3,torus,CAND_A1EBED8EAF03D739,CAND_11C94F5078D708D6,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_648EED9EFC32,TORUS_T2_7,torus,CAND_836A2E9808E604D2,CAND_D3E3402F57FA71BF,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_3FCEDD1C6844,TORUS_T2_7,torus,CAND_836A2E9808E604D2,CAND_5EEC9384AA347174,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_B50CC942C057,TWIST_4_1,twist,CAND_DDCD4A1A9F23A05F,CAND_1335DF396F74D09A,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_925202CA9FB3,TWIST_4_1,twist,CAND_DDCD4A1A9F23A05F,CAND_E0ADEEECBF146B5B,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_C71464ED2F94,TWIST_5_2,twist,CAND_57163FE689D478E1,CAND_1285D70311DC249A,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_2AD271BC7AED,TWIST_5_2,twist,CAND_57163FE689D478E1,CAND_7534421BEDCB640B,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_83B023E25CB9,TWIST_7_2,twist,CAND_B5462F4EEECD3E2B,CAND_BD5995FFE7747D01,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_1B64E277606B,TWIST_7_2,twist,CAND_B5462F4EEECD3E2B,CAND_0F4035F25A58D146,1.0,1.0,total_beta,1.0,3,1.0,general
PAIR_F5BB94794F77,TRIPLE_GEAR_T3_3,triple_gear,CAND_E3ABD5E6BD105099,CAND_BE4E4D75941BC096,-1.0,-1.0,total_beta,1.0,3,1.0,general
PAIR_9E29F53EE33B,TRIPLE_GEAR_T3_3,triple_gear,CAND_E3ABD5E6BD105099,CAND_85AA49C3F641E959,1.0,1.0,total_beta,1.0,3,1.0,general
