candidate_id,carrier_id,family,source,source_qualified,condition,gamma_core,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,n_threads,helix_turns,thread_gamma_each,hole_clearance,combined_initial_gap_core,carrier_self_gap_core,bundle_radius,thread_density_proxy,link_matrix_json
CAND_7552923B8EBB74C9,TORUS_T2_3,torus,"analytic T(2,q)",True,null,0.75,0.0,0.0,total_beta,3,0.5,0.0,0.6702904680841157,4.943048731986946,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016562879109783, 2.0016563054485683, 2.001656302727185]]"
CAND_51604B4FE7E29841,TORUS_T2_3,torus,"analytic T(2,q)",True,active,0.75,-1.5,-1.5,total_beta,3,0.5,-0.375,0.6702904680841157,4.943048731986946,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016562879109783, 2.0016563054485683, 2.001656302727185]]"
CAND_95623807FD9C4AD2,TORUS_T2_3,torus,"analytic T(2,q)",True,active,0.75,-0.75,-0.75,total_beta,3,0.5,-0.1875,0.6702904680841157,4.943048731986946,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016562879109783, 2.0016563054485683, 2.001656302727185]]"
CAND_8A3488410D627CE5,TORUS_T2_3,torus,"analytic T(2,q)",True,active,0.75,0.75,0.75,total_beta,3,0.5,0.1875,0.6702904680841157,4.943048731986946,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016562879109783, 2.0016563054485683, 2.001656302727185]]"
CAND_5F18D389B2B1325A,TORUS_T2_3,torus,"analytic T(2,q)",True,active,0.75,1.5,1.5,total_beta,3,0.5,0.375,0.6702904680841157,4.943048731986946,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016562879109783, 2.0016563054485683, 2.001656302727185]]"
CAND_CCA669A294598FDF,TORUS_T2_3,torus,"analytic T(2,q)",True,null,1.0,0.0,0.0,total_beta,3,0.5,0.0,0.6702904680841157,4.943048731986946,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016562879109783, 2.0016563054485683, 2.001656302727185]]"
CAND_1B4C97FAE2E81FDD,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.0,-1.5,-1.5,total_beta,3,0.5,-0.5,0.6702904680841157,4.943048731986946,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016562879109783, 2.0016563054485683, 2.001656302727185]]"
CAND_C9F6BA5658931C06,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.0,-0.75,-0.75,total_beta,3,0.5,-0.25,0.6702904680841157,4.943048731986946,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016562879109783, 2.0016563054485683, 2.001656302727185]]"
CAND_9F0B5AF2EEE6C2C7,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.0,0.75,0.75,total_beta,3,0.5,0.25,0.6702904680841157,4.943048731986946,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016562879109783, 2.0016563054485683, 2.001656302727185]]"
CAND_D23CB08871DC7CAF,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.0,1.5,1.5,total_beta,3,0.5,0.5,0.6702904680841157,4.943048731986946,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016562879109783, 2.0016563054485683, 2.001656302727185]]"
