pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns,campaign_role
PAIR_78B9FBD541D9,TORUS_T2_3,torus,CAND_7552923B8EBB74C9,CAND_51604B4FE7E29841,-1.5,-1.5,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_3192E1832F7C,TORUS_T2_3,torus,CAND_7552923B8EBB74C9,CAND_95623807FD9C4AD2,-0.75,-0.75,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_535C3ACACD15,TORUS_T2_3,torus,CAND_7552923B8EBB74C9,CAND_8A3488410D627CE5,0.75,0.75,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_86DA2AE8079F,TORUS_T2_3,torus,CAND_7552923B8EBB74C9,CAND_5F18D389B2B1325A,1.5,1.5,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_921E11AC1095,TORUS_T2_3,torus,CAND_CCA669A294598FDF,CAND_1B4C97FAE2E81FDD,-1.5,-1.5,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_2009717CFB75,TORUS_T2_3,torus,CAND_CCA669A294598FDF,CAND_C9F6BA5658931C06,-0.75,-0.75,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_45043D81E2F6,TORUS_T2_3,torus,CAND_CCA669A294598FDF,CAND_9F0B5AF2EEE6C2C7,0.75,0.75,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_C9BE55528A8F,TORUS_T2_3,torus,CAND_CCA669A294598FDF,CAND_D23CB08871DC7CAF,1.5,1.5,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_7573E01B940E,TORUS_T2_3,torus,CAND_B75DF682829A6895,CAND_884BBFFB88BE70BC,-1.5,-1.5,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_995250F5FA33,TORUS_T2_3,torus,CAND_B75DF682829A6895,CAND_3E5B1413430F6C77,-0.75,-0.75,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_BBEA630E082B,TORUS_T2_3,torus,CAND_B75DF682829A6895,CAND_36CFC4C0DF7B0B69,0.75,0.75,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_DF1DDD062F9D,TORUS_T2_3,torus,CAND_B75DF682829A6895,CAND_0DB9C83ECF0C7C16,1.5,1.5,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_4C9A245AB1DA,TORUS_T2_3,torus,CAND_F6E8957DDE65D6DE,CAND_DCD3A58B7F1FB933,-1.5,-1.5,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_9417C7BB3278,TORUS_T2_3,torus,CAND_F6E8957DDE65D6DE,CAND_196896874841BEE0,-0.75,-0.75,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_DB0A0507BC07,TORUS_T2_3,torus,CAND_F6E8957DDE65D6DE,CAND_EC6F6C3AA72ECC6F,0.75,0.75,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_A72E0235CC13,TORUS_T2_3,torus,CAND_F6E8957DDE65D6DE,CAND_B56A43899EFB192E,1.5,1.5,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_326F8B92BD06,TORUS_T2_3,torus,CAND_965221E779D42B6B,CAND_A00D79A662771895,-1.5,-1.5,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_8AFCCD397E0F,TORUS_T2_3,torus,CAND_965221E779D42B6B,CAND_62B14E30874C13CF,-0.75,-0.75,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_3A469E279DBD,TORUS_T2_3,torus,CAND_965221E779D42B6B,CAND_2C4464993F89D28F,0.75,0.75,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_BD5C24A88F37,TORUS_T2_3,torus,CAND_965221E779D42B6B,CAND_F5D91600F6F310B8,1.5,1.5,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_316952529938,TORUS_T2_3,torus,CAND_981900FD4DF384E1,CAND_3C7525C617A58B33,-1.5,-1.5,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_CC79F92DEAE2,TORUS_T2_3,torus,CAND_981900FD4DF384E1,CAND_35D80751086ED5A5,-0.75,-0.75,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_BB8DAC94AC17,TORUS_T2_3,torus,CAND_981900FD4DF384E1,CAND_288E26A7C964A135,0.75,0.75,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_E036403D1216,TORUS_T2_3,torus,CAND_981900FD4DF384E1,CAND_92767399D9798751,1.5,1.5,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_7FDC7CDB6400,TORUS_T2_5,torus,CAND_CC150C61A30F0418,CAND_C920DD88DA801DEB,-1.5,-1.5,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_3DB1D3E0A026,TORUS_T2_5,torus,CAND_CC150C61A30F0418,CAND_7B182D2E943A627D,-0.75,-0.75,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_43D267BA64E0,TORUS_T2_5,torus,CAND_CC150C61A30F0418,CAND_DB1743F65E0D3FE4,0.75,0.75,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_24C4EAFE3A84,TORUS_T2_5,torus,CAND_CC150C61A30F0418,CAND_77F359A67060E722,1.5,1.5,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_225C2184DB9A,TORUS_T2_5,torus,CAND_49CDC3A375E64913,CAND_2B0D28B642F5EEC7,-1.5,-1.5,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_975EA316E3CC,TORUS_T2_5,torus,CAND_49CDC3A375E64913,CAND_EF6A6F61EEA2A243,-0.75,-0.75,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_DFB6B3C3BD18,TORUS_T2_5,torus,CAND_49CDC3A375E64913,CAND_271A0240C2F198BE,0.75,0.75,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_A3936A8CAB72,TORUS_T2_5,torus,CAND_49CDC3A375E64913,CAND_BC09E02A0DF4731E,1.5,1.5,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_3B8AEB10B767,TORUS_T2_5,torus,CAND_0BCF6DE16F5C8265,CAND_3A0941CECCB776B7,-1.5,-1.5,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_04DDC99BFC42,TORUS_T2_5,torus,CAND_0BCF6DE16F5C8265,CAND_DB36CB01066F3E01,-0.75,-0.75,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_B9D653E0D7FD,TORUS_T2_5,torus,CAND_0BCF6DE16F5C8265,CAND_8BD24EB4C8A57D4E,0.75,0.75,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_337A5D35ADB3,TORUS_T2_5,torus,CAND_0BCF6DE16F5C8265,CAND_6D65364233FB2DFA,1.5,1.5,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_50D18E524237,TORUS_T2_5,torus,CAND_4852CC8B35E59520,CAND_06829EF998DA5664,-1.5,-1.5,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_C12648A6702B,TORUS_T2_5,torus,CAND_4852CC8B35E59520,CAND_39983F2D5912420E,-0.75,-0.75,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_EC18B1EF1611,TORUS_T2_5,torus,CAND_4852CC8B35E59520,CAND_870EECBBABE1F497,0.75,0.75,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_2F9BCC55082A,TORUS_T2_5,torus,CAND_4852CC8B35E59520,CAND_1A5880BE5F5F4AAD,1.5,1.5,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_1F70BEE01B60,TORUS_T2_5,torus,CAND_7E9F7DFDDCDDEBD2,CAND_801DB9880B783A83,-1.5,-1.5,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_F2F9CA282D85,TORUS_T2_5,torus,CAND_7E9F7DFDDCDDEBD2,CAND_6FE8B3E69D455854,-0.75,-0.75,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_8638EDF813AB,TORUS_T2_5,torus,CAND_7E9F7DFDDCDDEBD2,CAND_614EA27138E177F3,0.75,0.75,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_42AF16A11D5C,TORUS_T2_5,torus,CAND_7E9F7DFDDCDDEBD2,CAND_F66B4E3C6BB6FFE8,1.5,1.5,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_CD77AE4AC921,TORUS_T2_5,torus,CAND_E4F4B6EC5B7D3E66,CAND_02086691B7169D13,-1.5,-1.5,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_18E56EC2979E,TORUS_T2_5,torus,CAND_E4F4B6EC5B7D3E66,CAND_847B4C2DDE7EFEFA,-0.75,-0.75,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_F2ECBC22FDA4,TORUS_T2_5,torus,CAND_E4F4B6EC5B7D3E66,CAND_860ACF779C0F57A9,0.75,0.75,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_B74CD2740170,TORUS_T2_5,torus,CAND_E4F4B6EC5B7D3E66,CAND_D083568B619FDD54,1.5,1.5,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_C3C3DAE239EC,TORUS_T2_7,torus,CAND_1A2A1EF5ACA8DF51,CAND_6A61D5C2EDF422C8,-1.5,-1.5,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_EC4FF2F0D2C7,TORUS_T2_7,torus,CAND_1A2A1EF5ACA8DF51,CAND_71D1F0DDA0793020,-0.75,-0.75,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_B4A1F333C07E,TORUS_T2_7,torus,CAND_1A2A1EF5ACA8DF51,CAND_4C0EEFE5E3595237,0.75,0.75,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_7E5A72C546C8,TORUS_T2_7,torus,CAND_1A2A1EF5ACA8DF51,CAND_DF0849D2975D9890,1.5,1.5,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_A64D1EDE9574,TORUS_T2_7,torus,CAND_F4B9971CF4962A04,CAND_C0E58FB4333ABA37,-1.5,-1.5,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_2702CA0E71D7,TORUS_T2_7,torus,CAND_F4B9971CF4962A04,CAND_7ADFDC754759F9DD,-0.75,-0.75,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_547D3301C751,TORUS_T2_7,torus,CAND_F4B9971CF4962A04,CAND_BE1F3BAD5E95587D,0.75,0.75,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_B3C011C06717,TORUS_T2_7,torus,CAND_F4B9971CF4962A04,CAND_7EEE8F7E813CA4EC,1.5,1.5,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_3E043C356C85,TORUS_T2_7,torus,CAND_E2E89530720CA452,CAND_EC726A2D12785BC6,-1.5,-1.5,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_7086C0476CA5,TORUS_T2_7,torus,CAND_E2E89530720CA452,CAND_05D66BEC271362A4,-0.75,-0.75,total_beta,1.5,3,0.5,kelvin_hole_extended
