pair_id,candidate_a,geometry_a,candidate_b,geometry_b
PAIR_E59AD3E194D9,CAND_C579B5FBEA43C9F3,geometry/CAND_C579B5FBEA43C9F3.npz,CAND_0461E601D395DD0D,geometry/CAND_0461E601D395DD0D.npz
PAIR_85E09C34F3BC,CAND_A16B7D33241883EB,geometry/CAND_A16B7D33241883EB.npz,CAND_42FBD6BFB95A0F6A,geometry/CAND_42FBD6BFB95A0F6A.npz
PAIR_206ED1BAE707,CAND_792845F747228630,geometry/CAND_792845F747228630.npz,CAND_42FBD6BFB95A0F6A,geometry/CAND_42FBD6BFB95A0F6A.npz
PAIR_58D51E743CFC,CAND_CF47F127AA64D9CF,geometry/CAND_CF47F127AA64D9CF.npz,CAND_862652F52C9BB9AA,geometry/CAND_862652F52C9BB9AA.npz
PAIR_002DC4363C90,CAND_528A38917B809D89,geometry/CAND_528A38917B809D89.npz,CAND_E5D4767019C6B13F,geometry/CAND_E5D4767019C6B13F.npz
PAIR_5EAF704A93C4,CAND_D6C98366A6145802,geometry/CAND_D6C98366A6145802.npz,CAND_228F8F5DD7D46AD7,geometry/CAND_228F8F5DD7D46AD7.npz
PAIR_C6195976A31F,CAND_8A5D3F88CDFE47A5,geometry/CAND_8A5D3F88CDFE47A5.npz,CAND_A840D0D0AC80CA6B,geometry/CAND_A840D0D0AC80CA6B.npz
PAIR_71BF1DDF135A,CAND_370DD0D9EE7E6EDC,geometry/CAND_370DD0D9EE7E6EDC.npz,CAND_63BA25B60735C306,geometry/CAND_63BA25B60735C306.npz
PAIR_349426509CE7,CAND_D7FDE89FB231EE27,geometry/CAND_D7FDE89FB231EE27.npz,CAND_370DD0D9EE7E6EDC,geometry/CAND_370DD0D9EE7E6EDC.npz
PAIR_51B2B54ACFC9,CAND_EA1C47987B516A07,geometry/CAND_EA1C47987B516A07.npz,CAND_42FBD6BFB95A0F6A,geometry/CAND_42FBD6BFB95A0F6A.npz
PAIR_5A74E7902A0D,CAND_370DD0D9EE7E6EDC,geometry/CAND_370DD0D9EE7E6EDC.npz,CAND_8F9C0319CB5C0122,geometry/CAND_8F9C0319CB5C0122.npz
PAIR_1AC419872FF4,CAND_A840D0D0AC80CA6B,geometry/CAND_A840D0D0AC80CA6B.npz,CAND_52427393658052EF,geometry/CAND_52427393658052EF.npz
PAIR_77A8C09F4488,CAND_7E2AD1A2FEF7032B,geometry/CAND_7E2AD1A2FEF7032B.npz,CAND_528A38917B809D89,geometry/CAND_528A38917B809D89.npz
PAIR_7041F0A625EE,CAND_A840D0D0AC80CA6B,geometry/CAND_A840D0D0AC80CA6B.npz,CAND_94BDE746A24F96EC,geometry/CAND_94BDE746A24F96EC.npz
PAIR_C486BD426D4F,CAND_D6C98366A6145802,geometry/CAND_D6C98366A6145802.npz,CAND_29486AD6F5A01A61,geometry/CAND_29486AD6F5A01A61.npz
PAIR_9623235C3C47,CAND_71AFE438ECB73A5B,geometry/CAND_71AFE438ECB73A5B.npz,CAND_CF47F127AA64D9CF,geometry/CAND_CF47F127AA64D9CF.npz
PAIR_820B11ED798C,CAND_A840D0D0AC80CA6B,geometry/CAND_A840D0D0AC80CA6B.npz,CAND_EFA73A73E3A1AEE6,geometry/CAND_EFA73A73E3A1AEE6.npz
PAIR_D42DCE095471,CAND_D6C98366A6145802,geometry/CAND_D6C98366A6145802.npz,CAND_0693BF49BF6614CC,geometry/CAND_0693BF49BF6614CC.npz
PAIR_7C25E6CCE5D0,CAND_C579B5FBEA43C9F3,geometry/CAND_C579B5FBEA43C9F3.npz,CAND_282CD8C7FBC53FF4,geometry/CAND_282CD8C7FBC53FF4.npz
PAIR_DE7BA0FB2E6F,CAND_DADDC9F39374ADC6,geometry/CAND_DADDC9F39374ADC6.npz,CAND_3EEFA609D4B2232A,geometry/CAND_3EEFA609D4B2232A.npz
PAIR_A2374D9E5E1A,CAND_42D3E402C66ED136,geometry/CAND_42D3E402C66ED136.npz,CAND_CF47F127AA64D9CF,geometry/CAND_CF47F127AA64D9CF.npz
PAIR_932BA1BC040E,CAND_1933CC66A01FE691,geometry/CAND_1933CC66A01FE691.npz,CAND_C579B5FBEA43C9F3,geometry/CAND_C579B5FBEA43C9F3.npz
PAIR_5873CDB5E3D6,CAND_E004CEEB1B64E396,geometry/CAND_E004CEEB1B64E396.npz,CAND_A840D0D0AC80CA6B,geometry/CAND_A840D0D0AC80CA6B.npz
PAIR_55C7D8B01658,CAND_F4DE351043CFB6E4,geometry/CAND_F4DE351043CFB6E4.npz,CAND_C579B5FBEA43C9F3,geometry/CAND_C579B5FBEA43C9F3.npz
PAIR_75007A6F4F6B,CAND_8F48C6D738BB0C83,geometry/CAND_8F48C6D738BB0C83.npz,CAND_42FBD6BFB95A0F6A,geometry/CAND_42FBD6BFB95A0F6A.npz
PAIR_ED6585C3F3F1,CAND_E0E1B4D0FD84FEAE,geometry/CAND_E0E1B4D0FD84FEAE.npz,CAND_42FBD6BFB95A0F6A,geometry/CAND_42FBD6BFB95A0F6A.npz
PAIR_6E598E267CAE,CAND_541114E7BB10718B,geometry/CAND_541114E7BB10718B.npz,CAND_528A38917B809D89,geometry/CAND_528A38917B809D89.npz
PAIR_AE01A1CAEC97,CAND_DADDC9F39374ADC6,geometry/CAND_DADDC9F39374ADC6.npz,CAND_E8CE734B60D31E20,geometry/CAND_E8CE734B60D31E20.npz
PAIR_84D62EDE2500,CAND_2E30CD68A7B407FD,geometry/CAND_2E30CD68A7B407FD.npz,CAND_42FBD6BFB95A0F6A,geometry/CAND_42FBD6BFB95A0F6A.npz
PAIR_2FA4B58B0452,CAND_528A38917B809D89,geometry/CAND_528A38917B809D89.npz,CAND_A5D7E63C4BC41835,geometry/CAND_A5D7E63C4BC41835.npz
PAIR_16698021413B,CAND_9425F0B43491A54B,geometry/CAND_9425F0B43491A54B.npz,CAND_370DD0D9EE7E6EDC,geometry/CAND_370DD0D9EE7E6EDC.npz
PAIR_306D7BC1C8E1,CAND_83780D88F31558F1,geometry/CAND_83780D88F31558F1.npz,CAND_DADDC9F39374ADC6,geometry/CAND_DADDC9F39374ADC6.npz
PAIR_3532476D002B,CAND_C579B5FBEA43C9F3,geometry/CAND_C579B5FBEA43C9F3.npz,CAND_FB38F20F122BE4DC,geometry/CAND_FB38F20F122BE4DC.npz
PAIR_6139C2AB7E02,CAND_9ACFDF7C3BDBA92B,geometry/CAND_9ACFDF7C3BDBA92B.npz,CAND_CF47F127AA64D9CF,geometry/CAND_CF47F127AA64D9CF.npz
PAIR_0A47704A1763,CAND_44E9417BD7AD5C73,geometry/CAND_44E9417BD7AD5C73.npz,CAND_D6C98366A6145802,geometry/CAND_D6C98366A6145802.npz
PAIR_71FA81550812,CAND_1CAF4E64BDE0CFD6,geometry/CAND_1CAF4E64BDE0CFD6.npz,CAND_528A38917B809D89,geometry/CAND_528A38917B809D89.npz
