pair_id,candidate_a,geometry_a,candidate_b,geometry_b
PAIR_7FBD7728750C,CAND_3D0FACD4C5ADFA6E,geometry/CAND_3D0FACD4C5ADFA6E.npz,CAND_BFEEB3F3C61F3443,geometry/CAND_BFEEB3F3C61F3443.npz
PAIR_D5BB14C8183E,CAND_6007B106103EB1C7,geometry/CAND_6007B106103EB1C7.npz,CAND_DA0634D0A608E666,geometry/CAND_DA0634D0A608E666.npz
PAIR_17B2F5EFC276,CAND_91B833F5F3EDEDA3,geometry/CAND_91B833F5F3EDEDA3.npz,CAND_33F74248936B9C13,geometry/CAND_33F74248936B9C13.npz
PAIR_CD85D745A777,CAND_12670DFF5E54F741,geometry/CAND_12670DFF5E54F741.npz,CAND_AC85B18C24FC2A82,geometry/CAND_AC85B18C24FC2A82.npz
PAIR_A37AF0515101,CAND_CF881D8A3E0FBE76,geometry/CAND_CF881D8A3E0FBE76.npz,CAND_B0F374CFD48F420A,geometry/CAND_B0F374CFD48F420A.npz
PAIR_93DD3CF4EEDD,CAND_A77FF6D1190CF9BD,geometry/CAND_A77FF6D1190CF9BD.npz,CAND_C7390FA7DC0FCEDB,geometry/CAND_C7390FA7DC0FCEDB.npz
PAIR_4981A72CB7B8,CAND_15083B0CB48A7378,geometry/CAND_15083B0CB48A7378.npz,CAND_F5E5B6D2027445C8,geometry/CAND_F5E5B6D2027445C8.npz
PAIR_44F8916B2456,CAND_B7F33E15F88947AD,geometry/CAND_B7F33E15F88947AD.npz,CAND_8CAC9B0D3106DDA7,geometry/CAND_8CAC9B0D3106DDA7.npz
PAIR_593A678DC7CE,CAND_6A9BA07578F553E9,geometry/CAND_6A9BA07578F553E9.npz,CAND_917164727307A711,geometry/CAND_917164727307A711.npz
PAIR_9921D7227AAD,CAND_9CF7440F55268ABD,geometry/CAND_9CF7440F55268ABD.npz,CAND_8B0BDD3262C156DB,geometry/CAND_8B0BDD3262C156DB.npz
PAIR_0F0835F63CC3,CAND_628968018D4B5C81,geometry/CAND_628968018D4B5C81.npz,CAND_4F9E18C47FA9B004,geometry/CAND_4F9E18C47FA9B004.npz
PAIR_0F67EEA43968,CAND_EF198A742FC885B8,geometry/CAND_EF198A742FC885B8.npz,CAND_AFD885C586E70194,geometry/CAND_AFD885C586E70194.npz
