pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns,campaign_role
PAIR_EEBFA3F7FFA3,TORUS_T2_3,torus,CAND_0FF0FF99E7AE3E1C,CAND_CDACE193B209BC96,0.5,0.5,per_thread_beta,1.0,1,1.0,thread_focusing
PAIR_CB7A0C6F5040,TORUS_T2_3,torus,CAND_0FF0FF99E7AE3E1C,CAND_DF17D115133E1599,1.0,1.0,per_thread_beta,1.0,1,1.0,thread_focusing
PAIR_310015D5FCF3,TORUS_T2_3,torus,CAND_81EEB9BE7B9EE99F,CAND_E24FB38B21CEA66A,0.5,1.5,per_thread_beta,1.0,3,1.0,thread_focusing
PAIR_28FB4C6C2B4D,TORUS_T2_3,torus,CAND_81EEB9BE7B9EE99F,CAND_E647D1412731DDD4,1.0,3.0,per_thread_beta,1.0,3,1.0,thread_focusing
PAIR_4173D32A0A14,TORUS_T2_3,torus,CAND_C2EB8DD8FFD1A0EC,CAND_975D1FA6AF2E7421,0.5,2.5,per_thread_beta,1.0,5,1.0,thread_focusing
PAIR_844E0120166C,TORUS_T2_3,torus,CAND_C2EB8DD8FFD1A0EC,CAND_B1DB836CF1AE3C1C,1.0,5.0,per_thread_beta,1.0,5,1.0,thread_focusing
PAIR_46F1BB72C4B8,TORUS_T2_7,torus,CAND_64BF0AA2AEDCD79E,CAND_D35A4BE035A5FEF9,0.5,0.5,per_thread_beta,1.0,1,1.0,thread_focusing
PAIR_FECCF814BC33,TORUS_T2_7,torus,CAND_64BF0AA2AEDCD79E,CAND_4D98DECE79722D61,1.0,1.0,per_thread_beta,1.0,1,1.0,thread_focusing
PAIR_8B0517CBED7C,TORUS_T2_7,torus,CAND_6C9BDE75D508EB46,CAND_EA0F325E741508E7,0.5,1.5,per_thread_beta,1.0,3,1.0,thread_focusing
PAIR_15CEBF224343,TORUS_T2_7,torus,CAND_6C9BDE75D508EB46,CAND_D901F9353BF87397,1.0,3.0,per_thread_beta,1.0,3,1.0,thread_focusing
PAIR_1FCC72D5FFCF,TORUS_T2_7,torus,CAND_093E5F1D09F7D2C5,CAND_CE36003F3A22688D,0.5,2.5,per_thread_beta,1.0,5,1.0,thread_focusing
PAIR_F8C1657F331C,TORUS_T2_7,torus,CAND_093E5F1D09F7D2C5,CAND_AD949678E75EB36C,1.0,5.0,per_thread_beta,1.0,5,1.0,thread_focusing
PAIR_A34432967A63,TORUS_T2_9,torus,CAND_970E728A4B97745D,CAND_022094770D69628C,0.5,0.5,per_thread_beta,1.0,1,1.0,thread_focusing
PAIR_493A975A1BC1,TORUS_T2_9,torus,CAND_970E728A4B97745D,CAND_BC7D5B07EF1BA943,1.0,1.0,per_thread_beta,1.0,1,1.0,thread_focusing
PAIR_EF90EDCB9B21,TORUS_T2_9,torus,CAND_A4E0545F587B064C,CAND_85A1F3033AC57E6F,0.5,1.5,per_thread_beta,1.0,3,1.0,thread_focusing
PAIR_612EEAE0C5C9,TORUS_T2_9,torus,CAND_A4E0545F587B064C,CAND_9B70A65BA62299DE,1.0,3.0,per_thread_beta,1.0,3,1.0,thread_focusing
PAIR_A03B739C0D40,TORUS_T2_9,torus,CAND_6C6859594C5DAB32,CAND_8AD8475F9DCBB491,0.5,2.5,per_thread_beta,1.0,5,1.0,thread_focusing
PAIR_75B1A7BA5BCC,TORUS_T2_9,torus,CAND_6C6859594C5DAB32,CAND_6FCF573D87FDF5CF,1.0,5.0,per_thread_beta,1.0,5,1.0,thread_focusing
PAIR_A3D11CBCBF82,TRIPLE_GEAR_T3_3,triple_gear,CAND_98C1506EECA5EC60,CAND_E9DA31E49223ADBE,0.5,0.5,per_thread_beta,1.0,1,1.0,thread_focusing
PAIR_93DF0C8ACE11,TRIPLE_GEAR_T3_3,triple_gear,CAND_98C1506EECA5EC60,CAND_1CE67C8599D7BD7B,1.0,1.0,per_thread_beta,1.0,1,1.0,thread_focusing
PAIR_841AEA008475,TRIPLE_GEAR_T3_3,triple_gear,CAND_782105660EA09813,CAND_7DFBFDC51EC2E707,0.5,1.5,per_thread_beta,1.0,3,1.0,thread_focusing
PAIR_148AA85BED73,TRIPLE_GEAR_T3_3,triple_gear,CAND_782105660EA09813,CAND_E0A5B47A1CD74E73,1.0,3.0,per_thread_beta,1.0,3,1.0,thread_focusing
PAIR_4773BBCD813B,TRIPLE_GEAR_T3_3,triple_gear,CAND_D9C5EF161B64DE6C,CAND_15C0B6A9B06CE7D8,0.5,2.5,per_thread_beta,1.0,5,1.0,thread_focusing
PAIR_65703DE5BECC,TRIPLE_GEAR_T3_3,triple_gear,CAND_D9C5EF161B64DE6C,CAND_124953D4FDE0F3DC,1.0,5.0,per_thread_beta,1.0,5,1.0,thread_focusing
