direction,beta,beta2,axis_projection_sq,energy_J,delta_E_over_E0,shape_rel_error
x,0.0,0.0,0.0,2.796831789476269e-37,0.0,0.0
y,0.0,0.0,0.0,2.796831789476269e-37,0.0,0.0
z,0.0,0.0,0.0,2.796831789476269e-37,0.0,0.0
diag,0.0,0.0,0.0,2.796831789476269e-37,0.0,0.0
x,0.0005,2.5e-07,0.0,2.796831789476269e-37,0.0,5.028495951279103e-16
y,0.0005,2.5e-07,0.0,2.7968317894762696e-37,1.4931877116217577e-16,8.854687635516832e-17
z,0.0005,2.5e-07,2.5e-07,2.7968317894762696e-37,1.4931877116217577e-16,1.252241934472526e-16
diag,0.0005,2.5e-07,8.333333333333335e-08,2.7968317894762696e-37,1.4931877116217577e-16,2.6564062906550497e-16
x,0.001,1e-06,0.0,2.7968317894762696e-37,1.4931877116217577e-16,5.028495951279103e-16
y,0.001,1e-06,0.0,2.796831789476269e-37,0.0,8.854687635516832e-17
z,0.001,1e-06,1e-06,2.7968317894762696e-37,1.4931877116217577e-16,2.543315391887607e-16
diag,0.001,1e-06,3.333333333333334e-07,2.796831789476269e-37,0.0,7.474216604423132e-16
x,0.002,4e-06,0.0,2.7968317894762696e-37,1.4931877116217577e-16,8.854687635516832e-17
y,0.002,4e-06,0.0,2.7968317894762696e-37,1.4931877116217577e-16,7.138877399820894e-16
z,0.002,4e-06,4e-06,2.7968317894762696e-37,1.4931877116217577e-16,5.823261609743593e-16
diag,0.002,4e-06,1.3333333333333336e-06,2.796831789476269e-37,0.0,6.685142562419111e-16
x,0.00364867628,1.331283859623464e-05,0.0,2.7968317894762696e-37,1.4931877116217577e-16,1.979968347254252e-16
y,0.00364867628,1.331283859623464e-05,0.0,2.7968317894762696e-37,1.4931877116217577e-16,9.89984173627126e-17
z,0.00364867628,1.331283859623464e-05,1.331283859623464e-05,2.796831789476269e-37,0.0,7.565448432147264e-16
diag,0.00364867628,1.331283859623464e-05,4.437612865411548e-06,2.7968317894762696e-37,1.4931877116217577e-16,8.35349560837207e-16
