theme,zip,cls,eligible,reason,n_text,legacy,C,Q,AB,chain
Bridge,CASTLE-NWU-UNIPR-Eckvahl-Science2023-data.zip,A/B,False,no absolute dimensionful or action-scale observable found,8,0,0,0,0,0
Bridge,sst_bridge_test_outputs.zip,X,False,uses legacy reference normalization (2 hits) -> gate 1 fails,4,2,23,0,0,4
Bridge,sst_bridge_v0_3_results.zip,X,False,uses legacy reference normalization (2 hits) -> gate 1 fails,7,2,2,0,12,2
Bridge,sst_bridge_v0_4_spectral_epr_results.zip,X,False,uses legacy reference normalization (2 hits) -> gate 1 fails,10,2,3,0,10,12
Bridge,sst_bridge_v0_5_fusion_audit_results.zip,X,False,uses legacy reference normalization (2 hits) -> gate 1 fails,13,2,3,0,69,14
Bridge,sst_bridge_v0_6_timefield_audit_results.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,13,1,13,0,61,2
Canon,orthodox_vortex_articles_v5_1.zip,C,True,"absolute observable present (C=4, Q=0)",2,0,4,0,12,0
Canon,ovms_windows_2026.1.0_python_off.zip,A/B,False,no absolute dimensionful or action-scale observable found,75,0,0,0,19,6
Canon,sst_arc_whisper_asr_patch.zip,C,True,"absolute observable present (C=5, Q=0)",3,0,5,0,0,1
Canon,sst_arc_whisper_asr_patch_v2.zip,C,True,"absolute observable present (C=6, Q=0)",2,0,6,0,0,1
Canon,sst_arc_whisper_asr_patch_v3.zip,C,True,"absolute observable present (C=6, Q=0)",3,0,6,0,0,1
Canon,SST_CANON-v0.8.18_projected_swirl_vorticity_patch_tex.zip,X,False,uses legacy reference normalization (7 hits) -> gate 1 fails,3,7,273,1,331,596
Canon,SST_CANON-v0.8.19-rhoF-cosmological-impedance-package (1).zip,X,False,uses legacy reference normalization (7 hits) -> gate 1 fails,3,7,168,1,201,225
Canon,SST_CANON-v0.8.19-rhoF-cosmological-impedance-package.zip,X,False,uses legacy reference normalization (7 hits) -> gate 1 fails,3,7,168,1,201,225
Canon,SST_CANON-v0.8.19_architecture_patch_bundle (1).zip,X,False,uses legacy reference normalization (7 hits) -> gate 1 fails,4,7,287,1,345,613
Canon,SST_CANON-v0.8.19_architecture_patch_bundle.zip,X,False,uses legacy reference normalization (7 hits) -> gate 1 fails,4,7,287,1,345,613
Canon,SST_CANON-v0.8.19_claude_audit_cleanup_patch_tex.zip,X,False,uses legacy reference normalization (7 hits) -> gate 1 fails,4,7,288,1,352,633
Canon,SST_CANON-v0.8.20-cantarella-source-isolated-patches.zip,X,False,uses legacy reference normalization (16 hits) -> gate 1 fails,8,16,598,2,718,1269
Canon,SST_CANON-v0.8.20-eight-source-patch-series.zip,X,False,uses legacy reference normalization (16 hits) -> gate 1 fails,12,16,611,2,772,1279
Canon,SST_CANON-v0.8.23-release.zip,X,False,uses legacy reference normalization (8 hits) -> gate 1 fails,4,8,351,1,463,677
Canon,SST_CANON-v0.8.23-to-v0.8.24-patch-package.zip,X,False,uses legacy reference normalization (9 hits) -> gate 1 fails,9,9,350,1,506,717
Canon,SST_CANON-v0.8.25-clean-patch.zip,X,False,uses legacy reference normalization (8 hits) -> gate 1 fails,9,8,345,1,511,685
Canon,SST_Canon_Prompt_System.zip,A/B,False,no absolute dimensionful or action-scale observable found,7,0,0,0,0,0
Canon,SST_Canon_System_v2.zip,A/B,False,no absolute dimensionful or action-scale observable found,10,0,0,0,0,0
Canon,SST_CANON_v0.8.23_NotebookLM_Modular_15_Slide_Source_Packs_FULL.zip,C,True,"absolute observable present (C=98, Q=0)",36,0,98,0,52,13
chiE,sstcore_chiE_local_v3.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,17,1,12,0,10,37
chiE,sstcore_chiE_local_v4.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,17,1,14,0,11,37
chiE,sstcore_chiE_local_v5.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,17,1,21,0,11,37
chiE,sstcore_chiE_local_v6.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,30,1,41,0,21,44
chiE,sstcore_chiE_local_v7.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,37,1,45,0,25,71
chiE,sstcore_chiE_local_v7_merged.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,51,1,46,0,25,51
chiE,sstcore_chiE_local_v7a.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,94,1,61,0,37,88
chiE,sstcore_chiE_local_v8.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,113,1,106,0,39,110
ChiPhase,sst_chi_phase_all_versions_v1_to_v6.zip,X,False,uses legacy reference normalization (6 hits) -> gate 1 fails,65,6,61,0,191,243
ChiPhase,sst_chi_phase_package v1-6.zip,X,False,uses legacy reference normalization (6 hits) -> gate 1 fails,54,6,64,0,145,234
ChiPhase,sst_chi_phase_package.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,8,1,4,0,19,63
ChiPhase,sst_chi_phase_package__from_repo.zip,X,False,uses legacy reference normalization (2 hits) -> gate 1 fails,19,2,22,0,48,171
TrackB,sst_chi_phase_package_v10A0.zip,C,True,"absolute observable present (C=2, Q=0) [WARN: heavy calibrated-chain dependence]",13,0,2,0,12,37
TrackB,sst_chi_phase_package_v10B-v16B_patched (1).zip,X,False,uses legacy reference normalization (8 hits) -> gate 1 fails,107,8,429,2,717,1121
TrackB,sst_chi_phase_package_v10B-v16B_patched (2).zip,X,False,uses legacy reference normalization (8 hits) -> gate 1 fails,107,8,429,2,717,1121
TrackB,sst_chi_phase_package_v10B-v16B_patched.zip,X,False,uses legacy reference normalization (8 hits) -> gate 1 fails,107,8,429,2,717,1121
TrackB,sst_chi_phase_package_v10B0.zip,A/B,False,no absolute dimensionful or action-scale observable found,9,0,0,0,10,48
TrackB,sst_chi_phase_package_v10B1.zip,A/B,False,no absolute dimensionful or action-scale observable found,14,0,0,0,8,15
TrackB,sst_chi_phase_package_v11B0.zip,A/B,False,no absolute dimensionful or action-scale observable found,17,0,0,0,27,20
TrackB,sst_chi_phase_package_v12B0.zip,A/B,False,no absolute dimensionful or action-scale observable found,18,0,0,0,16,34
TrackB,sst_chi_phase_package_v13B0.zip,A/B,False,no absolute dimensionful or action-scale observable found,14,0,0,0,18,40
TrackB,sst_chi_phase_package_v14B0.zip,A/B,False,no absolute dimensionful or action-scale observable found,15,0,0,0,36,9
TrackB,sst_chi_phase_package_v15B0.zip,X,False,uses legacy reference normalization (8 hits) -> gate 1 fails,18,8,425,2,590,995
TrackB,sst_chi_phase_package_v16B0.zip,C,True,"absolute observable present (C=9, Q=0)",9,0,9,0,23,16
TrackB,sst_chi_phase_package_v1_1.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,8,1,10,0,19,63
TrackB,sst_chi_phase_package_v2.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,11,1,12,0,29,108
TrackB,sst_chi_phase_package_v3.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,9,1,16,0,11,23
TrackB,sst_chi_phase_package_v4.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,9,1,9,0,12,14
TrackB,sst_chi_phase_package_v5.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,9,1,8,0,57,13
TrackB,sst_chi_phase_package_v6.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,8,1,9,0,17,13
TrackB,sst_chi_phase_package_v6__from_repo.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,8,1,9,0,17,13
TrackB,sst_chi_phase_package_v7.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,10,1,15,0,10,96
TrackB,sst_chi_phase_package_v8.zip,C,True,"absolute observable present (C=5, Q=0) [WARN: heavy calibrated-chain dependence]",11,0,5,0,10,97
TrackB,sst_chi_phase_package_v9.zip,C,True,"absolute observable present (C=10, Q=0) [WARN: heavy calibrated-chain dependence]",10,0,10,0,9,99
Coil,coil_compare_bundle.zip,A/B,False,no absolute dimensionful or action-scale observable found,6,0,0,0,7,3
Coil,coil_fourier_check_bundle.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,17,4
Coil,rodin_6coil_spatial_fourier_bundle.zip,A/B,False,dominated by dimensionless observables (AB=11 vs CQ=1),5,0,1,0,11,10
Coil,rodin_GUI3_bundle.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,33,3
Coil,rodin_GUI3_v14_layout_grid_bundle.zip,A/B,False,dominated by dimensionless observables (AB=88 vs CQ=6),3,0,6,0,88,8
Coil,rodin_GUI3_v15_sst_gravity_proxy_bundle.zip,X,False,uses legacy reference normalization (3 hits) -> gate 1 fails,3,3,38,0,91,18
Coil,rodin_GUI3_v8_bundle.zip,A/B,False,dominated by dimensionless observables (AB=62 vs CQ=6),3,0,6,0,62,8
Coil,Spherical Halbach  magnet array - 3 different sizes - 5526348.zip,A/B,False,no absolute dimensionful or action-scale observable found,2,0,0,0,0,0
Coil,SST_Coil_all files.zip,X,False,uses legacy reference normalization (4 hits) -> gate 1 fails,43,4,20,0,70,3
Coil,SST_Coil_DigitalTwin_v10_complete_restored_package.zip,X,False,uses legacy reference normalization (5 hits) -> gate 1 fails,74,5,23,0,133,13
Coil,SST_Coil_DigitalTwin_v4.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,10,1,2,0,7,1
Coil,SST_Coil_DigitalTwin_v5_user_geometry.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,10,1,0,0,24,0
Coil,SST_Coil_DigitalTwin_v7_separated_geometries.zip,A/B,False,no absolute dimensionful or action-scale observable found,10,0,0,0,18,0
Coil,SST_Coil_DigitalTwin_v7b_rodin_overlay_fix.zip,A/B,False,no absolute dimensionful or action-scale observable found,14,0,0,0,20,0
Coil,SST_Coil_DigitalTwin_v8_exact_rodin6lane.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,9,1,0,0,22,0
Coil,SST_Coil_DigitalTwin_v9_complete_research_package.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,32,1,1,0,55,10
Coil,SST_Coil_prefixed_suite.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,32,1,16,0,8,0
Coil,SST_Coil_prefixed_suite_v2_geometryfix.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,32,1,16,0,10,0
Coil,SST_Coil_prefixed_suite_v3_radius_sweep.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,33,1,19,0,11,2
Coil,SST_CoilLab_v1_clean_research_platform.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,41,1,0,0,24,9
Coil,SST_CoilLab_v2_mutual_current_patch_package.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,45,1,1,0,39,9
Coil,sst_sawcoil_test_scripts.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,13,1,1,0,9,2
ContactBilliard,SST_contact_billiard_hydrodynamic_falsifier_v0.1.0.zip,X,False,uses legacy reference normalization (3 hits) -> gate 1 fails,47,3,68,0,26,11
ContactBilliard,SST_contact_billiard_hydrodynamic_falsifier_v0.2.0.zip,X,False,uses legacy reference normalization (3 hits) -> gate 1 fails,61,3,90,0,28,13
Datasets,1-A_Unified_Electron_Scale_Relation_from_Classical_Radius.zip,C,True,"absolute observable present (C=22, Q=0) [WARN: heavy calibrated-chain dependence]",1,0,22,0,2,167
Datasets,fork-physics-research-visualization.zip,C,True,"absolute observable present (C=1, Q=0)",6,0,1,0,0,0
Datasets,Kelvin_Mode_Suppression_in_Atomic_Orbitals_A_Vortex-Filament_Gap.zip,C,True,"absolute observable present (C=4, Q=4)",2,0,4,4,7,21
Datasets,physics-research-visualization.zip,C,True,"absolute observable present (C=1, Q=0)",5,0,1,0,0,0
Datasets,Relational_Time-of-Arrival_from_an_Event_Current_and_its_Continuum_Clock_Limit.zip,A/B,False,no absolute dimensionful or action-scale observable found,1,0,0,0,3,2
Datasets,SPARC.zip,X,False,uses legacy reference normalization (2 hits) -> gate 1 fails,5,2,4,0,6,14
Datasets,sst-canon-portfolio.zip,C,True,"absolute observable present (C=1, Q=0)",5,0,1,0,0,0
Datasets,SST-Hydrodynamic_Origin_of_the_Hydrogen_Ground_State.zip,C,True,"absolute observable present (C=50, Q=0) [WARN: heavy calibrated-chain dependence]",2,0,50,0,34,158
DeriveConstants,accessible_area_budget_gate_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,6,0,0,0,25,0
DeriveConstants,Derive_Constants.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,223,1,1093,0,727,2326
DeriveConstants,Derive_Constants_after_gate_results_patched.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,227,1,1142,0,753,2337
DeriveConstants,Derive_Constants_final_claims_patched_with_code.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,243,1,1235,0,784,2365
DeriveConstants,Derive_Constants_major_revision_claim_status_patched_with_code.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,248,1,1351,0,854,2386
DeriveConstants,Derive_Constants_phase_pressure_final_patched_with_code.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,247,1,1316,0,843,2369
DeriveConstants,Derive_Constants_with_Paper4_uniqueness.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,227,1,1127,0,748,2332
DeriveConstants,finite_cell_gate_scripts.zip,C,True,"absolute observable present (C=10, Q=0)",18,0,10,0,16,0
DeriveConstants,finite_cell_next_gate_scripts.zip,C,True,"absolute observable present (C=58, Q=0)",28,0,58,0,33,30
DeriveConstants,finite_core_nonspherical_shape_corrections_package.zip,C,True,"absolute observable present (C=24, Q=0)",19,0,24,0,0,0
DeriveConstants,gp_core_second_variation_package.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,22,1,0,0,7,0
DeriveConstants,half_budget_identity_gate_package.zip,C,True,"absolute observable present (C=23, Q=0)",11,0,23,0,28,0
DeriveConstants,next_step_two_gate_scripts_package.zip,A/B,False,no absolute dimensionful or action-scale observable found,11,0,0,0,15,0
DeriveConstants,nlse_inertia_closure_bundle.zip,A/B,False,no absolute dimensionful or action-scale observable found,5,0,0,0,4,102
DeriveConstants,nonlinear_shape_stability_package.zip,C,True,"absolute observable present (C=12, Q=0)",13,0,12,0,0,0
DeriveConstants,phase_budget_closure_attempt_package.zip,A/B,False,dominated by dimensionless observables (AB=27 vs CQ=2),6,0,2,0,27,2
DeriveConstants,phase_pressure_self_duality_gate_package.zip,C,True,"absolute observable present (C=25, Q=0)",13,0,25,0,26,0
DeriveConstants,pressure_mode_cutoff_surface_spectrum_package.zip,C,True,"absolute observable present (C=36, Q=0)",12,0,36,0,0,0
DeriveConstants,SST_finite_core_c2_falsifier_v0.1.0.zip,C,True,"absolute observable present (C=4, Q=0)",18,0,4,0,15,0
DeriveConstants,Transverse_Projection_Finite_Core_Response_Article.zip,A/B,False,dominated by dimensionless observables (AB=40 vs CQ=2),4,0,2,0,40,14
Dimensionless,SST_dimensionless_dynamic_predictions_v0.1.0.zip,X,False,uses legacy reference normalization (52 hits) -> gate 1 fails,27,52,366,2,703,1010
Dimensionless,SST_dimensionless_dynamic_predictions_v0.1.0_outputs.zip,A/B,False,no absolute dimensionful or action-scale observable found,15,0,0,0,7,9
Dimensionless,SST_dimensionless_dynamic_predictions_v0.1.0_windows_batch.zip,X,False,uses legacy reference normalization (52 hits) -> gate 1 fails,29,52,366,2,705,1012
Dimensionless,SST_dimensionless_dynamic_predictions_v0.2.0_infinite_background_vortex.zip,X,False,uses legacy reference normalization (52 hits) -> gate 1 fails,50,52,366,2,726,1566
Dimensionless,SST_dimensionless_dynamic_predictions_v0.3.0_axial_vortex_bundle.zip,X,False,uses legacy reference normalization (52 hits) -> gate 1 fails,79,52,364,2,705,1531
Dimensionless,SST_dimensionless_dynamic_predictions_v0.3.0_axial_vortex_bundle_outputs.zip,A/B,False,no absolute dimensionful or action-scale observable found,57,0,0,0,11,513
Dimensionless,SST_dimensionless_dynamic_predictions_v0.3.0_outputs_analysis.zip,A/B,False,no absolute dimensionful or action-scale observable found,15,0,0,0,6,0
Dimensionless,SST_dimensionless_dynamic_predictions_v0.4.0_iso_gamma_area_dynamic_clock (2).zip,C,True,"absolute observable present (C=26, Q=0)",96,0,26,0,5,1
Dimensionless,SST_dimensionless_dynamic_predictions_v0.4.0_iso_gamma_area_dynamic_clock.zip,X,False,uses legacy reference normalization (52 hits) -> gate 1 fails,88,52,364,2,743,1020
Falsifiers,SST_dark_knot_rayleigh_harness.zip,C,True,"absolute observable present (C=22, Q=0)",13,0,22,0,3,2
Falsifiers,SST_dark_knot_rayleigh_harness_v0_1_1_winfix.zip,C,True,"absolute observable present (C=22, Q=0)",13,0,22,0,3,2
Falsifiers,SST_dark_knot_rayleigh_harness_v1_1 (1).zip,C,True,"absolute observable present (C=31, Q=0)",19,0,31,0,4,2
Falsifiers,SST_dark_knot_rayleigh_harness_v1_1.zip,C,True,"absolute observable present (C=31, Q=0)",19,0,31,0,4,2
Falsifiers,SST_dark_knot_rayleigh_harness_v1_2_taxonomy (1).zip,C,True,"absolute observable present (C=31, Q=0)",25,0,31,0,4,2
Falsifiers,SST_dark_knot_rayleigh_harness_v1_2_taxonomy.zip,C,True,"absolute observable present (C=31, Q=0)",25,0,31,0,4,2
Falsifiers,SST_minimal_falsification_harness_v0.1.0.zip,A/B,False,no absolute dimensionful or action-scale observable found,10,0,0,0,24,23
Falsifiers,SST_minimal_falsification_harness_v0.2.0_Gilbert.zip,A/B,False,no absolute dimensionful or action-scale observable found,16,0,0,0,56,22
Falsifiers,SST_minimal_falsification_harness_v0.3.0_calibration.zip,A/B,False,no absolute dimensionful or action-scale observable found,15,0,0,0,34,37
Falsifiers,Sutcliffe_HSS_feasibility_gate_v0.1.0.zip,C,True,"absolute observable present (C=3, Q=0)",14,0,3,0,4,2
v0.1,SST_fermat_pybind_research_v0.1.zip,C,True,"absolute observable present (C=20, Q=0)",27,0,20,0,2,15
v0.1.1,SST_fermat_pybind_research_v0.1.1.zip,C,True,"absolute observable present (C=22, Q=0)",27,0,22,0,2,15
v0.2.0,SST_fermat_pybind_research_v0.2.0.zip,C,True,"absolute observable present (C=16, Q=0)",43,0,16,0,3,4
